Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
IVV,ISHARES CORE S&P ETF TRUST,Financials,Equity,"39,098,900,625.85",76.08,"39,098,900,625.85","319,714.00","122,306.84",United States,NYSE Arca,JPY,0.01,USD
IMEU,ISHARES CORE MSCI EUROPE UCITS ETF,Other,Equity,"8,707,949,671.67",16.94,"8,707,949,671.67","1,154,582.00","7,540.82",Ireland,Euronext Amsterdam,JPY,0.01,EUR
XIC,ISHARES S&P/TSX CAPPED COMPOSITE,Financials,Equity,"2,067,944,486.38",4.02,"2,067,944,486.38","305,919.00","6,763.28",Canada,Toronto Stock Exchange,JPY,0.01,CAD
EPP,ISHARES MSCI PACIFIC EX JAPAN ETF,Financials,Equity,"1,386,805,013.56",2.70,"1,386,805,013.56","150,206.00","9,233.70",United States,NYSE Arca,JPY,0.01,USD
EUR,EUR CASH,Cash and/or Derivatives,Cash,"77,905,161.21",0.15,"77,905,161.21","419,838.00","18,552.88",European Union,-,JPY,0.01,EUR
JPY,JPY CASH,Cash and/or Derivatives,Cash,"33,452,306.00",0.07,"33,452,306.00","33,452,306.00",100.00,Japan,-,JPY,1.00,JPY
USD,USD CASH,Cash and/or Derivatives,Cash,"14,584,263.00",0.03,"14,584,263.00","91,745.00","15,898.25",United States,-,JPY,0.01,USD
GSCFT,CASH COLLATERAL USD GSCFT,Cash and/or Derivatives,Cash Collateral and Margins,"4,947,521.74",0.01,"4,947,521.74","31,123.00","15,898.25",United States,-,JPY,0.01,USD
CAD,CAD CASH,Cash and/or Derivatives,Cash,"644,823.02",0.00,"644,823.02","5,587.00","11,547.34",Canada,-,JPY,0.01,CAD
HWAU6,MICRO EMINI S&P 500 SEP 26,Cash and/or Derivatives,Futures,0.00,0.00,"73,358,373.38",12.00,"1,222,774.24",-,Index And Options Market,JPY,0.01,USD
 ,,,,,,,,,,,,,
Fund Holdings as of,2026/08/21,,,,,,,,,,,,
 ,,,,,,,,,,,,,
