No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,残高数量（※） Quantity（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,-,-,NYMEX WTI先物 2612,Light Sweet Crude Oil (NYMEX WTI Futures 2612,505,6178173229,0.33476543166973116
2,-,-,NYMEX WTI先物 2611,Light Sweet Crude Oil (NYMEX WTI Futures 2611,491,6170248128.000001,0.33433600864144225
3,-,-,NYMEX WTI先物 2701,Light Sweet Crude Oil (NYMEX WTI Futures 2701,514,6166842472.000001,0.33415147255630834
,,,,,,,
,,,合計（Total）,,,18515263829,1.0032529128674819
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,18455230572,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
1699,NEXT FUNDS NOMURA原油インデックス連動型上場投信　（NEXT FUNDS NOMURA Crude Oil Long Index Linked Exchange Traded Fund）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3047180009,,
