No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8058,JP3898400001,三菱商事,MITSUBISHI CORPORATION,145500,694908000.0000001,0.04697290935311598
2,8725,JP3890310000,ＭＳ＆ＡＤインシュアランスグループホール,"MS&AD INSURANCE GROUP HOLDINGS,INC.",103000,507172000.00000006,0.03428273150177942
3,8053,JP3404600003,住友商事,SUMITOMO CORPORATION (SUMITOMO SHOJI KAI,269900,450733000.00000006,0.03046768831479566
4,7267,JP3854600008,本田技研工業,"HONDA MOTOR CO.,LTD.",276900,450100950.00000006,0.030424964346505417
5,8591,JP3200450009,オリックス,ORIX CORPORATION,68300,437803000,0.029593673743174967
6,7182,JP3946750001,ゆうちょ銀行,"JAPAN POST BANK CO.,LTD.",122800,382030800,0.0258237034808901
7,6501,JP3788600009,日立製作所,"HITACHI,LTD.",66100,348148700.00000006,0.023533413525970586
8,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,10100,328250000.00000006,0.022188343629891034
9,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",46900,319576600,0.02160205762946606
10,8766,JP3910660004,東京海上ホールディングス,"TOKIO MARINE HOLDINGS,INC.",39300,318880200.00000006,0.02155498386707808
11,4502,JP3463000004,武田薬品工業,TAKEDA PHARMACEUTICAL COMPANY LIMITED,54200,298804600,0.02019795626197148
12,7167,JP3117700009,めぶきフィナンシャルグループ,"MEBUKI FINANCIAL GROUP,INC.",199200,298202400.00000006,0.0201572500303373
13,7202,JP3137200006,いすゞ自動車,ISUZU MOTORS LIMITED,123200,295988000.00000006,0.020007565740515425
14,1605,JP3294460005,ＩＮＰＥＸ,INPEX CORPORATION,78800,285807600.00000006,0.019319412767203184
15,9104,JP3362700001,商船三井,"MITSUI O.S.K.LINES,LTD.",45000,265230000,0.017928452036423452
16,9107,JP3223800008,川崎汽船,"KAWASAKI KISEN KAISHA,LTD.",92400,263340000,0.01780069584614015
17,8015,JP3635000007,豊田通商,TOYOTA TSUSHO CORPORATION,35400,237958800.00000003,0.01608503160443721
18,1928,JP3420600003,積水ハウス,"SEKISUI HOUSE,LTD.",64900,226371200.00000003,0.015301757725851605
19,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,42400,223024000,0.015075500836901196
20,6954,JP3802400006,ファナック,FANUC CORPORATION,30800,219758000.00000003,0.01485473273242222
