Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
3226,NIPPON ACCOMMODATIONS FUND INC ORD,JP3046440008,TSE,JPY,2366,120300.0
3269,ADVANCE RESIDENCE INVESTMENT ORD,JP3047160001,TSE,JPY,2510,145900.0
3282,COMFORIA RESIDENTIAL REIT IN,JP3047540004,TSE,JPY,2076,99500.0
3309,SEKISUI HOUSE REIT INC,JP3047820000,TSE,JPY,4046,73400.0
3451,TOSEI REIT INVESTMENT CORP,JP3047830009,TSE,JPY,298,131000.0
3459,SAMTY RESIDENTIAL INVESTMENT C,JP3047960004,TSE,JPY,380,89000.0
3462,NOMURA REAL ESTATE MASTER FUND INC,JP3048110005,TSE,JPY,272,149500.0
8953,JAPAN METROPOLITAN FUND INVESTMENT CORP,JP3039710003,TSE,JPY,443,115200.0
8954,ORIX JREIT INC ORD,JP3040880001,TSE,JPY,340,100000.0
8960,UNITED URBAN INV CORP (REIT) ORD,JP3045540006,TSE,JPY,197,160600.0
8966,HEIWA REAL ESTATE REIT INC,JP3046220004,TSE,JPY,1126,132000.0
8972,KENEDIX OFFICE INVESTMENT CORP,JP3046270009,TSE,JPY,249,149900.0
8979,STARTS PROCEED INVESTMENT CORP,JP3046340000,TSE,JPY,230,185800.0
8984,DAIWA HOUSE REIT INVESTMENT CORP,JP3046390005,TSE,JPY,266,119600.0
8986,DAIWA SECURITIES LIVING INVEST,JP3046410001,TSE,JPY,2007,95400.0
,TSE-REIT FUTURES SEP.2026,,OSE,JPY,9.0,1786
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2097,Global X Residential J-REIT ETF,8247885.0,1961520,20260824,,
,,,,,,
