Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
2971,ESCON JAPAN REIT INVESTMENT,JP3048810000,TSE,JPY,122,110600.0
3287,HOSHINO RESORTS REIT INC,JP3047610005,TSE,JPY,220,239500.0
3292,AEON REIT INVESTMENT CORPORATION,JP3047650001,TSE,JPY,665,120100.0
3462,NOMURA REAL ESTATE MASTER FUND INC,JP3048110005,TSE,JPY,128,149500.0
3463,ICHIGO HOTEL REIT INVESTMENT CORP,JP3048160000,TSE,JPY,91,111000.0
3470,MARIMO REGIONAL REVITALIZATION REIT INC,JP3048290005,TSE,JPY,100,101800.0
3472,OOEDO ONSEN REIT INVESTMENT,JP3048310001,TSE,JPY,161,67100.0
401A,KASUMIGASEKI HOT REIT ORD,JP3050870009,TSE,JPY,68,95900.0
8953,JAPAN METROPOLITAN FUND INVESTMENT CORP,JP3039710003,TSE,JPY,1579,115200.0
8954,ORIX JREIT INC ORD,JP3040880001,TSE,JPY,160,100000.0
8963,INVINCIBLE INVESTMENT CORP,JP3046190009,TSE,JPY,2959,60600.0
8964,FRONTIER REAL ESTATE INVESTMENT CORPORATION,JP3046200006,TSE,JPY,963,79000.0
8972,KENEDIX OFFICE INVESTMENT CORP,JP3046270009,TSE,JPY,117,149900.0
8977,HANKYU HANSHIN REIT INC,JP3046320002,TSE,JPY,261,133700.0
8985,JAPAN HOTEL REIT INVESTMENT,JP3046400002,TSE,JPY,2231,80800.0
,TSE-REIT FUTURES SEP.2026,,OSE,JPY,8.0,1786
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2098,Global X Hotel & Retail J-REIT ETF,4781945.0,921780,20260824,,
,,,,,,
