No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,先物取引評価額(売建）（円） Valuation (yen),純資産比率 % of NAV
1,-,-,長期国債先物 2609,10-year JGB Futures 2609,-122,15502540000.000002,1.994856317980343
,,,,,,,
,,,合計（Total）,,,15502540000.000002,1.994856317980343
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,7771256436,1
,,,,,,,
※先物が組み入れられている場合は枚数です。枚数のマイナス表示は売建を表します。,,,,,,,
※Note: Figure refers to the number of futures contracts; negative figure shows that the ETF has short positions in given number of futures contracts.,,,,,,,
2251,NEXT FUNDS JPX国債先物ダブルインバース指数連動型上場投信　（NEXT FUNDS JPX JGB Futures Double Inverse Index Exchange Traded Fund）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3049940004,,
