Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
1605,INPEX CORP,JP3294460005,TSE,JPY,146700,3954.0
1662,JAPAN PETROLEUM EXPLORATION ORD,JP3421100003,TSE,JPY,33000,1877.0
2181,PERSOL HOLDINGS CO LTD,JP3547670004,TSE,JPY,381200,291.5
2433,HAKUHODO DY HOLDINGS INC ORD,JP3766550002,TSE,JPY,48700,1307.5
2502,ASAHI GROUP HLDGS (ASAHI BREW) ORD,JP3116000005,TSE,JPY,313900,1680.5
3086,J FRONT RETAILING CO LTD ORD,JP3386380004,TSE,JPY,51300,3023.0
3197,SKYLARK HOLDINGS CO LTD,JP3396210001,TSE,JPY,49500,3362.0
3382,SEVEN & I HOLDINGS CO LTD ORD,JP3422950000,TSE,JPY,300800,2030.5
3405,KURARAY CO LTD,JP3269600007,TSE,JPY,58400,1839.0
4188,MITSUBISHI CHEMICAL GROUP,JP3897700005,TSE,JPY,265300,1147.5
4502,TAKEDA PHARMACEUTICAL,JP3463000004,TSE,JPY,111300,5764.0
4528,ONO PHARMACEUTICAL CO LTD ORD,JP3197600004,TSE,JPY,83400,2448.0
4536,SANTEN PHARMACEUTICAL CO LTD ORD,JP3336000009,TSE,JPY,64700,1879.5
4666,PARK 24 CO LTD ORD,JP3780100008,TSE,JPY,28600,2038.0
4689,LY CORP,JP3933800009,TSE,JPY,575900,525.6
4704,TREND MICRO INC,JP3637300009,TSE,JPY,28200,5472.0
4755,RAKUTEN GROUP INC,JP3967200001,TSE,JPY,315000,780.8
5105,TOYO TIRE CORP,JP3610600003,TSE,JPY,26600,3811.0
5108,BRIDGESTONE CORP ORD,JP3830800003,TSE,JPY,173200,4117.0
5110,SUMITOMO RUBBER INDUSTRIES LTD ORD,JP3404200002,TSE,JPY,38200,2297.0
5401,NIPPON STEEL CORP,JP3381000003,TSE,JPY,1064600,659.4
5411,JFE HOLDINGS INC,JP3386030005,TSE,JPY,128300,1845.5
5444,YAMATO KOGYO CO LTD ORD,JP3940400009,TSE,JPY,7600,11805.0
6269,MODEC INC,JP3888250002,TSE,JPY,10300,9600.0
6417,SANKYO CO LTD,JP3326410002,TSE,JPY,37200,1911.0
6460,SEGA SAMMY HOLDINGS INC,JP3419050004,TSE,JPY,30900,2791.5
6586,MAKITA CORP ORD,JP3862400003,TSE,JPY,103000,5208.0
6724,SEIKO EPSON CORP ORD,JP3414750004,TSE,JPY,62500,3063.0
6902,DENSO CORP ORD,JP3551500006,TSE,JPY,314400,1948.5
7202,ISUZU MOTORS LTD,JP3137200006,TSE,JPY,115200,2228.5
7211,MITSUBISHI MOTORS CORP ORD,JP3899800001,TSE,JPY,146600,362.4
7261,MAZDA MOTOR CORP ORD,JP3868400007,TSE,JPY,126800,1207.5
7270,SUBARU CORP,JP3814800003,TSE,JPY,116000,2655.5
7419,NOJIMA CORP,JP3761600000,TSE,JPY,39500,1280.0
7752,RICOH CO LTD,JP3973400009,TSE,JPY,114400,1642.0
7867,TOMY COMPANY LTD,JP3630550006,TSE,JPY,17700,3641.0
7988,NIFCO INC ORD,JP3756200006,TSE,JPY,15700,5068.0
8056,BIPROGY INC,JP3754200008,TSE,JPY,16600,4546.0
8078,HANWA CO LTD ORD,JP3777800008,TSE,JPY,334400,1841.0
9024,SEIBU HOLDINGS INC,JP3417200007,TSE,JPY,44300,3409.0
9041,KINTETSU GROUP HOLDINGS CO LTD,JP3260800002,TSE,JPY,38300,3549.0
9101,NIPPON YUSEN KK,JP3753000003,TSE,JPY,86600,7101.0
9107,KAWASAKI KISEN KAISHA LTD,JP3223800008,TSE,JPY,78400,3405.0
9143,SG HOLDINGS CO LTD,JP3162770006,TSE,JPY,64300,1566.0
9147,NIPPON EXPRESS HOLDINGS CO,JP3688370000,TSE,JPY,43300,5559.0
9201,JAPAN AIRLINES CO LTD,JP3705200008,TSE,JPY,32500,3002.0
9202,ANA HOLDINGS INC,JP3429800000,TSE,JPY,35900,3040.0
9433,KDDI CORP (DDI) ORD,JP3496400007,TSE,JPY,211900,2915.5
9513,ELECTRIC POWER DEVELOPMENT LTD ORD,JP3551200003,TSE,JPY,30700,3977.0
9531,TOKYO GAS CO LTD,JP3573000001,TSE,JPY,66200,6090.0
,MINI-TPX FUTURES SEP.2026,,OSE,JPY,14.0,4076
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
234A,Global X MSCI Japan Cash Flow Kings ETF,-176608380.0,8374288,20260824,,
,,,,,,
