No.,種別 （Sector）,Sector,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,残高数量 Quantity,単価 Price,評価金額(円） Valuation (yen),純資産比率 % of NAV,クーポン Coupon,修正デュレーション Modified Duration,償還日 Maturity Date,MOTHER FUND/DIRECT
1,国債証券,Government bond,B.0067.378,JP1103781R44,国庫債券　利付（１０年）第３７８回,JAPAN (10 YEAR ISSUE),4424158129.858601,90.71200000000002,4013242322.757255,0.01924000495174196,1.4,7.98895966808531,2035-03-20 00:00:00,MOTHER FUND
2,国債証券,Government bond,B.0067.362,JP1103621M43,国庫債券　利付（１０年）第３６２回,JAPAN (10 YEAR ISSUE),3716292829.0813003,91.71900000000001,3408546619.904942,0.016341015211899308,0.1,4.58252366566624,2031-03-20 00:00:00,MOTHER FUND
3,国債証券,Government bond,B.0045.174,JP1051741QB7,国庫債券　利付（５年）第１７４回,JAPAN (5 YEAR ISSUE),3391854566.2249002,96.98300000000002,3289522313.9618516,0.015770397229841006,0.7,3.07655173928102,2029-09-20 00:00:00,MOTHER FUND
4,国債証券,Government bond,B.0067.371,JP1103711P74,国庫債券　利付（１０年）第３７１回,JAPAN (10 YEAR ISSUE),3391854566.2249,87.82700000000001,2978964109.8783107,0.014281540862885756,0.4,6.71302845717577,2033-06-20 00:00:00,MOTHER FUND
5,国債証券,Government bond,B.0045.157,JP1051571P41,国庫債券　利付（５年）第１５７回,JAPAN (5 YEAR ISSUE),2801966815.5771,98.051,2747356482.34146,0.013171183814321424,0.2,1.62526332285253,2028-03-20 00:00:00,MOTHER FUND
6,国債証券,Government bond,B.0045.177,JP1051771R39,国庫債券　利付（５年）第１７７回,JAPAN (5 YEAR ISSUE),2728230846.7461004,97.84700000000001,2669492036.615641,0.012797891548156907,1.1,3.30233268698198,2029-12-20 00:00:00,MOTHER FUND
7,国債証券,Government bond,B.0045.181,JP1051811RA8,国庫債券　利付（５年）第１８１回,JAPAN (5 YEAR ISSUE),2330056615.0588,97.62600000000002,2274741071.0173187,0.010905404147197133,1.3,3.98553334773449,2030-09-20 00:00:00,MOTHER FUND
8,国債証券,Government bond,B.0045.183,JP1051831S10,国庫債券　利付（５年）第１８３回,JAPAN (5 YEAR ISSUE),2300562227.5266004,98.54700000000001,2267135058.360467,0.010868939934619933,1.6,4.2065513007212,2030-12-20 00:00:00,MOTHER FUND
9,国債証券,Government bond,B.0067.375,JP1103751Q74,国庫債券　利付（１０年）第３７５回,JAPAN (10 YEAR ISSUE),2448034165.1884007,90.04300000000002,2204283403.3605704,0.010567620937118587,1.1,7.45352557931908,2034-06-20 00:00:00,MOTHER FUND
10,国債証券,Government bond,B.0067.360,JP1103601LA4,国庫債券　利付（１０年）第３６０回,JAPAN (10 YEAR ISSUE),2359551002.5911,92.90800000000002,2192211645.4874372,0.01050974736194515,0.1,4.09163128843468,2030-09-20 00:00:00,MOTHER FUND
