No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
1,WELL,US95040Q1040,WELLTOWER INC,アメリカ,US,アメリカ・ドル,USD,106149.9208,4019945651.5569406,0.09322873587617997,MOTHER FUND
2,PLD,US74340W1036,PROLOGIS INC,アメリカ,US,アメリカ・ドル,USD,140187.9912,3293808929.6284,0.07638850605057229,MOTHER FUND
3,EQIX,US29444U7000,EQUINIX INC,アメリカ,US,アメリカ・ドル,USD,14827.6761,2496373039.87654,0.057894738624868665,MOTHER FUND
4,SPG,US8288061091,SIMON PROPERTY GROUP INC,アメリカ,US,アメリカ・ドル,USD,48751.2337,1805566134.3321102,0.0418738616974656,MOTHER FUND
5,DLR,US2538681030,DIGITAL REALTY TRUST INC,アメリカ,US,アメリカ・ドル,USD,52276.8407,1623169598.43422,0.03764380488976507,MOTHER FUND
6,O,US7561091049,REALTY INCOME CORP,アメリカ,US,アメリカ・ドル,USD,140156.7605,1451349828.1560602,0.03365903957947675,MOTHER FUND
7,PSA,US74460D1090,PUBLIC STORAGE,アメリカ,US,アメリカ・ドル,USD,25210.1724,1286237216.44726,0.02982982361461311,MOTHER FUND
8,VTR,US92276F1003,VENTAS INC,アメリカ,US,アメリカ・ドル,USD,73066.124,1079433790.26366,0.02503373340118132,MOTHER FUND
9,GMG,AU000000GMG2,GOODMAN GROUP,オーストラリア,AU,オーストラリア・ドル,AUD,310746.1723,1028056228.8476502,0.023842208560202374,MOTHER FUND
10,IRM,US46284V1017,IRON MOUNTAIN INC,アメリカ,US,アメリカ・ドル,USD,44705.1138,895539133.362254,0.020768932858253118,MOTHER FUND
11,EXR,US30225T1025,EXTRA SPACE STORAGE INC,アメリカ,US,アメリカ・ドル,USD,31740.8737,756077488.6643361,0.01753460235595785,MOTHER FUND
12,VICI,US9256521090,VICI PROPERTIES INC,アメリカ,US,アメリカ・ドル,USD,164169.7533,694198894.166427,0.016099542371850725,MOTHER FUND
13,AVB,US0534841012,AVALONBAY COMMUNITIES INC,アメリカ,US,アメリカ・ドル,USD,20865.6252,629724600.9758681,0.014604284134133512,MOTHER FUND
14,EQR,US29476L1070,EQUITY RESIDENTIAL,アメリカ,US,アメリカ・ドル,USD,51218.4646,552520538.959056,0.01281380293607405,MOTHER FUND
15,ESS,US2971781057,ESSEX PROPERTY TRUST INC,アメリカ,US,アメリカ・ドル,USD,9646.8382,437006971.20676905,0.010134865250953298,MOTHER FUND
16,SGRO,GB00B5ZN1N88,SEGRO PLC,イギリス,GB,イギリス・ポンド,GBP,203208.2172,424917685.115996,0.009854496072466586,MOTHER FUND
17,KIM,US49446R1095,KIMCO REALTY CORP,アメリカ,US,アメリカ・ドル,USD,101222.3992,415008516.440197,0.009624687177196873,MOTHER FUND
18,WPC,US92936U1097,WP CAREY INC,アメリカ,US,アメリカ・ドル,USD,33416.9251,397866507.998002,0.0092271375792749,MOTHER FUND
19,INVH,US46187W1071,INVITATION HOMES INC,アメリカ,US,アメリカ・ドル,USD,82032.8254,391178646.5750921,0.009072035764420394,MOTHER FUND
20,HST,US44107P1049,HOST HOTELS & RESORTS INC,アメリカ,US,アメリカ・ドル,USD,95600.8604,385507104.192039,0.008940503954622063,MOTHER FUND
21,MAA,US59522J1034,MID-AMERICA APARTMENT COMM,アメリカ,US,アメリカ・ドル,USD,17464.9412,374224620.65517503,0.008678845770940337,MOTHER FUND
22,DOC,US42250P1030,HEALTHPEAK PROPERTIES INC,アメリカ,US,アメリカ・ドル,USD,103443.254,366756319.26624703,0.008505644350328492,MOTHER FUND
23,OHI,US6819361006,OMEGA HEALTHCARE INVESTORS,アメリカ,US,アメリカ・ドル,USD,44694.7035,362039970.36386704,0.008396264949651868,MOTHER FUND
24,URW,FR0013326246,UNIBAIL-RODAMCO-WESTFIELD,フランス,FR,ユーロ,EUR,18283.8814,353702417.718175,0.00820290425255938,MOTHER FUND
25,SCG,AU000000SCG8,SCENTRE GROUP,オーストラリア,AU,オーストラリア・ドル,AUD,791873.5513,348947790.994717,0.008092637130211739,MOTHER FUND
