No.,種別 （Sector）,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,残高数量 Quantity,単価 Price,評価金額（現地通貨） Valuation (local),為替レート FX Rate,評価金額(円） Valuation (yen),純資産比率 % of NAV,クーポン Coupon,修正デュレーション Modified Duration,償還日 Maturity Date,MOTHER FUND/DIRECT
1,国債,B.20300817.MO00,USL2660VAA37,EAGLE FUNDING LUXCO SARL,ルクセンブルク,LU,アメリカ・ドル,USD,500215.1745000001,100.07500000000002,500590.3359565919,160.72,80454878.79494351,0.02087276305500386,5.5,3.51452122883338,2030-08-17 00:00:00,MOTHER FUND
2,国債,B.20280115.GB02,US900123DF45,REPUBLIC OF TURKEY,トルコ,TR,アメリカ・ドル,USD,381414.0706,105.68886000000003,403112.183111469,160.72,64788190.0489665,0.016808285089848742,9.875,1.35413834188492,2028-01-15 00:00:00,MOTHER FUND
3,国債,B.20360326.GB00,XS2744128369,HUNGARY,ハンガリー,HU,アメリカ・ドル,USD,343897.9324,98.11000000000001,337398.2615961238,160.72,54226648.60372905,0.014068257941912759,5.5,7.24591966998201,2036-03-26 00:00:00,MOTHER FUND
4,国債,B.20300425.GB00,US195325ER27,REPUBLIC OF COLOMBIA,コロンビア,CO,アメリカ・ドル,USD,312634.4841,105,328266.20831527706,160.72,52758945.00043141,0.013687485140990557,7.375,3.11312682678836,2030-04-25 00:00:00,MOTHER FUND
5,国債,B.20340201.GB00,XS2895056013,UKRAINE GOVERNMENT,ウクライナ,UA,アメリカ・ドル,USD,431435.5881,69.50000000000001,299847.7337096976,160.72,48191527.76182255,0.01250253999878478,4.5,4.84939197571268e-05,2034-02-01 00:00:00,MOTHER FUND
6,国債,B.20360516.GB00,XS3114897633,ROMANIA,ルーマニア,RO,アメリカ・ドル,USD,287623.7254,100.86790000000002,290120.011693586,160.72,46628088.28889731,0.012096930020148413,6.625,7.04794240928472,2036-05-16 00:00:00,MOTHER FUND
7,国債,B.20280217.GB01,XS2571922884,ROMANIA,ルーマニア,RO,アメリカ・ドル,USD,275118.3461,101.85,280208.0354179204,160.72,45035035.45236821,0.011683637316349527,6.625,1.41558237124293,2028-02-17 00:00:00,MOTHER FUND
8,国債,B.20320122.GB00,US105756CK49,FED REPUBLIC OF BRAZIL,ブラジル,BR,アメリカ・ドル,USD,275118.346,101.47500000000001,279176.341620358,160.72,44869221.62522401,0.011640619505906419,6.125,4.60409545803629,2032-01-22 00:00:00,MOTHER FUND
9,国債,B.20350214.GB00,US698299BT07,REPUBLIC OF PANAMA,パナマ,PA,アメリカ・ドル,USD,268865.6563,103.61,278571.7065280902,160.72,44772044.69820536,0.011615408468335368,6.4,6.32957221325471,2035-02-14 00:00:00,MOTHER FUND
10,国債,B.20350315.GB00,US105756CL22,FED REPUBLIC OF BRAZIL,ブラジル,BR,アメリカ・ドル,USD,275118.346,100.79,277291.780950144,160.72,44566335.021801904,0.011562040302252682,6.625,6.35035830419431,2035-03-15 00:00:00,MOTHER FUND
11,国債,B.20310805.MO00,USP17625AD98,REPUBLIC OF VENEZUELA,ベネズエラ,VE,アメリカ・ドル,USD,500215.1746,54.907050000000005,274653.396011845,160.72,44142293.8020216,0.011452029423626072,0,4.71703043395119,2031-08-05 00:00:00,MOTHER FUND
12,国債,B.20360522.GB00,US105756CQ19,FED REPUBLIC OF BRAZIL,ブラジル,BR,アメリカ・ドル,USD,281371.0357,97.15,273351.9611813928,160.72,43933127.20107346,0.011397764412404834,6.25,7.11829005465909,2036-05-22 00:00:00,MOTHER FUND
13,国債,B.20390129.MO00,XS3283442112,REPUBLIC OF ECUADOR,エクアドル,EC,アメリカ・ドル,USD,268865.6563,99.52000000000001,267575.101184012,160.72,43004670.249789104,0.011156890742079354,9.25,7.30545805547749,2039-01-29 00:00:00,MOTHER FUND
14,国債,B.20370513.GB00,US91087BBC37,UNITED MEXICAN STATES,メキシコ,MX,アメリカ・ドル,USD,250107.5873,102.66000000000001,256760.449109686,160.72,41266539.38090881,0.01070595980627877,6.875,7.23868317184348,2037-05-13 00:00:00,MOTHER FUND
15,国債,B.20340315.GB02,US105756CH10,FED REPUBLIC OF BRAZIL,ブラジル,BR,アメリカ・ドル,USD,250107.5873,99.40000000000002,248606.9417641026,160.72,39956107.6803266,0.010365988746776817,6.125,5.87983037856314,2034-03-15 00:00:00,MOTHER FUND
16,国債,B.20350113.GB00,XS2974969482,SAUDI INTERNATIONAL BOND,サウジアラビア,SA,アメリカ・ドル,USD,243854.8976,101.50531,247525.669764782,160.72,39782325.6130322,0.010320903700746361,5.625,6.66123445992543,2035-01-13 00:00:00,MOTHER FUND
17,国債,B.20320922.GB00,XS2574267261,HUNGARY,ハンガリー,HU,アメリカ・ドル,USD,231349.5183,103.95000000000002,240487.824211772,160.72,38651203.107315995,0.010027451614289667,6.25,4.97449040325734,2032-09-22 00:00:00,MOTHER FUND
18,国債,B.20370315.GB01,USP3579ECW59,DOMINICAN REPUBLIC,ドミニカ共和国,DO,アメリカ・ドル,USD,231349.51820000002,102.9,238058.65427023842,160.72,38260786.91431285,0.009926164224246348,6.95,7.30520602713655,2037-03-15 00:00:00,MOTHER FUND
19,国債,B.20530404.GB00,US731011AW25,REPUBLIC OF POLAND,ポーランド,PL,アメリカ・ドル,USD,250107.58729999998,90.28150000000001,225800.88141726208,160.72,36290717.648876995,0.00941506049013728,5.5,12.8821686430453,2053-04-04 00:00:00,MOTHER FUND
20,国債,B.20350212.GB00,US857524AH50,REPUBLIC OF POLAND,ポーランド,PL,アメリカ・ドル,USD,225096.8286,99.95089,224986.2835065416,160.72,36159795.45585877,0.00938109476979264,5.375,6.54210737456823,2035-02-12 00:00:00,MOTHER FUND
21,国債,B.20320201.MO07,XS3261834314,UKRAINE GOVERNMENT,ウクライナ,UA,アメリカ・ドル,USD,268865.6563,82.75110000000001,222489.28813895,160.72,35758478.3861906,0.009276979317372886,4,8.46862239054115e-05,2032-02-01 00:00:00,MOTHER FUND
22,国債,B.20290122.GB00,US168863EB04,REPUBLIC OF CHILE,チリ,CL,アメリカ・ドル,USD,218844.1389,100.10000000000001,219062.983015728,160.72,35207802.6302879,0.0091341150840877,4.85,2.22557358573384,2029-01-22 00:00:00,MOTHER FUND
23,国債,B.20340202.GB00,US195325EG61,REPUBLIC OF COLOMBIA,コロンビア,CO,アメリカ・ドル,USD,206338.75939999998,105.7,218100.0688046693,160.72,35053043.05828659,0.009093965127674117,7.5,5.50197697448418,2034-02-02 00:00:00,MOTHER FUND
24,国債,B.20270915.GB00,US922646AS37,REPUBLIC OF VENEZUELA,ベネズエラ,VE,アメリカ・ドル,USD,437688.2778,49.731170000000006,217667.501479766,160.72,34983520.8398289,0.009075928672773424,0,0.787544465566117,2027-09-15 00:00:00,MOTHER FUND
25,国債,B.20361119.GB00,XS2908172260,REPUBLIC OF SOUTH AFRICA,南アフリカ,ZA,アメリカ・ドル,USD,206338.75950000001,104.41000000000001,215438.29880695912,160.72,34625243.34673837,0.008982979166997904,7.1,7.21601088401144,2036-11-19 00:00:00,MOTHER FUND
26,国債,B.20331004.GB00,US731011AV42,REPUBLIC OF POLAND,ポーランド,PL,アメリカ・ドル,USD,218844.1389,98.16175,214821.236493948,160.72,34526069.12305457,0.008957249961968687,4.875,5.78294842158264,2033-10-04 00:00:00,MOTHER FUND
27,国債,B.20290616.GB00,XS2010026305,HUNGARY,ハンガリー,HU,アメリカ・ドル,USD,212591.4492,100.68307,214043.597606669,160.72,34401086.9852344,0.008924825296269083,5.25,2.62792025109981,2029-06-16 00:00:00,MOTHER FUND
28,国債,B.20540318.GB00,US731011AZ55,REPUBLIC OF POLAND,ポーランド,PL,アメリカ・ドル,USD,237602.2079,89.96474000000002,213758.208592581,160.72,34355219.2545865,0.008912925629175873,5.5,13.0131844487098,2054-03-18 00:00:00,MOTHER FUND
29,国債,B.20340129.MO00,XS3285368620,REPUBLIC OF ECUADOR,エクアドル,EC,アメリカ・ドル,USD,212591.4492,98.96,210380.498123031,160.72,33812353.670839004,0.00877208762320289,8.75,5.39986971175993,2034-01-29 00:00:00,MOTHER FUND
30,国債,B.20361107.GB00,US195325EP60,REPUBLIC OF COLOMBIA,コロンビア,CO,アメリカ・ドル,USD,193833.3802,107.32500000000002,208031.67524391442,160.72,33434850.845201902,0.008674150404849727,7.75,6.78626028678007,2036-11-07 00:00:00,MOTHER FUND
31,国債,B.20341028.MO00,US760942BE11,REPUBLICA ORIENT URUGUAY,ウルグアイ,UY,アメリカ・ドル,USD,200086.0698,102.80000000000001,205688.47978551092,160.72,33058252.471127436,0.008576447832343334,5.75,6.37409738817544,2034-10-28 00:00:00,MOTHER FUND
