No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,6971,JP3249600002,京セラ,KYOCERA CORPORATION,295200,1089583200,0.029230869628203742
2,2802,JP3119600009,味の素,"AJINOMOTO CO.,INC.",195500,970657500,0.02604038208017357
3,6178,JP3752900005,日本郵政,"JAPAN POST HOLDINGS CO.,LTD.",392900,935887800.0000001,0.025107595517649704
4,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",73300,919915000,0.02467908410668322
5,6301,JP3304200003,小松製作所,KOMATSU LTD.,129700,907121800.0000001,0.024335873637462025
6,8058,JP3898400001,三菱商事,MITSUBISHI CORPORATION,180800,863500800.0000001,0.023165628204114785
7,2914,JP3726800000,日本たばこ産業,JAPAN TOBACCO INC.,115000,820525000.0000001,0.022012691918966702
8,9101,JP3753000003,日本郵船,NIPPON YUSEN KABUSHIKI KAISHA,127700,780247000,0.02093213105231164
9,5020,JP3386450005,ＥＮＥＯＳホールディングス,"ENEOS HOLDINGS,INC.",585700,777516750.0000001,0.02085888507917035
10,4063,JP3371200001,信越化学工業,"SHIN-ETSU CHEMICAL CO.,LTD.",133100,771980000,0.020710347530671108
11,1605,JP3294460005,ＩＮＰＥＸ,INPEX CORPORATION,207400,752239800,0.020180765932281314
12,5108,JP3830800003,ブリヂストン,BRIDGESTONE CORPORATION,184500,731542500.0000001,0.019625507666592365
13,9104,JP3362700001,商船三井,"MITSUI O.S.K.LINES,LTD.",123500,727909000.0000001,0.019528029690799347
14,9433,JP3496400007,ＫＤＤＩ,KDDI CORPORATION,239400,699287400.0000001,0.018760181711727535
15,8031,JP3893600001,三井物産,"MITSUI & CO.,LTD.",139700,689698900.0000001,0.018502945556259986
16,7267,JP3854600008,本田技研工業,"HONDA MOTOR CO.,LTD.",422100,686123550,0.018407027603665634
17,4503,JP3942400007,アステラス製薬,ASTELLAS PHARMA INC.,309800,682179600,0.0183012210087492
18,9434,JP3732000009,ソフトバンク,SOFTBANK CORP.,3018700,674377580.0000001,0.01809191177063261
19,2502,JP3116000005,アサヒグループホールディングス,"ASAHI GROUP HOLDINGS,LTD.",395500,659100750,0.017682071543596953
20,5401,JP3381000003,日本製鉄,NIPPON STEEL CORPORATION,1010300,656290880.0000001,0.017606689559327926
21,9531,JP3573000001,東京瓦斯,"TOKYO GAS CO.,LTD.",104500,649885500.0000001,0.017434848778652246
22,1928,JP3420600003,積水ハウス,"SEKISUI HOUSE,LTD.",185400,646675200,0.01734872423050629
23,9107,JP3223800008,川崎汽船,"KAWASAKI KISEN KAISHA,LTD.",220600,628710000.0000001,0.01686676156896323
24,9432,JP3735400008,ＮＴＴ,"NTT,INC.",4111700,626623080,0.016810774576465095
25,7751,JP3242800005,キヤノン,CANON INC.,140000,619920000,0.016630947228184194
