No.,種別 （Sector）,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,残高数量 Quantity,単価 Price,評価金額（現地通貨） Valuation (local),為替レート FX Rate,評価金額(円） Valuation (yen),純資産比率 % of NAV,クーポン Coupon,修正デュレーション Modified Duration,償還日 Maturity Date,MOTHER FUND/DIRECT
1,事業債,B.20340915.SB00,US06051GLU12,BANK OF AMERICA CORP,アメリカ,US,アメリカ・ドル,USD,249672.3103,103.01077,257189.369343216,160.72,41335475.554692306,0.0029099549732547604,5.872,0.137897098892654,2034-09-15 00:00:00,MOTHER FUND
2,事業債,B.20350422.SB00,US46647PEH55,JPMORGAN CHASE & CO,アメリカ,US,アメリカ・ドル,USD,249672.3103,102.4329,255746.5879635376,160.72,41103591.564236306,0.002893630690972032,5.766,0.23291923582045,2035-04-22 00:00:00,MOTHER FUND
3,事業債,B.20350425.SB00,US38141GA955,GOLDMAN SACHS GROUP INC,アメリカ,US,アメリカ・ドル,USD,249672.3103,101.94109000000002,254518.6745741251,160.72,40906241.4155035,0.002879737538925971,5.851,0.238351068176013,2035-04-25 00:00:00,MOTHER FUND
4,事業債,B.20300425.SB00,US38141GA872,GOLDMAN SACHS GROUP INC,アメリカ,US,アメリカ・ドル,USD,249672.3103,101.87795,254361.031477385,160.72,40880904.6694517,0.002877953870317103,5.727,0.238185805832193,2030-04-25 00:00:00,MOTHER FUND
5,事業債,B.20310124.SB03,US95000U3P60,WELLS FARGO & COMPANY,アメリカ,US,アメリカ・ドル,USD,249672.3103,100.78228,251625.446874841,160.72,40441241.717860706,0.002847002263365218,5.244,0.47626149018417,2031-01-24 00:00:00,MOTHER FUND
6,事業債,B.20360124.SB00,US06051GMM86,BANK OF AMERICA CORP,アメリカ,US,アメリカ・ドル,USD,249672.3103,100.31444,250457.379938213,160.72,40253509.7787627,0.002833786218733188,5.511,0.473367881052661,2036-01-24 00:00:00,MOTHER FUND
7,事業債,B.20330606.SB00,US693475BE43,PNC FINANCIAL SERVICES,アメリカ,US,アメリカ・ドル,USD,249672.3103,96.44378000000002,240793.413691363,160.72,38700317.477770805,0.0027244438294164817,4.626,0.326074422161927,2033-06-06 00:00:00,MOTHER FUND
8,事業債,B.20290614.SB02,US06051GJZ37,BANK OF AMERICA CORP,アメリカ,US,アメリカ・ドル,USD,249672.3103,95.29684000000002,237929.8220953143,160.72,38240080.6955679,0.0026920438559004133,2.087,1.79830082750043,2029-06-14 00:00:00,MOTHER FUND
9,事業債,B.20300401.SB10,US68389XBV64,ORACLE CORP,アメリカ,US,アメリカ・ドル,USD,249672.3103,90.08777,224924.216679835,160.72,36149819.9523166,0.002544892660381318,2.95,3.16477750389619,2030-04-01 00:00:00,MOTHER FUND
10,事業債,B.20360921.SB00,US06051GKC23,BANK OF AMERICA CORP,アメリカ,US,アメリカ・ドル,USD,249672.3103,86.46247000000001,215872.846413601,160.72,34695084.2624196,0.002442481467603679,2.482,0.0933888367970124,2036-09-21 00:00:00,MOTHER FUND
11,事業債,B.20340415.SB00,US11135FCT66,BROADCOM INC,アメリカ,US,アメリカ・ドル,USD,249672.3103,86.39017,215692.333333235,160.72,34666071.5077187,0.002440439013544623,3.469,6.36661995636059,2034-04-15 00:00:00,MOTHER FUND
12,事業債,B.20300114.SB00,US63253QAL86,NATIONAL AUSTRALIA BK/NY,オーストラリア,AU,アメリカ・ドル,USD,208060.2586,101.00843,210158.39650933,160.72,33776657.178717405,0.0023778255897184742,4.901,3.14569378114847,2030-01-14 00:00:00,MOTHER FUND
