Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
2121,MIXI INC,JP3882750007,TSE,JPY,1400,3530.0
2158,FRONTEO INC,JP3944630007,TSE,JPY,2100,651.0
2413,M3 (SO-NET M3) INC ORD,JP3435750009,TSE,JPY,13400,1708.0
2432,DENA CO LTD,JP3548610009,TSE,JPY,2400,2496.5
2492,INFOMART CORP,JP3153480003,TSE,JPY,5300,590.0
2678,ASKUL CORP,JP3119920001,TSE,JPY,1800,1280.0
3048,BIC CAMERA INC,JP3800390001,TSE,JPY,3700,1790.0
3092,ZOZO INC,JP3399310006,TSE,JPY,17600,1133.0
3626,TIS INC,JP3104890003,TSE,JPY,4500,3820.0
3635,KOEI TECMO HOLDINGS CO LTD,JP3283460008,TSE,JPY,6600,1672.0
3659,NEXON CO. LTD,JP3758190007,TSE,JPY,14500,3095.0
3660,ISTYLE INC,JP3102320003,TSE,JPY,4000,533.0
3661,M-UP HOLDINGS INC,JP3167310006,TSE,JPY,2700,851.0
3687,FIXSTARS CORP,JP3802950000,TSE,JPY,1400,2181.0
3692,FFRI SECURITY INC,JP3166830004,TSE,JPY,300,4780.0
3762,TECHMATRIX CORPORATION,JP3545130001,TSE,JPY,1000,2388.0
3765,GUNGHO ONLINE ENTERTAINMENT,JP3235900002,TSE,JPY,1400,2455.0
3769,GMO PAYMENT GATEWAY INC,JP3385890003,TSE,JPY,1500,9222.0
3774,INTERNET INITIATIVE JAPAN INC,JP3152820001,TSE,JPY,3600,3381.0
3778,SAKURA INTERNET INC,JP3317300006,TSE,JPY,800,3570.0
3905,DATASECTION INC,JP3548480007,TSE,JPY,1300,1840.0
3993,PKSHA TECHNOLOGY INC,JP3780050005,TSE,JPY,600,3305.0
3994,MONEY FORWARD INC,JP3869960009,TSE,JPY,1100,6100.0
4432,WINGARC1ST ORD,JP3154360006,TSE,JPY,700,3320.0
4477,BASE INC,JP3835260005,TSE,JPY,6000,312.0
4480,MEDLEY INC,JP3921310003,TSE,JPY,900,2863.0
4483,JMDC INC,JP3386690006,TSE,JPY,1300,3365.0
4686,JUSTSYSTEMS CORP,JP3388450003,TSE,JPY,1300,4035.0
4689,LY CORP,JP3933800009,TSE,JPY,111000,525.6
4704,TREND MICRO INC,JP3637300009,TSE,JPY,2800,5472.0
4751,CYBERAGENT INC,JP3311400000,TSE,JPY,10000,1305.5
4755,RAKUTEN GROUP INC,JP3967200001,TSE,JPY,42900,780.8
4776,CYBOZU INC,JP3312100005,TSE,JPY,1000,3090.0
4819,DIGITAL GARAGE INC,JP3549070005,TSE,JPY,900,2285.0
5032,ANYCOLOR INC,JP3164780003,TSE,JPY,1200,2830.0
5253,COVER CORP,JP3218500001,TSE,JPY,1300,1501.0
590A,GIFTEE GROUP CO LTD,JP3264880000,TSE,JPY,1600,1393.0
6058,VECTOR INC,JP3835500004,TSE,JPY,1400,1900.0
6098,RECRUIT HOLDINGS CO LTD,JP3970300004,TSE,JPY,6500,15900.0
6200,INSOURCE CO LTD,JP3152670000,TSE,JPY,2400,737.0
6701,NEC CORP ORD,JP3733000008,TSE,JPY,11000,4656.0
6758,SONY GROUP CORP,JP3435000009,TSE,JPY,13200,3785.0
6971,KYOCERA CORP ORD,JP3249600002,TSE,JPY,17900,3608.0
7180,KYUSHU FINANCIAL GROUP INC,JP3246500007,TSE,JPY,9200,1507.0
7552,HAPPINET CORP,JP3770300006,TSE,JPY,900,3695.0
7832,BANDAI NAMCO HOLDINGS INC,JP3778630008,TSE,JPY,11000,5484.0
7974,NINTENDO CO LTD,JP3756600007,TSE,JPY,4800,8599.0
8056,BIPROGY INC,JP3754200008,TSE,JPY,2000,4546.0
9404,NIPPON TELEVISION NETWORK CORP ORD,JP3732200005,TSE,JPY,5200,2954.5
9409,TV ASAHI HOLDINGS CORP,JP3429000007,TSE,JPY,2100,3075.0
9434,SOFTBANK CORP,JP3732000009,TSE,JPY,201200,233.8
9449,GMO INTERNET GROUP INC,JP3152750000,TSE,JPY,2100,4054.0
9468,KADOKAWA CORP,JP3214350005,TSE,JPY,2900,3526.0
9684,SQUARE ENIX HOLDINGS CO LTD ORD,JP3164630000,TSE,JPY,7300,2917.0
9697,CAPCOM CO LTD,JP3218900003,TSE,JPY,10500,4130.0
9735,SECOM CO LTD ORD,JP3421800008,TSE,JPY,7000,6413.0
9746,TKC CORP,JP3539400006,TSE,JPY,1000,4035.0
9766,KONAMI GROUP CORP,JP3300200007,TSE,JPY,2200,21885.0
9889,JBCC HOLDINGS INC,JP3746800006,TSE,JPY,1400,1757.0
9984,SOFTBANK GROUP CORP,JP3436100006,TSE,JPY,11900,5255.0
,225-MINI FUTURES SEP.2026,,OSE,JPY,1.0,66090
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2626,Global X Digital Innovation Japan ETF,6716274.0,325829,20260824,,
,,,,,,
