Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
2371,KAKAKU.COM INC,JP3206000006,TSE,JPY,11000,3700.0
2413,M3 (SO-NET M3) INC ORD,JP3435750009,TSE,JPY,15200,1708.0
2492,INFOMART CORP,JP3153480003,TSE,JPY,29900,590.0
2678,ASKUL CORP,JP3119920001,TSE,JPY,6100,1280.0
3064,MONOTARO CO LTD,JP3922950005,TSE,JPY,12600,1816.0
3092,ZOZO INC,JP3399310006,TSE,JPY,21600,1133.0
3182,OISIX RA DAICHI INC,JP3174190003,TSE,JPY,4600,1746.0
3249,IND & INFRA FU/D,JP3046500009,TSE,JPY,26,137900.0
3281,GLP J-REIT/D,JP3047510007,TSE,JPY,45,138800.0
3283,NIPPON PROLOGIS REIT INC,JP3047550003,TSE,JPY,70,86300.0
3466,LASALLE LOGIPORT REIT,JP3048180008,TSE,JPY,18,148800.0
3471,MITSUI FUDOSAN LOGISTICS PARK INC,JP3048300002,TSE,JPY,34,106100.0
3481,MITSUBISHI ESTATE LOGISTICS REIT INVESTMENT CORP,JP3048480002,TSE,JPY,15,119300.0
3487,CRE LOGISTICS REIT INC,JP3048680007,TSE,JPY,6,134300.0
3769,GMO PAYMENT GATEWAY INC,JP3385890003,TSE,JPY,2700,9222.0
4051,GMO FINANCIAL GATE INC,JP3386710002,TSE,JPY,600,6680.0
4385,MERCARI INC,JP3921290007,TSE,JPY,5600,4745.0
4689,LY CORP,JP3933800009,TSE,JPY,53700,525.6
4751,CYBERAGENT INC,JP3311400000,TSE,JPY,17600,1305.5
4755,RAKUTEN GROUP INC,JP3967200001,TSE,JPY,28600,780.8
4819,DIGITAL GARAGE INC,JP3549070005,TSE,JPY,3200,2285.0
6027,BENGO4.COM INC,JP3835870001,TSE,JPY,1500,4475.0
8967,JAPAN LOGISTICS FUND INC ORD,JP3046230003,TSE,JPY,30,95200.0
9603,HIS CO LTD ORD,JP3160740001,TSE,JPY,9300,1152.0
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2627,Global X E-Commerce Japan ETF,1211189.0,208268,20260824,,
,,,,,,
