Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
3993,PKSHA TECHNOLOGY INC,JP3780050005,TSE,JPY,200200,2787.0
4180,APPIER GROUP INC,JP3160960005,TSE,JPY,764100,953.0
4259,EXAWIZARDS INC,JP3161330000,TSE,JPY,676800,777.0
4483,JMDC INC,JP3386690006,TSE,JPY,297100,3130.0
4684,OBIC CO LTD ORD,JP3173400007,TSE,JPY,303000,4525.0
4751,CYBERAGENT INC,JP3311400000,TSE,JPY,898700,1455.5
6268,NABTESCO CORP ORD,JP3651210001,TSE,JPY,249200,4693.0
6273,SMC CORP ORD,JP3162600005,TSE,JPY,16100,70480.0
6479,MINEBEA MITSUMI INC,JP3906000009,TSE,JPY,9100,3702.0
6501,HITACHI LTD,JP3788600009,TSE,JPY,119600,5267.0
6503,MITSUBISHI ELECTRIC CORP,JP3902400005,TSE,JPY,49400,5912.0
6504,FUJI ELECTRIC (FUJI ELEC HLDGS) ORD,JP3820000002,TSE,JPY,3800,14285.0
6506,YASKAWA ELECTRIC CORP ORD,JP3932000007,TSE,JPY,226200,4867.0
6645,OMRON CORP ORD,JP3197800000,TSE,JPY,4900,5430.0
6702,FUJITSU LTD ORD,JP3818000006,TSE,JPY,46000,3659.0
6723,RENESAS ELECTRONICS CORP,JP3164720009,TSE,JPY,47200,3442.0
6861,KEYENCE CORP ORD,JP3236200006,TSE,JPY,19200,81150.0
6902,DENSO CORP ORD,JP3551500006,TSE,JPY,44200,1967.5
6914,OPTEX GROUP CO LTD,JP3197700002,TSE,JPY,395800,3475.0
6929,NIPPON CERAMIC CO LTD,JP3725200004,TSE,JPY,167800,3735.0
6954,FANUC CORP,JP3802400006,TSE,JPY,183300,7135.0
6963,ROHM CO LTD ORD,JP3982800009,TSE,JPY,8500,4331.0
6988,NITTO DENKO CORP,JP3684000007,TSE,JPY,17200,3325.0
7779,CYBERDYNE INC,JP3311530004,TSE,JPY,1252400,219.0
,225-MINI FUTURES SEP.2026,,OSE,JPY,6.0,63720
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2638,Global X Japan Robotics & AI ETF,33909233.0,5868229,20260803,,
,,,,,,
