Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
167A,RYOYO RYOSAN HOLDINGS INC,JP3975410006,TSE,JPY,106100,2712.0
268A,RIGAKU HLDG CORP ORD,JP3969750003,TSE,JPY,347500,2820.0
2737,TOMEN DEVICES CORP,JP3553900006,TSE,JPY,8700,16130.0
2760,TOKYO ELECTRON,JP3571600000,TSE,JPY,69600,4130.0
3132,MACNICA HOLDINGS INC,JP3862960006,TSE,JPY,456500,3350.0
3436,SUMCO CORP,JP3322930003,TSE,JPY,1195800,4254.0
3445,RS TECHNOLOGIES CO LTD,JP3100350002,TSE,JPY,40700,7230.0
429A,TEKSCEND PHOTOMASK CORP,JP3545320008,TSE,JPY,169200,4305.0
6055,JAPAN MATERIAL CO LTD,JP3389680004,TSE,JPY,211100,2454.0
6146,DISCO CORP ORD,JP3548600000,TSE,JPY,99100,84900.0
6227,AIMECHATEC LTD,JP3105350007,TSE,JPY,40900,6970.0
6235,OPTORUN CO LTD,JP3197760006,TSE,JPY,94200,3945.0
6266,TAZMO CO,JP3468000009,TSE,JPY,36600,4635.0
6315,TOWA CORP,JP3555700008,TSE,JPY,202800,3325.0
6323,RORZE CORP,JP3982200002,TSE,JPY,308200,4864.0
6387,SAMCO INC,JP3322950001,TSE,JPY,15400,14580.0
6525,KOKUSAI ELECTRIC CORP,JP3293330001,TSE,JPY,584500,10165.0
6526,SOCIONEXT INC,JP3433500000,TSE,JPY,598500,2630.0
6590,SHIBAURA MECHATRONICS CORP,JP3355000005,TSE,JPY,206900,4715.0
6627,TERA PROBE INC,JP3546550009,TSE,JPY,11600,12740.0
6707,SANKEN ELECTRIC CO. LTD.,JP3329600005,TSE,JPY,63600,9664.0
6723,RENESAS ELECTRONICS CORP,JP3164720009,TSE,JPY,2289500,4734.0
6728,ULVAC INC,JP3126190002,TSE,JPY,153300,10255.0
6770,ALPS ALPINE CO LTD,JP3126400005,TSE,JPY,540700,2176.0
6855,JAPAN ELECTRONIC MATERIALS,JP3735300000,TSE,JPY,37400,8060.0
6856,HORIBA LTD ORD,JP3853000002,TSE,JPY,117600,28630.0
6857,ADVANTEST CORP ORD,JP3122400009,TSE,JPY,269000,31740.0
6871,MICRONICS JAPAN CO LTD,JP3750400008,TSE,JPY,93700,15430.0
6875,MEGACHIPS CORP,JP3920860008,TSE,JPY,33400,10860.0
6920,LASERTEC CORP,JP3979200007,TSE,JPY,179300,55100.0
6929,NIPPON CERAMIC CO LTD,JP3725200004,TSE,JPY,47500,3845.0
6941,YAMAICHI ELECTRONICS CO LTD,JP3934200001,TSE,JPY,58800,10590.0
6963,ROHM CO LTD ORD,JP3982800009,TSE,JPY,1115300,5509.0
7433,HAKUTO CO LTD,JP3766400000,TSE,JPY,37100,4530.0
7717,V TECHNOLOGY CO LTD,JP3829900004,TSE,JPY,28200,8430.0
7729,TOKYO SEIMITSU,JP3580200008,TSE,JPY,124700,20075.0
7735,SCREEN HOLDINGS CO LTD,JP3494600004,TSE,JPY,522200,16745.0
8035,TOKYO ELECTRON LTD ORD,JP3571400005,TSE,JPY,143700,75360.0
,NK225 FUTURES SEP.2026,,OSE,JPY,4.0,71620
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2644,Global X Japan Semiconductor ETF,283221851.0,19816147,20260622,,
,,,,,,
