Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
2353,NIPPON PARKING DEVELOPMENT C,JP3728000005,TSE,JPY,7100,269.0
4293,SEPTENI HOLDINGS CO LTD,JP3423300007,TSE,JPY,4500,511.0
4337,PIA CORP,JP3801570007,TSE,JPY,300,2822.0
4343,AEON FANTASY CO LTD,JP3131420006,TSE,JPY,400,2905.0
4661,ORIENTAL LAND CO LTD ORD,JP3198900007,TSE,JPY,13800,3007.0
4676,FUJI MEDIA HLDGS (FUJI TELE) ORD,JP3819400007,TSE,JPY,3500,4145.0
4751,CYBERAGENT INC,JP3311400000,TSE,JPY,10700,1305.5
5032,ANYCOLOR INC,JP3164780003,TSE,JPY,1300,2830.0
5253,COVER CORP,JP3218500001,TSE,JPY,1400,1501.0
6200,INSOURCE CO LTD,JP3152670000,TSE,JPY,1800,737.0
6736,SUN CORP,JP3336450006,TSE,JPY,500,7560.0
6752,PANASONIC HOLDINGS CORP,JP3866800000,TSE,JPY,13700,4303.0
6758,SONY GROUP CORP,JP3435000009,TSE,JPY,11300,3785.0
6952,CASIO COMPUTER CO LTD ORD,JP3209000003,TSE,JPY,4900,2312.0
7309,SHIMANO INC,JP3358000002,TSE,JPY,1800,20360.0
7458,DAIICHIKOSHO CO LTD ORD,JP3475200006,TSE,JPY,2100,1872.5
8136,SANRIO CO LTD ORD,JP3343200006,TSE,JPY,26200,1176.0
8214,AOKI HOLDINGS INC,JP3105400000,TSE,JPY,1800,1737.0
8920,TOSHO CO. LTD.,JP3594400008,TSE,JPY,800,722.0
9010,FUJI KYUKO CO LTD,JP3810400006,TSE,JPY,1100,2739.0
9042,HANKYU HANSHIN HOLDINGS INC,JP3774200004,TSE,JPY,5100,4720.0
9044,NANKAI ELECTRIC RAILWAY CO LTD ORD,JP3653000004,TSE,JPY,2200,3043.0
9202,ANA HOLDINGS INC,JP3429800000,TSE,JPY,9900,3040.0
9404,NIPPON TELEVISION NETWORK CORP ORD,JP3732200005,TSE,JPY,5500,2954.5
9409,TV ASAHI HOLDINGS CORP,JP3429000007,TSE,JPY,2300,3075.0
9413,TV TOKYO HOLDINGS CORP,JP3547060008,TSE,JPY,600,3420.0
9418,USEN NEXT HOLDINGS CO LTD,JP3944640006,TSE,JPY,3800,1755.0
9434,SOFTBANK CORP,JP3732000009,TSE,JPY,174600,233.8
9468,KADOKAWA CORP,JP3214350005,TSE,JPY,3100,3526.0
9603,HIS CO LTD ORD,JP3160740001,TSE,JPY,1600,1152.0
,MINI-TPX FUTURES SEP.2026,,OSE,JPY,1.0,4076
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2645,Global X Japan Leisure & Entertainment ETF,3986511.0,139310,20260824,,
,,,,,,
