Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
2124,JAC RECRUITMENT CO LTD,JP3386130003,TSE,JPY,67500,984.0
2269,MEIJI HOLDINGS CO LTD,JP3918000005,TSE,JPY,176700,4351.0
2670,ABC MART INC ORD,JP3152740001,TSE,JPY,66700,2793.5
3076,AI HOLDINGS CORP,JP3105090009,TSE,JPY,33500,2933.0
3092,ZOZO INC,JP3399310006,TSE,JPY,378400,1133.0
3635,KOEI TECMO HOLDINGS CO LTD,JP3283460008,TSE,JPY,108400,1672.0
3861,OJI PAPER CO LTD,JP3174410005,TSE,JPY,953200,866.7
4021,NISSAN CHEMICAL CORP,JP3670800006,TSE,JPY,87500,7978.0
4151,KYOWA KIRIN CO LTD,JP3256000005,TSE,JPY,148900,2576.5
4452,KAO CORP,JP3205800000,TSE,JPY,336100,3556.0
4507,SHIONOGI & CO LTD ORD,JP3347200002,TSE,JPY,349400,2919.0
4528,ONO PHARMACEUTICAL CO LTD ORD,JP3197600004,TSE,JPY,374400,2448.0
4732,USS CO (TOKAI) LTD ORD,JP3944130008,TSE,JPY,287400,1960.0
5334,NITERRA CO LTD,JP3738600000,TSE,JPY,97600,8803.0
6436,AMANO CORPORATION,JP3124400007,TSE,JPY,69600,3864.0
6869,SYSMEX CORP ORD,JP3351100007,TSE,JPY,319700,1976.5
7164,ZENKOKU HOSHO CO LTD,JP3429250008,TSE,JPY,122000,3188.0
8056,BIPROGY INC,JP3754200008,TSE,JPY,52200,4546.0
8111,GOLDWIN INC,JP3306600002,TSE,JPY,71300,2139.0
8252,MARUI GROUP CO LTD (MARUI CO) ORD,JP3870400003,TSE,JPY,197400,2989.5
8591,ORIX CORP ORD,JP3200450009,TSE,JPY,189600,6115.0
8876,RELO GROUP INC,JP3755200007,TSE,JPY,66400,2162.0
9301,MITSUBISHI LOGISTICS CORP ORD,JP3902000003,TSE,JPY,199000,1510.5
9434,SOFTBANK CORP,JP3732000009,TSE,JPY,5898000,233.8
9759,NSD CO LTD,JP3712600000,TSE,JPY,66400,2869.5
,TOPIX FUTURES SEP.2026,,OSE,JPY,1.0,4076
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2849,Global X Morningstar Japan High Dividend ESG ETF,41380227.0,2454920,20260824,,
,,,,,,
