Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
8035,TOKYO ELECTRON,Information Technology,Equity,"114,009,000.00",7.69,"114,009,000.00","2,100.00","54,290.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8316,SUMITOMO MITSUI FINANCIAL GROUP,Financials,Equity,"110,320,200.00",7.44,"110,320,200.00","16,700.00","6,606.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6501,HITACHI,Industrials,Equity,"104,959,200.00",7.08,"104,959,200.00","20,200.00","5,196.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6098,RECRUIT HOLDINGS LTD,Industrials,Equity,"101,760,000.00",6.86,"101,760,000.00","6,400.00","15,900.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6758,SONY GROUP,Consumer Discretionary,Equity,"101,438,000.00",6.84,"101,438,000.00","26,800.00","3,785.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4063,SHIN ETSU CHEMICAL,Materials,Equity,"49,013,100.00",3.31,"49,013,100.00","8,100.00","6,051.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9433,KDDI,Communication,Equity,"41,691,650.00",2.81,"41,691,650.00","14,300.00","2,915.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
7741,HOYA,Health Care,Equity,"37,342,500.00",2.52,"37,342,500.00","1,500.00","24,895.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4062,IBIDEN LTD,Information Technology,Equity,"32,623,000.00",2.20,"32,623,000.00","1,700.00","19,190.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9434,SOFTBANK,Communication,Equity,"32,428,060.00",2.19,"32,428,060.00","138,700.00",233.80,Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8308,RESONA HOLDINGS,Financials,Equity,"31,627,400.00",2.13,"31,627,400.00","13,300.00","2,378.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6702,FUJITSU,Information Technology,Equity,"30,261,800.00",2.04,"30,261,800.00","8,300.00","3,646.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8750,DAIICHI LIFE GROUP,Financials,Equity,"29,152,550.00",1.97,"29,152,550.00","16,300.00","1,788.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8630,SOMPO HOLDINGS,Financials,Equity,"27,703,700.00",1.87,"27,703,700.00","4,100.00","6,757.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6954,FANUC CORP,Industrials,Equity,"27,157,500.00",1.83,"27,157,500.00","4,500.00","6,035.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
7936,ASICS,Consumer Discretionary,Equity,"22,976,100.00",1.55,"22,976,100.00","4,900.00","4,689.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
2802,AJINOMOTO,Consumer Staples,Equity,"22,663,200.00",1.53,"22,663,200.00","4,200.00","5,396.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
5713,SUMITOMO METAL MINING,Materials,Equity,"18,292,000.00",1.23,"18,292,000.00","1,700.00","10,760.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8801,MITSUI FUDOSAN,Real Estate,Equity,"17,376,800.00",1.17,"17,376,800.00","11,600.00","1,498.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8601,DAIWA SECURITIES GROUP INC,Financials,Equity,"16,366,800.00",1.10,"16,366,800.00","9,200.00","1,779.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9735,SECOM,Industrials,Equity,"14,749,900.00",0.99,"14,749,900.00","2,300.00","6,413.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3407,ASAHI KASEI,Materials,Equity,"14,609,350.00",0.99,"14,609,350.00","8,900.00","1,641.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8697,JAPAN EXCHANGE GROUP,Financials,Equity,"14,547,000.00",0.98,"14,547,000.00","6,500.00","2,238.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
1928,SEKISUI HOUSE,Consumer Discretionary,Equity,"14,231,100.00",0.96,"14,231,100.00","4,100.00","3,471.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6504,FUJI ELECTRIC,Industrials,Equity,"13,885,000.00",0.94,"13,885,000.00","1,000.00","13,885.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8267,AEON,Consumer Staples,Equity,"13,716,450.00",0.93,"13,716,450.00","9,900.00","1,385.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
7186,YOKOHAMA FINANCIAL GROUP,Financials,Equity,"13,365,750.00",0.90,"13,365,750.00","7,100.00","1,882.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
7272,YAMAHA MOTOR,Consumer Discretionary,Equity,"12,610,000.00",0.85,"12,610,000.00","6,500.00","1,940.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4307,NOMURA RESEARCH INSTITUTE,Information Technology,Equity,"12,530,000.00",0.85,"12,530,000.00","2,500.00","5,012.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3402,TORAY INDUSTRIES,Materials,Equity,"12,335,750.00",0.83,"12,335,750.00","9,500.00","1,298.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6146,DISCO CORP,Information Technology,Equity,"12,272,000.00",0.83,"12,272,000.00",200.00,"61,360.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4661,ORIENTAL LAND,Consumer Discretionary,Equity,"12,028,000.00",0.81,"12,028,000.00","4,000.00","3,007.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4911,SHISEIDO,Consumer Staples,Equity,"10,348,800.00",0.70,"10,348,800.00","2,800.00","3,696.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4188,MITSUBISHI CHEMICAL GROUP,Materials,Equity,"10,098,000.00",0.68,"10,098,000.00","8,800.00","1,147.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
5334,NITERRA,Consumer Discretionary,Equity,"9,683,300.00",0.65,"9,683,300.00","1,100.00","8,803.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9697,CAPCOM LTD,Communication,Equity,"9,086,000.00",0.61,"9,086,000.00","2,200.00","4,130.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
2801,KIKKOMAN CORP,Consumer Staples,Equity,"8,820,000.00",0.59,"8,820,000.00","4,800.00","1,837.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9042,HANKYU HANSHIN HOLDINGS,Industrials,Equity,"8,024,000.00",0.54,"8,024,000.00","1,700.00","4,720.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6841,YOKOGAWA ELECTRIC,Information Technology,Equity,"8,000,000.00",0.54,"8,000,000.00","1,600.00","5,000.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3099,ISETAN MITSUKOSHI HOLDINGS,Consumer Discretionary,Equity,"7,640,600.00",0.52,"7,640,600.00","2,200.00","3,473.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6976,TAIYO YUDEN LTD,Information Technology,Equity,"7,440,000.00",0.50,"7,440,000.00",800.00,"9,300.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
2269,MEIJI HOLDINGS LTD,Consumer Staples,Equity,"7,396,700.00",0.50,"7,396,700.00","1,700.00","4,351.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4507,SHIONOGI,Health Care,Equity,"7,297,500.00",0.49,"7,297,500.00","2,500.00","2,919.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8136,SANRIO,Consumer Discretionary,Equity,"7,291,200.00",0.49,"7,291,200.00","6,200.00","1,176.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4204,SEKISUI CHEMICAL,Industrials,Equity,"6,871,800.00",0.46,"6,871,800.00","2,600.00","2,643.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6869,SYSMEX,Health Care,Equity,"6,720,100.00",0.45,"6,720,100.00","3,400.00","1,976.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6724,SEIKO EPSON,Information Technology,Equity,"6,432,300.00",0.43,"6,432,300.00","2,100.00","3,063.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
5332,TOTO LTD,Industrials,Equity,"6,351,000.00",0.43,"6,351,000.00","1,000.00","6,351.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8830,SUMITOMO REALTY & DEVELOPMENT,Real Estate,Equity,"6,344,100.00",0.43,"6,344,100.00","1,900.00","3,339.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
1801,TAISEI,Industrials,Equity,"6,177,500.00",0.42,"6,177,500.00",500.00,"12,355.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
1802,OBAYASHI,Industrials,Equity,"6,177,150.00",0.42,"6,177,150.00","2,100.00","2,941.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
1812,KAJIMA,Industrials,Equity,"6,171,100.00",0.42,"6,171,100.00","1,300.00","4,747.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3088,MATSUKIYOKARA,Consumer Staples,Equity,"5,916,750.00",0.40,"5,916,750.00","2,300.00","2,572.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4005,SUMITOMO CHEMICAL,Materials,Equity,"5,877,900.00",0.40,"5,877,900.00","10,500.00",559.80,Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4528,ONO PHARMACEUTICAL,Health Care,Equity,"5,875,200.00",0.40,"5,875,200.00","2,400.00","2,448.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9005,TOKYU,Industrials,Equity,"5,867,750.00",0.40,"5,867,750.00","3,500.00","1,676.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3003,HULIC,Real Estate,Equity,"5,696,000.00",0.38,"5,696,000.00","3,200.00","1,780.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
5706,MITSUI KINZOKU LIMITED LTD,Materials,Equity,"5,642,000.00",0.38,"5,642,000.00",200.00,"28,210.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4021,NISSAN CHEMICAL CORP,Materials,Equity,"5,584,600.00",0.38,"5,584,600.00",700.00,"7,978.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3086,J.FRONT RETAILING,Consumer Discretionary,Equity,"5,139,100.00",0.35,"5,139,100.00","1,700.00","3,023.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3626,TISI,Information Technology,Equity,"4,966,000.00",0.33,"4,966,000.00","1,300.00","3,820.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6845,AZBIL CORP,Information Technology,Equity,"4,787,200.00",0.32,"4,787,200.00","3,200.00","1,496.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4689,LY CORP,Communication,Equity,"4,467,600.00",0.30,"4,467,600.00","8,500.00",525.60,Japan,Tokyo Stock Exchange,JPY,1.00,JPY
