Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
4063,SHIN-ETSU CHEMICAL CO LTD,JP3371200001,TSE,JPY,32300,5800.0
4307,NOMURA RESEARCH INSTITUTE LTD ORD,JP3762800005,TSE,JPY,35900,4686.0
5803,FUJIKURA LTD,JP3811000003,TSE,JPY,105200,4172.0
6098,RECRUIT HOLDINGS CO LTD,JP3970300004,TSE,JPY,124300,12550.0
6146,DISCO CORP ORD,JP3548600000,TSE,JPY,1800,58480.0
6503,MITSUBISHI ELECTRIC CORP,JP3902400005,TSE,JPY,128200,5912.0
6701,NEC CORP ORD,JP3733000008,TSE,JPY,114800,4740.0
6702,FUJITSU LTD ORD,JP3818000006,TSE,JPY,156100,3659.0
6723,RENESAS ELECTRONICS CORP,JP3164720009,TSE,JPY,35000,3442.0
6752,PANASONIC HOLDINGS CORP,JP3866800000,TSE,JPY,156000,4284.0
6758,SONY GROUP CORP,JP3435000009,TSE,JPY,318800,3787.0
6762,TDK CORP ORD,JP3538800008,TSE,JPY,176000,3008.0
6857,ADVANTEST CORP ORD,JP3122400009,TSE,JPY,43200,32500.0
6861,KEYENCE CORP ORD,JP3236200006,TSE,JPY,17400,81150.0
6954,FANUC CORP,JP3802400006,TSE,JPY,86300,7135.0
6981,MURATA MANUFACTURING LTD ORD,JP3914400001,TSE,JPY,114400,7416.0
7741,HOYA CORP ORD,JP3837800006,TSE,JPY,6800,24675.0
7974,NINTENDO CO LTD,JP3756600007,TSE,JPY,98800,7679.0
8035,TOKYO ELECTRON LTD ORD,JP3571400005,TSE,JPY,26700,55500.0
9766,KONAMI GROUP CORP,JP3300200007,TSE,JPY,8900,20640.0
,225-MINI FUTURES SEP.2026,,OSE,JPY,3.0,63720
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2854,Global X Japan Tech Top 20 ETF,16621486.0,5225717,20260803,,
,,,,,,
