Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
2979,SOSILA LOGISTICS REIT INC,JP3048960003,TSE,JPY,1036,102000.0
3234,MORI HILLS REI/D,JP3046470005,TSE,JPY,2184,128400.0
3249,IND & INFRA FU/D,JP3046500009,TSE,JPY,2882,137900.0
3279,ACTIVIA PROPERTIES INC,JP3047490002,TSE,JPY,2708,136400.0
3281,GLP J-REIT/D,JP3047510007,TSE,JPY,6835,138800.0
3283,NIPPON PROLOGIS REIT INC,JP3047550003,TSE,JPY,11952,86300.0
3292,AEON REIT INVESTMENT CORPORATION,JP3047650001,TSE,JPY,2397,120100.0
3295,HULIC REIT INC,JP3047660000,TSE,JPY,1641,153500.0
3296,NIPPON REIT INVESTMENT CORP,JP3047750009,TSE,JPY,2016,81900.0
3309,SEKISUI HOUSE REIT INC,JP3047820000,TSE,JPY,6174,73400.0
3462,NOMURA REAL ESTATE MASTER FUND INC,JP3048110005,TSE,JPY,5296,149500.0
3466,LASALLE LOGIPORT REIT,JP3048180008,TSE,JPY,2474,148800.0
3468,STAR ASIA INVESTMENT CORP,JP3048200004,TSE,JPY,1531,53200.0
3471,MITSUI FUDOSAN LOGISTICS PARK INC,JP3048300002,TSE,JPY,4587,106100.0
3476,MIRAI CORP,JP3048370005,TSE,JPY,1087,40750.0
3481,MITSUBISHI ESTATE LOGISTICS REIT INVESTMENT CORP,JP3048480002,TSE,JPY,2116,119300.0
3487,CRE LOGISTICS REIT INC,JP3048680007,TSE,JPY,699,134300.0
8951,NIPPON BUILDING FUND INC.,JP3027670003,TSE,JPY,12559,128400.0
8952,JAPAN REAL ESTATE INVT CORP ORD,JP3027680002,TSE,JPY,10136,118500.0
8953,JAPAN METROPOLITAN FUND INVESTMENT CORP,JP3039710003,TSE,JPY,8198,115200.0
8954,ORIX JREIT INC ORD,JP3040880001,TSE,JPY,6292,100000.0
8955,JAPAN PRIME REALTY INVESTMENT ORD,JP3040890000,TSE,JPY,4614,97100.0
8956,NTT UD REIT INVESTMENT CORP,JP3041770003,TSE,JPY,1689,129700.0
8957,TOKYU REIT INC,JP3044510000,TSE,JPY,1096,184800.0
8958,GLOBAL ONE REIT,JP3044520009,TSE,JPY,1420,110700.0
8960,UNITED URBAN INV CORP (REIT) ORD,JP3045540006,TSE,JPY,3647,160600.0
8961,MORI TRUST REIT INC,JP3046170001,TSE,JPY,4058,74400.0
8964,FRONTIER REAL ESTATE INVESTMENT CORPORATION,JP3046200006,TSE,JPY,3083,79000.0
8967,JAPAN LOGISTICS FUND INC ORD,JP3046230003,TSE,JPY,3913,95200.0
8968,FUKUOKA REIT CORP,JP3046240002,TSE,JPY,497,177600.0
8972,KENEDIX OFFICE INVESTMENT CORP,JP3046270009,TSE,JPY,4604,149900.0
8976,DAIWA OFFICE INVESTMENT CORP ORD,JP3046310003,TSE,JPY,1065,324000.0
8977,HANKYU HANSHIN REIT INC,JP3046320002,TSE,JPY,792,133700.0
8984,DAIWA HOUSE REIT INVESTMENT CORP,JP3046390005,TSE,JPY,5174,119600.0
8987,JAPAN EXCELLENT,JP3046420000,TSE,JPY,1506,140400.0
,TSE-REIT FUTURES SEP.2026,,OSE,JPY,100.0,1786
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2855,Global X Green J-REIT ETF,63495457.0,16378054,20260824,,
,,,,,,
