No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8306,JP3902900004,三菱ＵＦＪフィナンシャル・グループ,"MITSUBISHI UFJ FINANCIAL GROUP,INC.",2182100,7792279100,0.05662578066525228
2,7203,JP3633400001,トヨタ自動車,TOYOTA MOTOR CORPORATION,2128100,6526882700,0.04743026057652755
3,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",835500,5693097000,0.041371216032034294
4,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,101000,5605500000.000001,0.04073465663198225
5,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,153800,4998500000,0.036323643060380564
6,6501,JP3788600009,日立製作所,"HITACHI,LTD.",915500,4821938500,0.03504058676265017
7,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,1259200,4768590400,0.03465291099144891
8,8411,JP3885780001,みずほフィナンシャルグループ,"MIZUHO FINANCIAL GROUP,INC.",567300,4633139100.000001,0.033668598763127514
9,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",301700,3786335000,0.027514950694613592
10,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,706900,3718294000.0000005,0.02702050296079918
11,6861,JP3236200006,キーエンス,KEYENCE CORPORATION,44800,3635520000,0.02641899186133335
12,6503,JP3902400005,三菱電機,MITSUBISHI ELECTRIC CORPORATION,600300,3548973600.0000005,0.025790067075545434
13,9983,JP3802300008,ファーストリテイリング,"FAST RETAILING CO.,LTD.",45100,3526369000.0000005,0.025625801511491682
14,6981,JP3914400001,村田製作所,"MURATA MANUFACTURING CO.,LTD.",472500,3504060000.0000005,0.025463684045645123
15,4502,JP3463000004,武田薬品工業,TAKEDA PHARMACEUTICAL COMPANY LIMITED,628200,3463266600.0000005,0.025167242132907434
16,8766,JP3910660004,東京海上ホールディングス,"TOKIO MARINE HOLDINGS,INC.",381000,3091434000,0.022465168582719724
17,2914,JP3726800000,日本たばこ産業,JAPAN TOBACCO INC.,431700,3080179500.0000005,0.022383383158927978
18,1928,JP3420600003,積水ハウス,"SEKISUI HOUSE,LTD.",843200,2941081600.0000005,0.021372571421397018
19,9433,JP3496400007,ＫＤＤＩ,KDDI CORPORATION,963300,2813799300.0000005,0.02044762257012078
20,8015,JP3635000007,豊田通商,TOYOTA TSUSHO CORPORATION,410700,2760725400.0000005,0.02006193938528086
21,1925,JP3505000004,大和ハウス工業,"DAIWA HOUSE INDUSTRY CO.,LTD.",587700,2749260600.0000005,0.01997862573059272
22,285A,JP3236330001,キオクシアホールディングス,KIOXIA HOLDINGS CORPORATION,58900,2738850000,0.019902972851039976
23,6752,JP3866800000,パナソニック　ホールディングス,PANASONIC HOLDINGS CORPORATION,634300,2717341200,0.019746670365522898
24,7011,JP3900000005,三菱重工業,"MITSUBISHI HEAVY INDUSTRIES,LTD.",716200,2695776800,0.01958996383988295
25,6971,JP3249600002,京セラ,KYOCERA CORPORATION,684400,2526120400.0000005,0.018357086273311153
26,3003,JP3360800001,ヒューリック,"HULIC CO.,LTD.",1430200,2515006700,0.018276324030262203
27,9434,JP3732000009,ソフトバンク,SOFTBANK CORP.,10875400,2429564360.0000005,0.017655422347676697
28,9735,JP3421800008,セコム,"SECOM CO.,LTD.",349100,2402506200,0.01745879316978119
29,6954,JP3802400006,ファナック,FANUC CORPORATION,330900,2360971500,0.01715696429763555
30,6902,JP3551500006,デンソー,DENSO CORPORATION,1188700,2338767250,0.01699560804047371
31,6301,JP3304200003,小松製作所,KOMATSU LTD.,333100,2329701400,0.01692972733637469
32,8802,JP3899600005,三菱地所,"MITSUBISHI ESTATE COMPANY,LIMITED",566000,2203438000,0.016012182738357274
33,8801,JP3893200000,三井不動産,"MITSUI FUDOSAN CO.,LTD.",1388100,2165436000,0.015736025674522005
34,7751,JP3242800005,キヤノン,CANON INC.,486500,2154222000,0.015654534560531987
35,6367,JP3481800005,ダイキン工業,"DAIKIN INDUSTRIES,LTD.",88200,2054619000,0.014930728654811655
36,4063,JP3371200001,信越化学工業,"SHIN-ETSU CHEMICAL CO.,LTD.",349000,2024200000.0000002,0.01470967655953233
37,7741,JP3837800006,ＨＯＹＡ,HOYA CORPORATION,78900,1946857500.0000002,0.01414763567458735
38,7974,JP3756600007,任天堂,"NINTENDO CO.,LTD.",247400,1899784600.0000002,0.013805561208764205
39,4503,JP3942400007,アステラス製薬,ASTELLAS PHARMA INC.,824900,1816429800,0.013199829488734311
40,5803,JP3811000003,フジクラ,FUJIKURA LTD.,422500,1762670000.0000002,0.012809161931227572
41,6702,JP3818000006,富士通,FUJITSU LIMITED,473600,1732902400,0.012592843500265445
42,6701,JP3733000008,日本電気,NEC CORPORATION,364500,1727730000,0.012555256141784798
43,5802,JP3407400005,住友電気工業,"SUMITOMO ELECTRIC INDUSTRIES,LTD.",765100,1670978400.0000002,0.012142847446875228
44,4568,JP3475350009,第一三共,"DAIICHI SANKYO COMPANY,LIMITED",551800,1416746500.0000002,0.010295367444842145
45,-,-,TOPIX先物 2609,TOPIX Futures 2609,9,358785000.00000006,0.0026072578324334585
,,,,,,,
,,,合計（Total）,,,137448630410,0.9988266460240092
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,137610095763,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
294A,NEXT FUNDS MSCIジャパン気候変動指数（セレクト）連動型上場投信　（NEXT FUNDS MSCI Global Climate 500 Japan Selection Index Exchange Traded Fund）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3050600000,,
