No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
1,ADP,US0530151036,AUTOMATIC DATA PROCESS,530.8828,22514307.224105105,0.017757907104332397,MOTHER FUND
2,SJM,US8326964058,JM SMUCKER CO/THE-NEW,1124.8408,22093662.455231402,0.017426128264538248,MOTHER FUND
3,ABBV,US00287Y1091,ABBVIE INC,525.0425,21721499.0737735,0.017132588574874253,MOTHER FUND
4,SWK,US8545021011,STANLEY BLACK & DECKER INC,1412.4753,21691094.721361306,0.017108607483192026,MOTHER FUND
5,WST,US9553061055,WEST PHARMACEUTICAL SERVICES,392.0298,21396556.2301835,0.016876293554412294,MOTHER FUND
6,NUE,US6703461052,NUCOR CORP,517.7421,21388687.7441865,0.01687008737440437,MOTHER FUND
7,BEN,US3546131018,FRANKLIN RESOURCES INC,3953.5875,21076900.8156596,0.01662416893427587,MOTHER FUND
8,TROW,US74144T1088,T ROWE PRICE GROUP INC,1086.2948,20825012.0987699,0.016425494536230534,MOTHER FUND
9,HRL,US4404521001,HORMEL FOODS CORP,5069.3758,20670209.582580302,0.01630339578921386,MOTHER FUND
10,KO,US1912161007,COCA COLA CO,1441.6768,20503689.4027479,0.016172054866527393,MOTHER FUND
11,GD,US3695501086,GENERAL DYNAMICS,330.8527,20323349.4473912,0.016029813751020406,MOTHER FUND
12,CTAS,US1729081059,CINTAS CORP,610.8948,20303266.046297804,0.016013973193840226,MOTHER FUND
13,GWW,US3848021040,GRAINGER(W.W.) INC,91.9554,20032892.968889102,0.01580071946391885,MOTHER FUND
14,ADM,US0394831020,ARCHER DANIELS MIDLAND,1542.1298,19979277.5798698,0.015758430927652094,MOTHER FUND
15,KMB,US4943681035,KIMBERLY-CLARK CORP,1114.9123,19744802.7354377,0.015573491526040392,MOTHER FUND
16,ABT,US0028241000,ABBOTT LABORATORIES,1161.6346,19717166.9396986,0.015551694102357561,MOTHER FUND
17,SYY,US8718291078,SYSCO CORP,1439.9247,19603985.6693331,0.015462423645794324,MOTHER FUND
18,JNJ,US4781601046,JOHNSON & JOHNSON,476.276,19582275.112486605,0.01544529968777839,MOTHER FUND
19,CL,US1941621039,COLGATE PALMOLIVE CO.,1316.4024,19380013.4064656,0.015285768037502284,MOTHER FUND
20,FRT,US3137451015,FEDERAL REALTY INVS TRUST,969.1969,19329415.8291379,0.015245859766332935,MOTHER FUND
21,KVUE,US49177J1025,KENVUE INC,6225.7542,19321648.012301005,0.015239732987995054,MOTHER FUND
22,ESS,US2971781057,ESSEX PROPERTY TRUST INC,425.4071,19271169.5536246,0.015199918670324834,MOTHER FUND
23,CAH,US14149Y1082,CARDINAL HEALTH INC,525.6265,19182577.3082052,0.015130042531180849,MOTHER FUND
