No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
1,-,TW0000093509,NF NOMURA TAIWAN IT 50 ETF,14384087.0663,3406060477.7533803,0.9977527318674977,MOTHER FUND
,,,,,,,
,,,合計（Total）,,3406060477.7533803,0.9977527318674977,
,,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,3413732049,1,
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
412A,"NEXT FUNDS TIP FactSet 台湾イノベイティブ・テクノロジー50指数連動型上場投信
　（NEXT FUNDS TIP FactSet Taiwan Innovative Technology 50 Index Exchange Traded Fund）",,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3050900004,,
