No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
1,ASML,NL0010273215,ASML HOLDING NV,205.8921,54885234.5347061,0.08168564137257185,MOTHER FUND
2,SIE,DE0007236101,SIEMENS AG,566.5127,29479754.948235903,0.043874690722696626,MOTHER FUND
3,SAN,ES0113900J37,BANCO SANTANDER SA,11339.5385,25710699.982197504,0.03826520986906849,MOTHER FUND
4,TTE,FR0000120271,TOTALENERGIES SE,1757.2004,24582387.220802303,0.03658594307965277,MOTHER FUND
5,SU,FR0000121972,SCHNEIDER ELECTRIC SE,445.515,23472026.889216702,0.03493339487412624,MOTHER FUND
6,ALV,DE0008404005,ALLIANZ SE-REG,293.6748,23458528.268701002,0.03491330489029329,MOTHER FUND
7,SAP,DE0007164600,SAP SE,781.0696,22544724.2365443,0.03355329123473787,MOTHER FUND
8,BBVA,ES0113211835,BANCO BILBAO VIZCAYA ARGENTARIA S.A.,4350.9664,19298603.5454909,0.028722092955830975,MOTHER FUND
9,IBE,ES0144580Y14,IBERDROLA SA,4854.3499,18440036.465530302,0.027444288402702757,MOTHER FUND
10,SAF,FR0000073272,SAFRAN SA,285.2163,17967579.693015404,0.026741131445993556,MOTHER FUND
11,UCG,IT0005239360,UNICREDIT SPA,1164.487,17612054.6781673,0.026212003910909477,MOTHER FUND
12,AIR,NL0000235190,AIRBUS SE,454.3861,17159655.8813616,0.0255386992200115,MOTHER FUND
13,ENR,DE000ENER6Y0,SIEMENS ENERGY AG,627.9915,16991654.629851002,0.025288663120186506,MOTHER FUND
14,MC,FR0000121014,LVMH MOET HENNESSY LOUIS VUITTON SE,190.6256,16702095.650096802,0.024857712771209628,MOTHER FUND
15,BNP,FR0000131104,BNP PARIBAS,802.0096,16159258.437394401,0.024049808673570115,MOTHER FUND
16,AI,FR0000120073,AIR LIQUIDE SA,491.6241,15629964.510178002,0.02326206103459557,MOTHER FUND
17,ISP,IT0000072618,INTESA SANPAOLO,11868.7101,14312141.3742127,0.021300746138348384,MOTHER FUND
18,OR,FR0000120321,LOREAL-ORD,185.7774,13550097.770807302,0.020166597381843135,MOTHER FUND
19,DTE,DE0005557508,DEUTSCHE TELEKOM-REG,2674.7406,13418510.2294902,0.019970755771613148,MOTHER FUND
20,INGA,NL0011821202,ING GROEP NV,2255.942,12618387.9337061,0.01877993453414007,MOTHER FUND
21,SAN,FR0000120578,SANOFI,868.1302,11694740.6910887,0.017405271237994357,MOTHER FUND
22,CS,FR0000120628,AXA SA,1362.8489,11408580.6846315,0.016979379577681697,MOTHER FUND
23,IFX,DE0006231004,INFINEON TECHNOLOGIES AG,1008.6237,11104025.931060202,0.016526111033064183,MOTHER FUND
24,ENEL,IT0003128367,ENEL SPA,6002.4356,10936143.8205213,0.016276252250631916,MOTHER FUND
25,ABI,BE0974293251,ANHEUSER-BUSCH INBEV SA/NV,794.17,10843955.424897702,0.016139048350758623,MOTHER FUND
26,DG,FR0000125486,VINCI,449.9506,10316067.361147203,0.015353393057018052,MOTHER FUND
