No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
1,SIE,DE0007236101,SIEMENS AG,1421.0642,73948249.2342508,0.11105719200725639,MOTHER FUND
2,ALV,DE0008404005,ALLIANZ SE-REG,736.5465,58834804.47265751,0.08835947090959564,MOTHER FUND
3,SAP,DE0007164600,SAP SE,1958.5441,56531241.8183597,0.0848999272064216,MOTHER FUND
4,AIR,NL0000235190,AIRBUS SE,1139.3171,43015172.2232505,0.06460118110017526,MOTHER FUND
5,ENR,DE000ENER6Y0,SIEMENS ENERGY AG,1574.8884,42611975.7855617,0.0639956513592993,MOTHER FUND
6,DTE,DE0005557508,DEUTSCHE TELEKOM-REG,6704.9258,33636949.97627151,0.05051674989923932,MOTHER FUND
7,IFX,DE0006231004,INFINEON TECHNOLOGIES AG,2528.4854,27836314.508658104,0.041805221315916664,MOTHER FUND
8,MUV2,DE0008430026,MUENCHENER RUECKVER AG-REG,245.7794,23786712.7158668,0.035723435627789145,MOTHER FUND
9,DBK,DE0005140008,DEUTSCHE BANK AG-REG,3699.6984,21820537.2227092,0.032770587771014895,MOTHER FUND
10,DHL,DE0005552004,DHL GROUP,1832.3178,19612466.9405697,0.02945445672222864,MOTHER FUND
11,RHM,DE0007030009,RHEINMETALL AG,90.3717,19065067.3198172,0.028632359303883647,MOTHER FUND
12,DB1,DE0005810055,DEUTSCHE BOERSE AG,360.6951,17621100.697332,0.02646377681402082,MOTHER FUND
13,BAYN,DE000BAY0017,BAYER AG-REG,1902.4435,17059615.8688361,0.02562052590472751,MOTHER FUND
14,BAS,DE000BASF111,BASF SE,1728.2602,16393496.759732703,0.024620132811375754,MOTHER FUND
15,EOAN,DE000ENAG999,E.ON SE,4346.665,15143599.848690402,0.022743008705310937,MOTHER FUND
16,RWE,DE0007037129,RWE AG,1235.1179,12863569.2444577,0.01931880597950238,MOTHER FUND
17,MBG,DE0007100000,MERCEDES-BENZ GROUP AG,1393.4664,12149845.049054801,0.01824691846587114,MOTHER FUND
18,ADS,DE000A1EWWW0,ADIDAS AG,348.4797,10402328.0670977,0.015622457021403824,MOTHER FUND
19,DTG,DE000DTR0CK8,DAIMLER TRUCK HOLDING AG,1004.3816,9056704.880615072,0.013601568979589303,MOTHER FUND
20,HEI,DE0006047004,HEIDELBERG MATERIALS AG,243.2911,7408758.422042781,0.011126644851398138,MOTHER FUND
21,BMW,DE0005190003,BAYER MOTOREN WERK,647.1927,7210064.7096445905,0.010828242035957041,MOTHER FUND
22,MTX,DE000A0D9PT0,MTU AERO ENGINES AG,104.3969,6922554.82195691,0.010396453033086013,MOTHER FUND
23,MRK,DE0006599905,MERCK KGAA,250.1906,6616136.99826549,0.009936267654357912,MOTHER FUND
24,FRE,DE0005785604,FRESENIUS SE & CO KGAA,796.2665,6615529.845065341,0.009935355817631214,MOTHER FUND
25,CBK,DE000CBK1001,COMMERZBANK AG,866.3922,5988833.05299588,0.008994168072310621,MOTHER FUND
26,VOW3,DE0007664039,VOLKSWAGEN AG-PREF,399.2643,5627645.101849461,0.00845172764868263,MOTHER FUND
27,VNA,DE000A1ML7J1,VONOVIA SE,1412.6944,5515414.28056,0.008283176804029194,MOTHER FUND
28,HNR1,DE0008402215,HANNOVER RUECK SE,116.273,5432773.355506791,0.008159064750311489,MOTHER FUND
29,SHL,DE000SHL1006,SIEMENS HEALTHINEERS AG,720.4854,4961597.136442601,0.007451441400580739,MOTHER FUND
30,SY1,DE000SYM9999,SYMRISE AG,257.09,4371847.44891971,0.0065657416718965175,MOTHER FUND
31,HEN3,DE0006048432,HENKEL AG & CO KGAA VORZUG,293.1708,4125741.2698009904,0.0061961337167172285,MOTHER FUND
32,G1A,DE0006602006,GEA GROUP AG,282.0865,3287239.17434593,0.004936851865182763,MOTHER FUND
33,FME,DE0005785802,FRESENIUS MEDICAL CARE AG,370.9878,3041715.83062965,0.00456811922569881,MOTHER FUND
34,CON,DE0005439004,CONTINENTAL AG,209.1331,2789782.2023347206,0.004189759472488106,MOTHER FUND
35,HOT,DE0006070006,HOCHTIEF AG,33.8187,2772157.6805191305,0.004163290557759514,MOTHER FUND
36,QIA,NL0015002SN0,QIAGEN N.V.,400.3954,2667621.5759508,0.004006295816748682,MOTHER FUND
37,BEI,DE0005200000,BEIERSDORF AG,172.826,2584439.2123042406,0.0038813706180215344,MOTHER FUND
38,BNR,DE000A1DAHH0,BRENNTAG SE,222.8189,2557390.4693741803,0.0038407481899283046,MOTHER FUND
39,ZAL,DE000ZAL1111,ZALANDO SE,460.3416,2467073.60320179,0.0037051082302015084,MOTHER FUND
40,G24,DE000A12DM80,SCOUT24 SE,142.2874,2032149.6783062902,0.003051929414802358,MOTHER FUND
41,-,-,DAXMN2609,1.3572,32233923.214502424,0.04840965183962848,MOTHER FUND
,,,,,,,
,,,合計（Total）,,658620141.7183089,0.989130970592041,
,,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,665857365,1,
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
487A,"NEXT FUNDS ドイツ株式・DAX（為替ヘッジなし）連動型上場投信
　（NEXT FUNDS German Equity DAX (Unhedged) Exchange Traded Fund）",,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3051120008  ,,
