Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
NVDA,NVIDIA,Information Technology,Equity,"1,084,882,153.20",8.88,"1,084,882,153.20","31,784.00","34,136.72",United States,NASDAQ,JPY,0.01,USD
USD,USD CASH,Cash and/or Derivatives,Cash,"1,025,738,779.85",8.39,"1,025,738,779.85","6,452,608.00","15,898.25",United States,-,JPY,0.01,USD
AAPL,APPLE,Information Technology,Equity,"947,814,807.68",7.75,"947,814,807.68","19,274.00","49,181.24",United States,NASDAQ,JPY,0.01,USD
MSFT,MICROSOFT,Information Technology,Equity,"748,824,267.86",6.13,"748,824,267.86","9,748.00","76,826.71",United States,NASDAQ,JPY,0.01,USD
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,"528,139,113.19",4.32,"528,139,113.19","12,846.00","41,117.65",United States,NASDAQ,JPY,0.01,USD
GOOGL,ALPHABET CLASS A,Communication,Equity,"421,796,125.45",3.45,"421,796,125.45","7,695.00","54,820.35",United States,NASDAQ,JPY,0.01,USD
AVGO,BROADCOM INC,Information Technology,Equity,"363,899,474.86",2.98,"363,899,474.86","6,213.00","58,577.11",United States,NASDAQ,JPY,0.01,USD
GOOG,ALPHABET CLASS C,Communication,Equity,"336,931,642.83",2.76,"336,931,642.83","6,202.00","54,332.27",United States,NASDAQ,JPY,0.01,USD
META,META PLATFORMS CLASS A,Communication,Equity,"251,929,607.79",2.06,"251,929,607.79","2,882.00","87,424.48",United States,NASDAQ,JPY,0.01,USD
MU,MICRON TECHNOLOGY,Information Technology,Equity,"227,452,590.40",1.86,"227,452,590.40","1,480.00","153,701.11",United States,NASDAQ,JPY,0.01,USD
TSLA,TESLA INC,Consumer Discretionary,Equity,"213,077,455.39",1.74,"213,077,455.39","3,694.00","57,688.39",United States,NASDAQ,JPY,0.01,USD
LLY,ELI LILLY,Health Care,Equity,"207,148,118.12",1.69,"207,148,118.12","1,038.00","199,586.65",United States,New York Stock Exchange Inc.,JPY,0.01,USD
AMD,ADVANCED MICRO DEVICES,Information Technology,Equity,"160,992,598.58",1.32,"160,992,598.58","2,140.00","75,238.47",United States,NASDAQ,JPY,0.01,USD
XOM,EXXONMOBIL HOLDINGS CORP,Energy,Equity,"142,755,861.94",1.17,"142,755,861.94","5,439.00","26,249.60",United States,New York Stock Exchange Inc.,JPY,0.01,USD
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"135,706,538.35",1.11,"135,706,538.35","3,159.00","42,963.43",United States,New York Stock Exchange Inc.,JPY,0.01,USD
USD,USD/JPY,Cash and/or Derivatives,Forwards,"118,651,866.75",0.97,"118,651,866.75","-79,233,300.00",1.00,Japan,-,JPY,0.01,JPY
ABBV,ABBVIE,Health Care,Equity,"97,674,810.68",0.80,"97,674,810.68","2,319.00","42,124.01",United States,New York Stock Exchange Inc.,JPY,0.01,USD
WMT,WALMART INC,Consumer Staples,Equity,"94,836,309.39",0.78,"94,836,309.39","5,753.00","16,486.49",United States,NASDAQ,JPY,0.01,USD
INTC,INTEL CORPORATION,Information Technology,Equity,"92,809,130.48",0.76,"92,809,130.48","6,482.00","14,319.55",United States,NASDAQ,JPY,0.01,USD
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"91,487,587.67",0.75,"91,487,587.67","5,183.00","17,653.42",United States,NASDAQ,JPY,0.01,USD
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"87,682,658.66",0.72,"87,682,658.66",582.00,"150,674.09",United States,NASDAQ,JPY,0.01,USD
PLTR,PALANTIR TECHNOLOGIES CLASS A,Information Technology,Equity,"86,184,340.41",0.71,"86,184,340.41","3,013.00","28,607.31",United States,NASDAQ,JPY,0.01,USD
LRCX,LAM RESEARCH,Information Technology,Equity,"81,910,531.41",0.67,"81,910,531.41","1,641.00","49,920.51",United States,NASDAQ,JPY,0.01,USD
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"81,470,376.40",0.67,"81,470,376.40","1,041.00","78,270.27",United States,NASDAQ,JPY,0.01,USD
CVX,CHEVRON,Energy,Equity,"80,173,741.82",0.66,"80,173,741.82","2,457.00","32,634.34",United States,New York Stock Exchange Inc.,JPY,0.01,USD
CAT,CATERPILLAR INC,Industrials,Equity,"79,490,702.59",0.65,"79,490,702.59",604.00,"131,621.62",United States,New York Stock Exchange Inc.,JPY,0.01,USD
MRK,MERCK & CO INC,Health Care,Equity,"78,594,608.94",0.64,"78,594,608.94","3,241.00","24,252.78",United States,New York Stock Exchange Inc.,JPY,0.01,USD
GE,GE AEROSPACE,Industrials,Equity,"75,813,354.12",0.62,"75,813,354.12","1,369.00","55,384.74",United States,New York Stock Exchange Inc.,JPY,0.01,USD
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"73,920,492.69",0.60,"73,920,492.69","1,192.00","62,020.67",United States,New York Stock Exchange Inc.,JPY,0.01,USD
KO,COCA-COLA,Consumer Staples,Equity,"73,581,576.13",0.60,"73,581,576.13","5,081.00","14,483.31",United States,New York Stock Exchange Inc.,JPY,0.01,USD
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"70,285,115.75",0.57,"70,285,115.75","3,056.00","23,001.59",United States,New York Stock Exchange Inc.,JPY,0.01,USD
NFLX,NETFLIX,Communication,Equity,"69,915,086.56",0.57,"69,915,086.56","5,526.00","12,653.42",United States,NASDAQ,JPY,0.01,USD
HD,HOME DEPOT,Consumer Discretionary,Equity,"69,728,768.45",0.57,"69,728,768.45","1,307.00","53,356.12",United States,New York Stock Exchange Inc.,JPY,0.01,USD
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"61,190,453.09",0.50,"61,190,453.09","2,045.00","29,925.28",United States,New York Stock Exchange Inc.,JPY,0.01,USD
PANW,PALO ALTO NETWORKS,Information Technology,Equity,"60,529,688.04",0.50,"60,529,688.04","1,064.00","56,895.07",United States,NASDAQ,JPY,0.01,USD
RTX,RTX CORP,Industrials,Equity,"58,961,862.35",0.48,"58,961,862.35","1,767.00","33,372.02",United States,New York Stock Exchange Inc.,JPY,0.01,USD
GEV,GE VERNOVA INC,Industrials,Equity,"53,693,298.07",0.44,"53,693,298.07",353.00,"152,122.42",United States,New York Stock Exchange Inc.,JPY,0.01,USD
ORCL,ORACLE,Information Technology,Equity,"51,852,585.11",0.42,"51,852,585.11","2,227.00","23,286.17",United States,New York Stock Exchange Inc.,JPY,0.01,USD
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,"50,176,640.96",0.41,"50,176,640.96","1,194.00","42,028.62",United States,NASDAQ,JPY,0.01,USD
KLAC,KLA,Information Technology,Equity,"50,131,021.18",0.41,"50,131,021.18","1,714.00","29,251.19",United States,NASDAQ,JPY,0.01,USD
AMGN,AMGEN INC,Health Care,Equity,"49,445,370.16",0.40,"49,445,370.16",708.00,"69,845.79",United States,NASDAQ,JPY,0.01,USD
SNDK,SANDISK,Information Technology,Equity,"49,221,846.30",0.40,"49,221,846.30",194.00,"253,748.81",United States,NASDAQ,JPY,0.01,USD
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"48,815,569.91",0.40,"48,815,569.91",488.00,"100,042.93",United States,New York Stock Exchange Inc.,JPY,0.01,USD
