Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
UBSG,UBS GROUP AG,CH0244767585,XSWX,CHF,1160,42.72
'''3968,CHINA MERCHANTS BANK CO LTD,CNE000001B33,XSHG,CNY,4900,38.9
'''1788,GUOTAI JUNAN INTERNATIONAL HOLDINGS LTD.,HK0000065869,XHKG,HKD,44000,2.865
'''0863,OSL GROUP LTD,KYG1106B1095,XHKG,HKD,11000,12.6
HSBA,HSBC HOLDINGS PLC,GB0005405286,XHKG,HKD,5200,160.3
D05,DBS GROUP HOLDINGS LTD,SG1L01001701,XSES,SGD,900,75.84
FISV,FISERV INC,US3377381088,XNAS,USD,4019,51.38
XYZ,BLOCK INC,US8522341036,XNYS,USD,2979,80.08
MA,MASTERCARD INC-CLASS A,US57636Q1040,XNYS,USD,193,573.85
V,VISA INC-CLASS A SHARES,US92826C8394,XNYS,USD,300,365.73
HOOD,ROBINHOOD MARKETS INC - A,US7707001027,XNAS,USD,2894,95.1
COIN,COINBASE GLOBAL INC -CLASS A,US19260Q1076,XNAS,USD,1108,172.35
NU,NU HOLDINGS LTD,KYG6683N1034,XNYS,USD,16157,14.21
SOFI,SOFI TECHNOLOGIES INC,US83406F1021,XNAS,USD,7963,17.92
CRCL,CIRCLE INTERNET GROUP INC,US1725731079,XNYS,USD,1103,83.66
FUTU,FUTU HOLDINGS LTD-ADR,US36118L1061,XNAS,USD,867,112.73
XP,XP INC,KYG982391099,XNAS,USD,6542,15.99
FIGR,FIGURE TECHNOLOGY SOLUTIONS INC,US3493811034,XNAS,USD,1983,36.06
BLSH,BULLISH,KYG169101204,XNYS,USD,597,28.44
GLXY,GALAXY DIGITAL INC,US36317J2096,XNAS,USD,3153,23.47
BULL,WEBULL CORP ORD SHARES,KYG9572D1034,XNAS,USD,5207,8.85
DLO,DLOCAL LTD,KYG290181018,XNAS,USD,1208,14.34
ETOR,ETORO GROUP LTD,VGG320891077,XNAS,USD,779,29.67
GEMI,GEMINI SPACE STATION INC,US36866J1051,XNAS,USD,619,4.14
TIGR,UP FINTECH HOLDING LTD - ADR,US91531W1062,XNAS,USD,3224,5.07
JPM,JPMORGAN CHASE & CO,US46625H1005,XNYS,USD,316,351.55
GS,GOLDMAN SACHS GROUP INC,US38141G1040,XNYS,USD,102,1001.95
C,CITIGROUP INC,US1729674242,XNYS,USD,725,129.67
BLK,BLACKROCK INC,US09290D1019,XNYS,USD,59,1139.82
MUFG,MITSUBISHI UFJ FINL GRP-ADR,US6068221042,XNYS,USD,4746,21.56
,nan,CASHUSDJPY01,,USD,36317.99,0.006283775
,nan,CASHSGDJPY01,,SGD,1158.23,0.007989773
,nan,CASHHKDJPY01,,HKD,46946.72,0.049285362
,nan,CASHCNHJPY01,,CNH,8476.53,0.042267927
,nan,CASHCHFJPY01,,CHF,1241.42,0.005029422
,NASD100 MICRO EMINSep26,,CME,USD,1.0,29300.5
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
512A,Global X Stablecoins & Tokenization ETF (ex-Japan),22307.0,400000,20260824,,
,,,,,,
