No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,2914,JP3726800000,日本たばこ産業,JAPAN TOBACCO INC.,61600,439516000.00000006,0.053507635897479366
2,7267,JP3854600008,本田技研工業,"HONDA MOTOR CO.,LTD.",269600,438234800.00000006,0.05335165981671814
3,8750,JP3476480003,第一ライフグループ,"DAIICHI LIFE GROUP,INC.",216900,416122650.00000006,0.050659678475628286
4,4502,JP3463000004,武田薬品工業,TAKEDA PHARMACEUTICAL COMPANY LIMITED,74800,412372400.00000006,0.05020311486582905
5,5020,JP3386450005,ＥＮＥＯＳホールディングス,"ENEOS HOLDINGS,INC.",307900,408737250.00000006,0.04976056378092492
6,6301,JP3304200003,小松製作所,KOMATSU LTD.,58300,407750200.00000006,0.0496403981623522
7,9434,JP3732000009,ソフトバンク,SOFTBANK CORP.,1781700,398031780.00000006,0.04845725652732918
8,4503,JP3942400007,アステラス製薬,ASTELLAS PHARMA INC.,177800,391515600.00000006,0.04766396257015256
9,1605,JP3294460005,ＩＮＰＥＸ,INPEX CORPORATION,106900,387726300.00000006,0.04720264492823209
10,8601,JP3502200003,大和証券グループ本社,DAIWA SECURITIES GROUP INC.,194500,351461500,0.04278768912617958
11,8473,JP3436120004,ＳＢＩホールディングス,"SBI HOLDINGS,INC.",78000,236964000.00000003,0.02884851389439816
12,4188,JP3897700005,三菱ケミカルグループ,MITSUBISHI CHEMICAL GROUP CORPORATION,199400,236887200.00000003,0.02883916409498943
13,7270,JP3814800003,ＳＵＢＡＲＵ,SUBARU CORPORATION,82500,224028750.00000003,0.027273748363125416
14,7202,JP3137200006,いすゞ自動車,ISUZU MOTORS LIMITED,75800,182109500.00000003,0.022170407492496335
15,5201,JP3112000009,ＡＧＣ,AGC INC.,28900,175683100.00000003,0.021388043548222265
16,7272,JP3942800008,ヤマハ発動機,"YAMAHA MOTOR CO.,LTD.",130700,175530100.00000003,0.021369416994712693
17,9147,JP3688370000,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディン,"NIPPON EXPRESS HOLDINGS,INC.",32900,173646200,0.021140066902185315
18,5411,JP3386030005,ＪＦＥホールディングス,"JFE HOLDINGS,INC.",86600,157395500,0.019161671260890873
19,5019,JP3142500002,出光興産,"IDEMITSU KOSAN CO.,LTD.",111100,145652100.00000003,0.017732004146614126
20,1878,JP3486800000,大東建託,"DAITO TRUST CONSTRUCTION CO.,LTD.",42400,142845600,0.017390334719002216
21,4528,JP3197600004,小野薬品工業,"ONO PHARMACEUTICAL CO.,LTD.",58200,138748800.00000003,0.016891581356792893
22,6448,JP3830000000,ブラザー工業,"BROTHER INDUSTRIES,LTD.",33800,135571800,0.016504806451564658
23,6724,JP3414750004,セイコーエプソン,SEIKO EPSON CORPORATION,41900,123605000.00000001,0.015047942134320336
24,6113,JP3122800000,アマダ,"AMADA CO.,LTD.",43100,120119700.00000001,0.014623634115059412
25,9508,JP3246400000,九州電力,"KYUSHU ELECTRIC POWER COMPANY,INCORPORAT",67100,119370900.00000001,0.014532473570824316
26,5406,JP3289800009,神戸製鋼所,"KOBE STEEL,LTD.",52600,109250200,0.01330035749171088
27,4042,JP3595200001,東ソー,TOSOH CORPORATION,40200,108962100.00000001,0.013265283569710174
28,4324,JP3551520004,電通グループ,DENTSU GROUP INC.,30300,107413500,0.013076753630070121
29,4183,JP3888300005,三井化学,"MITSUI CHEMICALS,INC.",48500,102747250.00000001,0.012508674183573036
30,6305,JP3787000003,日立建機,"HITACHI CONSTRUCTION MACHINERY CO.,LTD.",17600,94934400.00000001,0.011557520794113674
31,9513,JP3551200003,電源開発,"ELECTRIC POWER DEVELOPMENT CO.,LTD.",23500,89300000,0.010871576656242108
32,5105,JP3610600003,ＴＯＹＯ　ＴＩＲＥ,TOYO TIRE CORPORATION,17800,76184000,0.009274806225970312
33,6471,JP3720800006,日本精工,NSK LTD.,65800,75801600,0.009228252016414355
34,5076,JP3153850007,インフロニア・ホールディングス,INFRONEER HOLDINGS INC.,27500,71417500,0.008694522125948161
35,5938,JP3626800001,ＬＩＸＩＬ,LIXIL CORPORATION,40900,70961500.00000001,0.008639007691958842
36,2181,JP3547670004,パーソルホールディングス,"PERSOL HOLDINGS CO.,LTD.",256700,67717460,0.008244071190996738
37,5444,JP3940400009,大和工業,"YAMATO KOGYO CO.,LTD.",4900,66150000,0.008053245193845638
38,5021,JP3298000005,コスモエネルギーホールディングス,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",16000,63744000,0.007760333509244087
39,9201,JP3705200008,日本航空,"JAPAN AIRLINES CO.,LTD.",21100,62097300.00000001,0.007559860661765545
40,5110,JP3404200002,住友ゴム工業,"SUMITOMO RUBBER INDUSTRIES,LTD.",26600,60648000.00000001,0.007383419720579748
41,4205,JP3725400000,日本ゼオン,ZEON CORPORATION,21300,48159300,0.005863018159697207
42,6417,JP3326410002,ＳＡＮＫＹＯ,"SANKYO CO.,LTD.",25900,48018600.00000001,0.0058458890349991875
43,4202,JP3485800001,ダイセル,DAICEL CORPORATION,32900,47721450,0.005809713346271277
44,3401,JP3544000007,帝人,TEIJIN LIMITED,27200,44526400,0.005420740994697634
45,9076,JP3415400005,セイノーホールディングス,"SEINO HOLDINGS CO.,LTD.",15200,40036800.00000001,0.00487416730426242
46,4114,JP3715200006,日本触媒,"NIPPON SHOKUBAI CO.,LTD.",17500,37765000.00000001,0.004597593420190183
47,6436,JP3124400007,アマノ,AMANO CORPORATION,9100,35253400,0.00429182576140163
48,7240,JP3164800009,ＮＯＫ,NOK CORPORATION,10800,32907600,0.004006242956024108
49,3116,JP3635400009,トヨタ紡織,TOYOTA BOSHOKU CORPORATION,12300,27558150,0.003354989252286881
50,4927,JP3855900001,ポーラ・オルビスホールディングス,POLA ORBIS HOLDINGS INC.,12600,16890300,0.002056261939495253
51,-,-,ミニＴＯＰＩＸ先物　２６０９,mini-TOPIX Futures 2609,16,63784000,0.007765203196436133
,,,,,,,
,,,合計（Total）,,,8209576540,0.999451743223929
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,8214079965,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
