No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,7832,JP3778630008,バンダイナムコホールディングス,BANDAI NAMCO HOLDINGS INC.,38600,146062400.00000003,0.10581920401571299
2,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,42800,140384000,0.10170532003131434
3,9697,JP3218900003,カプコン,"CAPCOM CO.,LTD.",46000,138552000.00000003,0.10037807371907531
4,9766,JP3300200007,コナミグループ,KONAMI GROUP CORPORATION,7200,127188000,0.0921450894983959
5,3659,JP3758190007,ネクソン,"NEXON CO.,LTD.",58800,126155400.00000001,0.09139699204096247
6,8136,JP3343200006,サンリオ,"SANRIO COMPANY,LTD.",111500,122650000.00000001,0.08885740185377754
7,9602,JP3598600009,東宝,"TOHO CO.,LTD",76900,100008450.00000001,0.0724540646589761
8,7974,JP3756600007,任天堂,"NINTENDO CO.,LTD.",14200,96773000.00000001,0.07011004769340085
9,9684,JP3164630000,スクウェア・エニックス・ホールディングス,"SQUARE ENIX HOLDINGS CO.,LTD.",32100,77361000.00000001,0.056046453035549
10,9468,JP3214350005,ＫＡＤＯＫＡＷＡ,KADOKAWA CORPORATION,13000,44993000.00000001,0.032596502907517436
11,4816,JP3560200002,東映アニメーション,"TOEI ANIMATION CO.,LTD.",18300,44542200.00000001,0.03226990758133983
12,3635,JP3283460008,コーエーテクモホールディングス,"KOEI TECMO HOLDINGS CO.,LTD.",29400,44526300,0.032258388358433386
13,6460,JP3419050004,セガサミーホールディングス,SEGA SAMMY HOLDINGS INC.,19300,42604750,0.030866264913409932
14,9605,JP3560000006,東映,"TOEI COMPANY,LTD.",6500,37505000,0.0271716009500687
15,2432,JP3548610009,ディー・エヌ・エー,"DENA CO.,LTD.",10700,26220350.000000004,0.018996104172007304
16,7867,JP3630550006,タカラトミー,"TOMY COMPANY,LTD.",8200,26125200,0.01892716995442567
17,3765,JP3235900002,ガンホー・オンライン・エンターテイメント,"GUNGHO ONLINE ENTERTAINMENT,INC.",6000,13140000,0.00951965968494608
18,9601,JP3362800009,松竹,"SHOCHIKU CO.,LTD.",1200,12624000.000000002,0.009145828300057788
19,3632,JP3274070006,グリーホールディングス,"GREE HOLDINGS,INC.",15700,5903200.000000001,0.0042767469598305715
20,3668,JP3305960001,コロプラ,"COLOPL,INC.",11400,4183800,0.003031077031193106
,,,,,,,
,,,合計（Total）,,,1377502050,0.9979718973603944
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,1380301443,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
586A,NEXT FUNDS 日経エンタメ・コンテンツ株指数連動型上場投信（NEXT FUNDS Nikkei Japan Entertainment Content Stock Index Exchange Traded Fund）,,,,,,
,"2026年6月30日現在　（as of June 30, 2026）",,,ISINコード：,JP3051590002,,
