No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,9300,35219100,0.02556649260274957
2,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,600,33300000.000000004,0.024173366260681298
3,6861,JP3236200006,キーエンス,KEYENCE CORPORATION,400,32460000.000000004,0.023563587652303753
4,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,5600,29456000.000000004,0.02138290320043929
5,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,800,26000000,0.018874099783114526
6,7974,JP3756600007,任天堂,"NINTENDO CO.,LTD.",3200,24572800.000000004,0.017838056890404488
7,6981,JP3914400001,村田製作所,"MURATA MANUFACTURING CO.,LTD.",2900,21506400,0.015612074599060548
8,4063,JP3371200001,信越化学工業,"SHIN-ETSU CHEMICAL CO.,LTD.",3600,20880000.000000004,0.015157353979670437
9,8031,JP3893600001,三井物産,"MITSUI & CO.,LTD.",4200,20735400.000000004,0.015052384947799731
10,7011,JP3900000005,三菱重工業,"MITSUBISHI HEAVY INDUSTRIES,LTD.",5500,20702000,0.015028138988847573
11,6503,JP3902400005,三菱電機,MITSUBISHI ELECTRIC CORPORATION,3400,20100800.000000004,0.01459171172770879
12,6954,JP3802400006,ファナック,FANUC CORPORATION,2500,17837500.000000004,0.01294872134158867
13,6146,JP3548600000,ディスコ,DISCO CORPORATION,300,17544000.000000004,0.012735661792113896
14,7741,JP3837800006,ＨＯＹＡ,HOYA CORPORATION,700,17272500,0.012538572634763294
15,9432,JP3735400008,ＮＴＴ,"NTT,INC.",111800,17038320,0.01236857506987061
16,6301,JP3304200003,小松製作所,KOMATSU LTD.,2400,16785600,0.012185118819978738
17,4502,JP3463000004,武田薬品工業,TAKEDA PHARMACEUTICAL COMPANY LIMITED,2900,15987700.000000002,0.011605901734711543
18,6702,JP3818000006,富士通,FUJITSU LIMITED,4300,15733700,0.011421516298368808
19,9434,JP3732000009,ソフトバンク,SOFTBANK CORP.,67700,15124180.000000002,0.010979049325299426
20,5803,JP3811000003,フジクラ,FUJIKURA LTD.,3400,14184800.000000002,0.010297128100135498
21,8053,JP3404600003,住友商事,SUMITOMO CORPORATION (SUMITOMO SHOJI KAI,8400,14028000.000000002,0.010183302759905023
