Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
KBC,BE0003565737,,,BE0003565737,-0.30702,-2.49214,-2.61009,1.9784,,-0.116660380939826,-0.132327559023756,-0.215090716668378,-0.544099704644883,,50061763.6,1611747072,,-0.7918684,-1.5232775,-0.0443925702089761,-0.00728152582339482,-0.0308056390177561,-0.0421545624661706,-0.414040116214369,3.15647921760391,0.222493887530562,0.983156479217604,4.09,,,,,,Consumer Cyclical,
LOTB,BE0003604155,,,BE0003604155,0.03924,0.01883,0.04611,2.57698,0.169,2.14261469169283,0.318026551802274,0.0448415900866894,-0.431122234162221,0.0087,102525245.9,6952600064,10.648821,7.414906,1.0868198,-0.0168179333466784,-0.0856870380975227,-0.116613569897846,-0.139916243473042,-0.156793255866139,0.659974072785911,0.0750308280899232,0.425364403832169,316.27,,,1.8,Buy,1.43613701913416,Consumer Cyclical,
SOF,BE0003717312,,,BE0003717312,0.048070002,0.086990006,0.19301,0.39404,-0.483,0.954344641801657,-0.0895391203550154,-0.168262197716553,-0.311295515867434,0.0142,908892335.2,177278943232,21.75212,13.729625,1.6142573,-0.0254389986989836,-0.0352377206678022,-0.0364148563174893,-0.0144941476363267,-0.0192013784802826,0.402551865199182,-0.142884971267167,0.239071588584786,102.67,,,1.4,Strong Buy,1.5843200378743,Communication Services,
UCB,BE0003739530,,,BE0003739530,0.01308,0.09029,0.48466998,0.28678,1.795,2.60112331181022,2.79945543304563,1.62181346101969,0.0786365226229167,0.0223,676731519,53881405440,37.4358,10.303807,1.4244577,-0.0229511647475025,-0.0903417902405209,-0.0612284780502578,-0.0503874284991371,0.0203010309618669,0.470741087205072,0.0653778193534976,0.218061012368777,192.42,,,1.5,Buy,3.63320081597025,Energy,
GBLB,BE0003797140,,,BE0003797140,0.020680001,0.38793,0.52277,1.51106,0.426,1.22166411734869,0.0802072308260148,-0.113199448376018,-0.204740842747922,0.0122,868235667.5,182012575744,19.032549,13.484306,4.139952,0.00592566914706459,-0.0235643463582293,-0.0186480186480186,-0.0121081368917028,-0.0195345717962588,0.377672209026128,-0.135391923990499,0.187173396674584,105.25,,,1.7,Buy,1.41145929200954,Financial Services,
ELI,BE0003822393,,,BE0003822393,0.05367,0.111999996,0.15649,0.71448,0.185,0.139585729849341,-0.358764164345066,-0.268321422997129,-0.447842368510674,0.0076,1477436836.5,129320239104,67.93213,34.513756,10.829547,0.0157645257113171,0.0456919435893533,-0.0977764092143282,-0.10880924838737,-0.0430544697959109,0.585292746286552,-0.140744687937121,0.281805768334111,150.13,,,1.5,Strong Buy,1.96826245164392,Technology,
TUB,BE0003823409,,,BE0003823409,-0.10552,-0.64785004,-0.54807997,1.33876,,0.851969059971448,-0.226274951341066,-0.265816397857857,0.159582444449387,,14926831.2,711653248,,37.185074,2.2343524,-0.0191693649351944,-0.00324672855641577,-0.0835820634637538,-0.0640243820797326,-0.104956285641579,1.60586319218241,0.384364820846906,0.862785016286645,3.07,,,1.6,Buy,,Technology,
DIE,BE0974259880,,,BE0974259880,0.14002,0.26945,0.30857,0.12542,0.024,1.6818213387294,-0.127519281462114,-0.224013293613993,-0.025470353376687,0.0116,325839517.6,32455325696,21.886189,17.003323,4.92794,-0.0150161903355257,-0.0193950592488451,0.0307875365189926,0.0229143128969618,0.0107312464093887,0.422285434908218,-0.222187652784568,0.0953264589537312,224.99,,,2.4,Buy,1.28717127822603,Healthcare,
AGS,BE0974264930,,,BE0974264930,0.21134001,0.40735,0.56298,,0.196,0.24533491952344,-0.0857738602976022,-0.0859591287848885,-0.297749545388236,0.0149,328509825.3,40193650688,30.030962,24.574894,-14.944856,0.00618783460090491,0.015185502726409,-0.00313731342298054,-0.00301146552730848,-0.021830096118117,0.374645034094814,0.0309837755711107,0.251756904878181,552.87,,,,,1.22201796679164,Financial Services,
ABI,BE0974293251,,,BE0974293251,0.05129,0.15036,0.18751,0.80575,0.094,1.21935506658299,0.689102032980206,0.308958893966437,-0.194864317305748,0.0029,1639836454.5,240871882752,35.46271,23.662271,4.5724454,-0.0104356654025179,0.015684661628349,0.0690849167407713,0.0763746437080024,0.12401184148435,0.151277918489523,-0.201780643180597,-0.00967360503492211,651.45,,,1.5,Buy,1.49870272384253,Healthcare,
SYENS,BE0974464977,,,BE0974464977,0.06316,0.22723,0.4692,2.75291,-0.07,0.383209285703187,-0.361545441592237,-0.341855971935563,-0.326190790109784,,170257190.4,26116763648,24.568253,12.648173,7.3731627,-0.0160787849616723,-0.0245003065603924,-0.0256234412557555,-0.0205126853973512,-0.00130561107987006,0.347546259050684,-0.0195092518101367,0.158990345937249,397.76,,,,,1.942434927163,Technology,
