Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
ARX,CA00208D4084,,,CA00208D4084,0.03914,0.40353,0.61697,1.12118,-0.037,1.21073201997185,0.609647525393549,0.344110307186844,-0.125725352214645,0.0595,77969821.5,7904811520,20.569307,19.634623,1.7877889,-0.00264041881457053,-0.0381944614305415,-0.0528834964296886,-0.058463652972339,-0.115957446808511,0.21540312876053,0.0830324909747293,0.150421179302046,41.55,,,2.9,Hold,1.0476038679225,Real Estate,
AEM,CA0084741085,,,CA0084741085,0.024430001,0.32401,0.31524,1.61676,0.531,0.991172078406472,-0.0708302190177367,-0.0566050981370791,-0.0527660098094643,0.0307,915882180.2,167858667520,18.288637,18.30457,2.938148,-0.00996553631227654,-0.00740100773507868,-0.0223544844268027,-0.026376303516417,-0.0416651971555693,0.416677022492855,-0.316515471604325,0.222677892382254,80.47,,,2,Buy,0.999129561634062,Utilities,
AGI,CA0115321089,,,CA0115321089,0.14591,0.29834998,0.34827,0.42997,-0.134,0.499914822240568,-0.0467461182420605,-0.0347101864733883,-0.145549513149766,0.0031,13378346112.5,1696002211840,25.704634,19.043377,6.493855,-0.0242704893931613,-0.00669907838952567,0.0273443666219473,0.0184491081606755,0.128581068734957,0.502065339842283,-0.128802102891476,0.134480961321818,665.75,,,1.3,Strong Buy,1.3497938942237,Communication Services,
ATD,CA01626P1484,,,CA01626P1484,0.11034001,0.3169,0.36671,0.01487,0.151,3.02038037620215,-0.231766945134234,-0.239297739619466,-0.447055291157311,,251000280,9501236224,39.28251,23.540476,6.4783316,0.0201467008045114,0.054024778686973,0.0072438630614495,-0.000570468054859632,-0.10319410599594,1.05479452054795,0.141552511415525,0.68786700913242,87.6,,,1.5,Strong Buy,1.66872199185777,Technology,
ALA,CA0213611001,,,CA0213611001,0.01224,0.18370001,0.3534,0.06876,-0.333,-0.144252383953727,0.0346305473001308,-0.0501499950183066,0.222417566075233,,10265613.6,850668544,9.854167,5.2547383,0.998944,-0.00210965645591259,0.00424627636752552,-0.0207039182786,-0.0596421863409385,-0.00210965645591259,2.06553911205074,-0.025369978858351,0.630213530655391,4.73,,,1.5,Buy,1.87529167722777,Financial Services,
ATRL,CA04764T1049,,,CA04764T1049,,,,,,0.0600991325898389,-0.058466211085801,-0.101208053691275,0.0284739982949702,0.0103,462349.965,,24.652674,,,0.00131014042541744,-0.000501642091371317,-0.0280537924354295,-0.00887061102004903,-0.0324234736960661,,,,99.4301,,,,,,,
BCE,CA05534B7604,,,CA05534B7604,,,,,,0.379477069632913,0.673282502256748,0.375606464592916,0.100596781431257,0.0104,6537101753.4,,24.68499,,1.7955042,0.00106981252126558,0.00801492056180744,-0.00111022199001406,0.00129839326715694,-0.00654023818571453,,,,701.78,,,,,,,
BMO,CA0636711016,,,CA0636711016,0.00973,0.13103,0.19184,0.28476,-0.386,2.91436207630595,-0.183830234389098,-0.199191380311343,-0.146228481732569,0.0237,36165794.7,3259027200,104.92592,104.92592,1.5485951,-0.0142658237433317,-0.0311217434419072,-0.0337653378283965,-0.0334356698669041,-0.042581958299777,0.376632545005295,0.0589481115425345,0.194258030356512,28.33,,,1.8,Buy,1,Real Estate,
BNS,CA0641491075,,,CA0641491075,0.0572,0.21581,0.20249,1.85369,2.639,0.894194853692263,0.0911764191925537,-0.0256705952113957,-0.329930670415634,0.0136,708199092,65435435008,7.9377165,20.772694,3.5300155,-0.000145312084681251,0.0148446594688946,0.0202609180533809,0.00746599999463902,-0.13982104062832,0.467596628886951,-0.0990990990990991,0.275175530369079,206.46,,,2,Buy,0.382122631758789,Industrials,
ABX,CA06849F1080,,,CA06849F1080,0.20319,0.18361,0.15233,0.20521,0.011,1.6119694772025,0.420056634921168,0.439122061196372,0.159299236466585,,294892094.2,10680742912,11.333815,9.42032,4.659024,-0.0160581997136416,0.0118694083139433,-0.034945204385076,-0.0224355388460548,-0.198630859313641,1.34604105571847,-0.107484380976667,0.535242764248374,78.43,,,2.4,Buy,1.2031242038487,Consumer Cyclical,
BBD/B,CA0977518616,,,CA0977518616,0.00348,-0.03935,0.018819999,4.56708,,1.30772491950597,0.00448098863411526,-0.111384233126067,-0.20503776212506,0.0441,700404635.9,52676141056,,6.760145,1.4746594,-0.0293901298139269,-0.0214814814814814,-0.0544023086973389,-0.0178438522430171,-0.0316846604556636,0.514004542013626,-0.0310370931112793,0.220539742619228,13.21,,,2.3,Buy,,Consumer Cyclical,
BN,CA11271J1075,,,CA11271J1075,0.03936,0.0121,0.03852,0.69205,19.689,1.27715102221532,0.149162322626852,0.3063011614866,0.0762906882894486,0.0159,137571750,7888854528,23.217392,8.701265,1.5708706,0.0322164644000517,0.0375647736752945,-0.0352303257069251,0.0477436476806399,-0.00303350762346206,0.248439450686642,-0.167707032875572,0.105389096962131,96.12,,,,,2.66827777340421,Technology,
