Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
DBK,DE0005140008,,,DE0005140008,0.029560002,0.20893,0.33975,1.22409,-0.718,0.674943761274697,0.207164673999681,-0.0681208865848993,-0.0988821152323951,0.0383,130974250,18615324672,42.19531,42.867527,3.2604496,-0.00276952668676676,-0.02173514964061,-0.0104796585824327,-0.0157451441267926,-0.0528549220513053,0.303462321792261,-0.114978707646732,0.128642843917793,270.05,,,2.6,Hold,0.984318736184618,Real Estate,
BMW,DE0005190003,,,DE0005190003,,,,,,0.0600991325898389,-0.058466211085801,-0.101208053691275,0.0284739982949702,0.0103,462349.965,,24.652674,,,0.00131014042541744,-0.000501642091371317,-0.0280537924354295,-0.00887061102004903,-0.0324234736960661,,,,99.4301,,,,,,,
BEI,DE0005200000,,,DE0005200000,0.14088,0.40305,0.45111,0.29118,0.317,0.179977142924191,-0.492768801552342,-0.485509234611524,-0.512384343263455,0.0079,9646757659,3666585845760,27.693775,20.929373,8.289767,-0.00797589151180317,-0.00671868995412301,-0.00373263294107859,0.00433236271729531,-0.0103037323911141,0.761918263194135,-0.189922637611892,0.160264004212402,493.78,,,1.4,Strong Buy,1.32320136871754,Technology,
CON,DE0005439004,,,DE0005439004,0.05984,0.08896,0.123959996,0.7973,-0.375,1.28841669178928,0.0931718622499576,0.00635737370301077,-0.255634851781468,0.0076,175408678.9,18369548288,39.8577,21.286142,3.807848,0.00818501287603762,0.0327288970506123,0.00161654066492711,0.0313225343751835,-0.04455485118783,0.393847508191911,-0.144128723040055,0.263679757421627,204.47,,,1.4,Strong Buy,1.8724717706008,Industrials,
EVD,DE0005470306,,,DE0005470306,0.21134001,0.40735,0.56298,,0.196,0.24533491952344,-0.0857738602976022,-0.0859591287848885,-0.297749545388236,0.0149,328509825.3,40193650688,30.030962,24.574894,-14.944856,0.00618783460090491,0.015185502726409,-0.00313731342298054,-0.00301146552730848,-0.021830096118117,0.374645034094814,0.0309837755711107,0.251756904878181,552.87,,,,,1.22201796679164,Financial Services,
DHL,DE0005552004,,,DE0005552004,0.0732,0.07989,0.15668,0.30512,0.938,1.30707132776055,-0.304406562738859,-0.323040220615016,-0.159339012065399,0.0084,299653083.4,56351383552,21.138723,12.564497,2.5487943,-0.0632119398147445,-0.0403369408422154,-0.0425933507602986,-0.0369508880105121,-0.0868382352941177,0.248087607697882,-0.0699734278122232,0.148693534100974,248.38,,,1.5,Buy,1.6824169722035,Basic Materials,
DTE,DE0005557508,,,DE0005557508,,,,,,-0.350994751979127,-0.381622022406957,-0.31268106584579,-0.471501899709933,0.002,3908123580,,39.13644,,,0.022100952484226,0.0569810840661883,0.00786232999627689,-0.00224621371902529,0.00265979488905844,,,,573,,,,,,,
FRE,DE0005785604,,,DE0005785604,0.03441,0.072270006,0.08825,0.11869,-0.686,2.61186587971277,0.598175687095312,0.766513728811321,0.0872971380996247,0.0413,893121759.6,13355964416,47.46524,17.885607,2.327948,-0.0280332862831723,-0.0137777777777777,0.00464065119366138,0.159655068438778,0.327947409681159,-0.0423614240648942,-0.414150518251465,-0.229912798557909,88.76,,,3,Hold,2.65382326694308,Technology,
FME,DE0005785802,,,DE0005785802,0.08406,0.34512,0.52165,,-0.105,0.86879931221924,-0.0748787451205959,-0.0932217517296943,-0.290800567288289,0.0276,190801984.2,18946275328,19.539387,21.820593,-4.092159,-0.0140231039272363,-0.0248443780976971,-0.0370949543075494,-0.0436435967303343,-0.015212842337367,0.567836944957724,-0.0648972506859287,0.267708158351531,178.59,,,2.1,Buy,0.895456278388035,Real Estate,
DB1,DE0005810055,,,DE0005810055,0.029679999,0.011849999,0.03861,0.95503,1.888,2.04102509593954,-0.09257846458826,-0.222309605848976,-0.143511042302762,0.0295,613481066.4,113623719936,23.817694,10.416923,1.4245169,-0.0158413281959088,-0.0597946660123263,-0.0614832393508454,-0.0685678071057357,-0.0766992426426535,0.665916253939667,0.159387663214768,0.308869878433138,88.84,,,1.4,Strong Buy,2.28644235922642,Healthcare,
HEI,DE0006047004,,,DE0006047004,0.1017,0.11996,0.22623,,0.331,0.916616141712392,-0.286443491196297,-0.192317686237189,-0.160443882203095,,235676792.4,11731816448,16.889091,11.356655,-71.50885,-0.0107561396109301,-0.0503015814477083,0.0344674190563664,0.0948199500683584,0.00519420321251905,0.232640757885671,-0.19259339003122,-0.00337038432554632,185.78,,,2.8,Hold,1.48715365571993,Technology,
HEN,DE0006048408,,,DE0006048408,0.05129,0.15036,0.18751,0.80575,0.094,1.21935506658299,0.689102032980206,0.308958893966437,-0.194864317305748,0.0029,1639836454.5,240871882752,35.46271,23.662271,4.5724454,-0.0104356654025179,0.015684661628349,0.0690849167407713,0.0763746437080024,0.12401184148435,0.151277918489523,-0.201780643180597,-0.00967360503492211,651.45,,,1.5,Buy,1.49870272384253,Healthcare,
HEN3,DE0006048432,,,DE0006048432,0.00452,-0.16719,0.18843001,1.42556,,1.08960543486195,-0.0617541563439755,-0.211642540315648,-0.295007137352212,0.0472,45510628.8,3996006144,,-68.48397,1.1546904,-0.00515756412590093,0.00521132251596835,-0.0188395214121796,-0.00667557320500781,-0.0447542266558477,0.51689708141321,-0.174347158218126,0.127789746543779,52.08,,,2.5,Hold,,Real Estate,
