Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
CARLB,DK0010181759,,,DK0010181759,0.05129,0.15036,0.18751,0.80575,0.094,1.21935506658299,0.689102032980206,0.308958893966437,-0.194864317305748,0.0029,1639836454.5,240871882752,35.46271,23.662271,4.5724454,-0.0104356654025179,0.015684661628349,0.0690849167407713,0.0763746437080024,0.12401184148435,0.151277918489523,-0.201780643180597,-0.00967360503492211,651.45,,,1.5,Buy,1.49870272384253,Healthcare,
MAERSKA,DK0010244425,,,DK0010244425,0.06767,0.32243,0.35257998,0.01288,-0.249,1.80820805819635,0.116639053217144,0.289802133937799,-0.0200014071582439,0.0259,75712968,3599203328,18.687351,16.445435,2.1496227,0.012543620147126,0.0117586331248024,-0.0568946401644761,-0.0138170614241095,-0.0967807867568583,1.01787994891443,0.0263090676883781,0.473478033205619,78.3,,,,,1.13632451801974,Technology,
MAERSKB,DK0010244508,,,DK0010244508,0.04743,0.01117,0.01348,,-0.176,1.72710116934196,-0.122006870050193,-0.178645947232335,-0.113520713287934,0.0043,900653344.5,101975760896,23.58183,17.330372,-23.928925,-0.00559365062843168,-0.0276913131155226,-0.00778211215939449,-0.0190987717742518,0.00481951027421175,0.2176299091065,-0.0338992739953124,0.121286617504145,874.65,,,1.6,Buy,1.36072266654172,Healthcare,
GMAB,DK0010272202,,,DK0010272202,0.0363,-0.13639,0.1549,0.52591,,0.608946762455241,-0.0510837887841011,1.56952376175573,0.439852936780057,0.0647,734767673.5,28969674752,,11.696998,0.8047037,-0.0121309966756756,-0.0121309966756756,-0.00691058450542878,-0.00731412457892627,-0.0055862142427029,0.678264428980761,-0.222267703643062,0.0269439214081048,24.43,,,3.1,Hold,,Consumer Defensive,
DANSKE,DK0010274414,,,DK0010274414,0.20357001,0.33528998,0.54222,1.62071,0.262,0.713245216417438,-0.350897930556098,-0.323310348388008,-0.175519224452151,0.006,2585606935.2,1028115464192,38.753952,24.352015,30.338669,0.000425235690071689,0.0148049175390644,0.0333692304898109,0.0255468640738158,-0.0313420413521496,0.387768554899257,-0.193359527464807,0.149131603826772,1152.93,,,1.6,Buy,1.59140637848654,Healthcare,
DSV,DK0060079531,,,DK0060079531,0.02365,0.15278,0.22700001,1.73135,0.24,0.724495250947215,0.281198958884007,0.258417816398147,-0.00446864372666012,0.0322,471448056,45161062400,20.139277,15.923988,1.8765574,-0.0180632527913918,-0.0026210217874002,-0.0346650835312423,-0.0434075002904652,-0.0531013722003358,0.396957123098202,0.0235131396957124,0.269221438450899,72.3,,,,,1.26471314849019,Utilities,
ORSTED,DK0060094928,,,DK0060094928,0.11377,0.1698,0.22469,0.10585,0.181,1.18005356110328,0.0378560127641233,-0.0331783254171536,-0.416594145730482,0.0024,245222277.3,25497841664,46.931347,36.31598,8.53016,-0.0117021441137245,-0.00736986301369862,0.046443082642847,0.0752952970106468,0.0393287253483674,0.266870911650244,-0.0615771024813006,0.118862300240126,362.31,,,1.4,Strong Buy,1.29230567370067,Healthcare,
PNDORA,DK0060252690,,,DK0060252690,0.055209998,0.09072,0.15859,0.15921,1.128,1.60627757062185,-0.157963676196865,-0.150935370863553,-0.077705631730121,0.0252,2587309101,672462077952,21.020565,15.155684,2.5925806,0.00165367624470991,-0.0341365879647704,-0.0147599579015917,-0.00420139892522306,0.0630259771818164,0.222942399412988,-0.131710896416779,0.0450598630304513,163.54,,,2.3,Buy,1.38697567196571,Energy,
NSISB,DK0060336014,,,DK0060336014,0.02359,0.20898001,0.46965998,0.74722,0.692,1.69513666863696,0.65526583786065,0.590616526456341,0.11038333935198,0.0568,460528513.8,53612716032,41.357662,36.483753,1.3555672,-0.0115143003897088,-0.0349173755142305,-0.0477310924369749,-0.0573947858146826,-0.0874146193765674,0.306036004235793,0.0854218143310978,0.2030091775503,56.66,,,2.5,Buy,1.13359121798681,Real Estate,
COLOB,DK0060448595,,,DK0060448595,0.04163,0.16943,0.24786,1.29054,0.062,0.449713891868509,-0.365100873630051,-0.350830871991955,-0.588207813997256,0.0437,1093561186,174050590720,8.382838,9.905663,1.5819632,0.000393879897281067,-0.0494011731764816,-0.0253261504016887,0.00994037317143843,0.0712779831625595,0.417322834645669,-0.21259842519685,0.130177952755906,25.4,,,2.1,Buy,0.846267231178771,Communication Services,
TRYG,DK0060636678,,,DK0060636678,0.029560002,0.20893,0.33975,1.22409,-0.718,0.674943761274697,0.207164673999681,-0.0681208865848993,-0.0988821152323951,0.0383,130974250,18615324672,42.19531,42.867527,3.2604496,-0.00276952668676676,-0.02173514964061,-0.0104796585824327,-0.0157451441267926,-0.0528549220513053,0.303462321792261,-0.114978707646732,0.128642843917793,270.05,,,2.6,Hold,0.984318736184618,Real Estate,
DEMANT,DK0060738599,,,DK0060738599,,,,,,-0.701494057724958,-0.3370839193624,-0.340856031128405,-0.158579443209484,0.0861,2638603.968,,24.590654,,,0.00344847107107743,0.00926042806869416,-0.0016373086462406,0.00189515207836043,0.0129839107863105,,,,45.3057,,,,,,,
