Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
AENA,ES0105046017,,,ES0105046017,,,,,,0.379477069632913,0.673282502256748,0.375606464592916,0.100596781431257,0.0104,6537101753.4,,24.68499,,1.7955042,0.00106981252126558,0.00801492056180744,-0.00111022199001406,0.00129839326715694,-0.00654023818571453,,,,701.78,,,,,,,
CLNX,ES0105066007,,,ES0105066007,0.060489997,0.09573,0.14016,0.86938,-0.015,1.43736097335383,-0.119316159214658,-0.105303256453853,-0.315136528934646,0.0281,200490264,23234795520,15.125904,12.064909,2.7519746,-0.00881931697635477,-0.00352749920680195,-0.00928909952606639,-0.0246360915629835,-0.102338165565495,0.320321469575201,0.100267891312667,0.208244450822809,104.52,,,2.1,Buy,1.25371057502381,Basic Materials,
AMS,ES0109067019,,,ES0109067019,,,,,,0.35711730440104,-0.0393351202765419,0.0273163305222426,0.0462543528712757,0.0457,136542028,,26.23054,,,-0.0241330903891975,-0.00287288619699714,-0.0431885787277121,-0.111182256561914,-0.0358796466566078,,,,41.65,,,,,,,
BBVA,ES0113211835,,,ES0113211835,,,,,,-0.496725127079393,-0.297972863095296,-0.164053877249778,-0.229661936027737,0.0201,53686853,,21.954144,,,-0.00695805963192022,-0.0117187446448952,-0.010136929519414,-0.0150415563047241,-0.0423262040105649,,,,55.66,,,,,,,
BKT,ES0113679I37,,,ES0113679I37,0.03358,0.2728,0.45882,1.01674,0.06,1.73741552848237,0.105871381583093,0.442584160368723,-0.163249248116129,0.0466,220689585.9,30172246016,30.178808,28.517849,2.1785762,-0.0166870373276759,-0.00429718163615329,0.00492169016662696,0.0198142976871386,-0.0750473129127323,0.302026186818814,0.0240655401945724,0.163045863506693,136.71,,,2.2,Buy,1.05824278682449,Real Estate,
SAB,ES0113860A34,,,ES0113860A34,0.079780005,0.20951,0.27719,0.62017,0.521,1.03044718307069,-0.233116671595928,-0.28945986438606,-0.228835979073988,0.0152,1803701976.6,431752708096,33.084595,19.547468,8.593738,-0.00662189657035036,-0.00508766872332922,-0.0233657122767663,0.000731058161391964,-0.0940602044321809,0.552369646607616,0.0501324079992694,0.25673454479043,109.51,,,1.8,Buy,1.69252585552257,Technology,
SAN,ES0113900J37,,,ES0113900J37,0.07977,0.21952999,0.24649,0.06546,0.114,1.04762311950245,0.0591052436589047,-0.02552252627392,-0.279545548762389,,256621499.7,24464642048,34.590073,23.899748,6.3673344,-0.00595921758383247,0.00266894519159746,0.0493551503890062,0.0677161722723033,0.0459001920730098,0.192046848598477,-0.30560377751545,0.00942064208504051,432.03,,,2.5,Hold,1.44729864934141,Technology,
NTGY,ES0116870314,,,ES0116870314,0.05608,0.051220004,0.10532,0.93207,0.45,1.98144345181842,0.284000833938498,0.081722547579838,-0.0175608510284465,,74754283,7379503104,23.229166,12.624761,2.6799662,-0.0106477775412161,-0.0416845912626549,-0.072379403047505,-0.0792733017253158,-0.256666666666667,0.901345291479821,0.345291479820628,0.60602197309417,22.3,,,1.7,Buy,1.83996877247815,Industrials,
IDR,ES0118594417,,,ES0118594417,0.0572,0.21581,0.20249,1.85369,2.639,0.894194853692263,0.0911764191925537,-0.0256705952113957,-0.329930670415634,0.0136,708199092,65435435008,7.9377165,20.772694,3.5300155,-0.000145312084681251,0.0148446594688946,0.0202609180533809,0.00746599999463902,-0.13982104062832,0.467596628886951,-0.0990990990990991,0.275175530369079,206.46,,,2,Buy,0.382122631758789,Industrials,
MAP,ES0124244E34,,,ES0124244E34,0.058530003,0.35037,0.49333,0.77687,0.141,0.794542408908458,-0.0847297763398356,-0.123582818481424,-0.392405861988875,0.0127,308731576.2,52286742528,26.573864,19.989656,4.385167,0.0244223250578367,0.0483021010973828,0.025770342095382,-0.0038609957299303,-0.00891001623352208,0.443232841565106,-0.101988454137268,0.172403998289502,93.54,,,1.8,Buy,1.32938075572686,Financial Services,
