Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
KESKOB,FI0009000202,,,FI0009000202,0.15755,0.33363998,0.51569,0.15807,0.114,1.80536384700212,-0.246404314462012,-0.23474335137922,0.039380915910428,0.0084,987460178.6,130036170752,15.681068,12.1026745,3.7082334,-0.00787844195238412,-0.00628071846422794,-0.0268117468973434,-0.04117789167434,0.17297639616035,0.377522080868649,-0.457094238716474,0.0925640547767603,123.41,,,1.6,Buy,1.29566964723376,Basic Materials,
NOKIA,FI0009000681,,,FI0009000681,0.010720001,0.31039,0.42176998,7.25381,0.923,1.00263343040981,0.586988102530317,0.295303131309465,-0.0924473655202822,0.021,2146686120,274283446272,14.684333,12.724152,2.6018577,-0.00995298957898461,-0.035498155484262,-0.084708262073862,-0.0843523657396278,-0.0832539368385638,0.406581740976645,-0.225053078556263,0.211942675159236,942,,,2.6,Hold,1.15405199497774,Financial Services,
WRT1V,FI0009003727,,,FI0009003727,0.087419994,0.11902001,0.20354,4.37937,0.328,0.423686575115896,-0.0142676661269759,-0.0162515768669497,-0.265630656304697,0.0189,511807145.8,85553192960,29.257496,16.953934,28.981482,0.0071640655578545,0.00740876810967713,0.00557676409340661,0.00906329780312403,-0.0779912907660699,0.320151907890771,-0.276629091566701,0.119700162758455,165.89,,,2.2,Buy,1.72570543214336,Industrials,
STERV,FI0009005961,,,FI0009005961,0.11553001,0.20622,0.48824,0.6125,6.464,1.0262383599476,0.0156502001075204,0.0240948022723705,-0.0333264879550849,0.0338,74978906.8,19343392768,14.786027,9.7625675,3.064947,-0.0568245526231621,-0.0226584051779904,-0.0309100935648981,-0.102570887601101,-0.0474009688048945,0.624335499113999,-0.345097460129947,0.256850118133491,67.72,,,,,1.51456335641213,Basic Materials,
UPM,FI0009005987,,,FI0009005987,0.09823,0.27029,0.38325,1.23967,0.434,2.38795384492754,-0.0899099360708896,-0.153852109549344,-0.319193394570629,0.0409,367371725.2,41343574016,23.79918,18.163818,11.056741,-0.0031757113504971,-0.0182586897382647,0.00293607028740944,0.0121132897603486,-0.0332139960429779,0.291544687446186,-0.0959187187876701,0.0418460478732564,116.14,,,3.1,Hold,1.31025206264454,Technology,
FORTUM,FI0009007132,,,FI0009007132,0.068969995,0.13828,0.26924,0.67677,0.23,0.512262365049337,-0.154702797401681,-0.19647047102949,-0.218901550660335,0.0151,345782984,83625377792,32.24086,20.687666,4.103462,0.0170963786150857,0.0198639455782312,-0.0149155818712877,-0.002793643395778,-0.0413076023432898,0.367395944503735,-0.306296691568837,0.151475853788687,149.92,,,1.9,Buy,1.55845806868692,Industrials,
ELISA,FI0009007884,,,FI0009007884,0.11377,0.1698,0.22469,0.10585,0.181,1.18005356110328,0.0378560127641233,-0.0331783254171536,-0.416594145730482,0.0024,245222277.3,25497841664,46.931347,36.31598,8.53016,-0.0117021441137245,-0.00736986301369862,0.046443082642847,0.0752952970106468,0.0393287253483674,0.266870911650244,-0.0615771024813006,0.118862300240126,362.31,,,1.4,Strong Buy,1.29230567370067,Healthcare,
NESTE,FI0009013296,,,FI0009013296,0.063769996,0.20698999,0.23337,0.26873,1.667,0.828420207540014,-0.158882815188911,-0.0971936945542895,-0.235023774099375,,380071632.2,21067683840,84.10365,32.491577,13.672679,0.0483392287127322,0.149320869467426,0.00349220125438466,-0.0358590636525953,-0.0854661629641021,0.721887914159356,0.0875081563111723,0.433094105705793,275.86,,,1.7,Buy,2.58847546858067,Technology,
KNEBV,FI0009013403,,,FI0009013403,0.15755,0.33363998,0.51569,0.15807,0.114,1.80536384700212,-0.246404314462012,-0.23474335137922,0.039380915910428,0.0084,987460178.6,130036170752,15.681068,12.1026745,3.7082334,-0.00787844195238412,-0.00628071846422794,-0.0268117468973434,-0.04117789167434,0.17297639616035,0.377522080868649,-0.457094238716474,0.0925640547767603,123.41,,,1.6,Buy,1.29566964723376,Basic Materials,
ORNBV,FI0009014377,,,FI0009014377,0.05973,0.11455,0.2522,2.14035,0.053,1.71544122911267,0.117207159151066,-0.0636725018078812,-0.261589629774619,0.0245,870585451.8,180401897472,17.427979,11.647991,3.2127302,0.0103935300899751,-0.0680999675157825,-0.0776065468598303,-0.0516521739429713,-0.0601175543303123,0.783803068141277,0.00487572838625278,0.447110239029611,168.18,,,1.7,Buy,1.49622188066595,Communication Services,
