Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
ANTO,GB0000456144,,,GB0000456144,0.028099999,0.04598,0.27083,1.40911,,0.698432007856003,0.747498766481828,0.350628647588121,-0.106943905003531,,383733865.4,34800885760,,14.427084,1.4775187,-0.0222752348148036,-0.0682334805925102,-0.0675265769778685,-0.0848846075406594,-0.0703479764178421,0.708706265256306,0.139137510170871,0.440195280716029,12.29,,,2.1,Buy,,Financial Services,
DGE,GB0002374006,,,GB0002374006,0.21134001,0.40735,0.56298,,0.196,0.24533491952344,-0.0857738602976022,-0.0859591287848885,-0.297749545388236,0.0149,328509825.3,40193650688,30.030962,24.574894,-14.944856,0.00618783460090491,0.015185502726409,-0.00313731342298054,-0.00301146552730848,-0.021830096118117,0.374645034094814,0.0309837755711107,0.251756904878181,552.87,,,,,1.22201796679164,Financial Services,
BA/,GB0002634946,,,GB0002634946,0.06316,0.22723,0.4692,2.75291,-0.07,0.383209285703187,-0.361545441592237,-0.341855971935563,-0.326190790109784,,170257190.4,26116763648,24.568253,12.648173,7.3731627,-0.0160787849616723,-0.0245003065603924,-0.0256234412557555,-0.0205126853973512,-0.00130561107987006,0.347546259050684,-0.0195092518101367,0.158990345937249,397.76,,,,,1.942434927163,Technology,
BATS,GB0002875804,,,GB0002875804,,,,,,-0.153473091364205,-0.135698412213995,-0.29027080336731,-0.51341433598027,0.0943,17962963.2,,24.957468,,,0.000719629989908273,0.00724292236399984,0.00240271673910648,0.00530120481927708,0.012378189725803,,,,41.72,,,,,,,
HLMA,GB0004052071,,,GB0004052071,0.10659,0.29262,0.28688,0.03702,0.286,0.591048172305575,-0.0227254914499433,-0.0343336860555237,-0.379533848550664,0.0506,170176608,22218979328,10.333334,10.091841,2.0194266,0.0128355086456088,-0.000671623857612976,-0.00784860971217535,-0.0212012965993626,-0.0718555852636676,0.190476190476191,-0.135944700460829,0.0496671466973887,104.16,,,3.4,Hold,1.02392952881442,Financial Services,
STAN,GB0004082847,,,GB0004082847,0.20357001,0.33528998,0.54222,1.62071,0.262,0.713245216417438,-0.350897930556098,-0.323310348388008,-0.175519224452151,0.006,2585606935.2,1028115464192,38.753952,24.352015,30.338669,0.000425235690071689,0.0148049175390644,0.0333692304898109,0.0255468640738158,-0.0313420413521496,0.387768554899257,-0.193359527464807,0.149131603826772,1152.93,,,1.6,Buy,1.59140637848654,Healthcare,
IMB,GB0004544929,,,GB0004544929,0.028099999,0.04598,0.27083,1.40911,,0.698432007856003,0.747498766481828,0.350628647588121,-0.106943905003531,,383733865.4,34800885760,,14.427084,1.4775187,-0.0222752348148036,-0.0682334805925102,-0.0675265769778685,-0.0848846075406594,-0.0703479764178421,0.708706265256306,0.139137510170871,0.440195280716029,12.29,,,2.1,Buy,,Financial Services,
HSBA,GB0005405286,,,GB0005405286,0.04818,0.67496,0.70182997,0.60277,-0.414,1.02067076944821,0.0954176147894687,0.0342990757358065,-0.0840588859381938,0.0763,256544846,26117558272,9.338583,7.93311,0.8953308,-0.0161758855445287,-0.0236950174898809,-0.0264473922668707,-0.0411220960778421,-0.0891743926119786,0.602023608768971,0.0961214165261383,0.359612141652614,23.72,,,1.8,Buy,1.1771654496156,Real Estate,
LGEN,GB0005603997,,,GB0005603997,0.22694,0.25406998,0.32779998,,1.316,0.888485392552514,-0.125004341043736,-0.145560956080412,-0.17253927048046,0.0221,339902487.6,37657624576,17.099134,19.723001,-5.218197,0.0165009208103131,-0.019748555715607,-0.0204443473913069,-0.0493937963710656,-0.0892716892726198,0.449380389883325,0.0652945865642437,0.252894847452714,137.99,,,2.1,Buy,0.86696410956933,Consumer Cyclical,
ABF,GB0006731235,,,GB0006731235,,,,,,-0.760346915180485,-0.186335960896068,-0.195604903747172,-0.408368938417886,0.0031,121251163.8,,38.688965,,,0.027701720335289,0.0665909090909091,0.00816328182959275,-0.000957923908095155,-0.00991564368668428,,,,93.86,,,,,,,
PSON,GB0006776081,,,GB0006776081,0.07651,0.092,0.16738,4.52947,,1.32343624766435,0.0707893579690401,-0.00376639196141332,-0.149070486724531,0.0286,56483836.8,14657536000,22.416,14.219236,17.158604,0.00250444490696983,-0.0354560848231117,-0.0109424611556971,-0.00497158551742591,0.067605127917418,0.641684511063526,-0.179157744468237,0.316286581013562,28.02,,,1.6,Buy,1.57645600649711,Communication Services,
PRU,GB0007099541,,,GB0007099541,0.00928,-0.36078998,0.17282,0.6867,,1.18623086993815,0.283951189134384,0.193009657340862,0.0379499690747194,0.0511,104578331,9172678656,,-65.80247,0.5850521,-0.0539581140283021,0.00699035882658091,0.0422370089192605,0.0588001557099705,0.0994224526253229,0.125703564727955,-0.118198874296435,-0.00562851782363972,53.3,,,2.9,Hold,,Real Estate,
RIO,GB0007188757,,,GB0007188757,0.0433,0.16474001,0.18215,0.85298,0.084,1.35251363260784,-0.0186405242262638,-0.148851606103029,-0.0768988148688134,0.0365,199181673.6,15172826112,14.657718,20.68985,2.34184,-0.00273970865641048,-0.0131043457643112,-0.0179856014044398,-0.00907445132574572,-0.0658682299420625,0.327838827838828,-0.0384615384615385,0.157982142857143,21.84,,,1.9,Buy,0.708449698765337,Real Estate,
SSE,GB0007908733,,,GB0007908733,0.058530003,0.35037,0.49333,0.77687,0.141,0.794542408908458,-0.0847297763398356,-0.123582818481424,-0.392405861988875,0.0127,308731576.2,52286742528,26.573864,19.989656,4.385167,0.0244223250578367,0.0483021010973828,0.025770342095382,-0.0038609957299303,-0.00891001623352208,0.443232841565106,-0.101988454137268,0.172403998289502,93.54,,,1.8,Buy,1.32938075572686,Financial Services,
BP/,GB0007980591,,,GB0007980591,0.04546,0.056649998,0.3013,0.19191,-0.099,0.708020931315696,0.230638606703814,0.171517038832924,0.100080757854705,0.0088,386152624.2,53729296384,49.404907,19.52645,2.134998,-0.0122654089815932,-0.034296671190568,-0.0401668827722182,-0.0497935103244838,0.0499823740070769,0.279026449770272,-0.031416863280765,0.149882031541041,80.53,,,1.8,Buy,2.53015304881328,Basic Materials,
LLOY,GB0008706128,,,GB0008706128,,,,,,-0.297765236886079,-0.266259170215264,-0.200819416923865,0.31890587835542,0.0104,86283568,,18.200832,,,0.00199976696660953,0.0268579542672477,-0.012038196378207,-0.0490460551435044,0.143406168116994,,,,95.2,,,,,,,
SN/,GB0009223206,,,GB0009223206,0.3487,0.55906,0.80370003,0.0633,13.685,-0.0624774780516009,-0.463074096170477,-0.434642496717278,-0.451020887201519,0.0005,26326966026,1147237564416,22.073011,6.489501,11.385978,0.0391815856777493,0.0950841167911298,0.04156839184262,-0.0116465934049228,0.152393199724913,1.16578066548533,-0.644615081708998,0.489575802323292,1015.8,,,1.3,Strong Buy,3.40134179808278,Technology,
