Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
'3808,Sinotruk (Hong Kong) Limited,,,HK3808041546,0.03845,0.061139997,0.07809,0.08534000000000001,0.256,0.7485321615306982,0.04081708701512785,-0.18868371983875057,-0.4031128767135219,0.0541,294000787.96000004,105083404288,12.771812,8.859808,1.9024774,0.0031629250826208355,-0.06852669037019549,-0.06807052258083131,-0.12425216746960219,-0.05708195557477618,0.5076125591171833,0.18664240672622165,0.36894792433000523,38.06,,,1.4,Strong Buy,1.4415450086503006,Industrials,
'2778,Champion Real Estate Investment Trust,,,HK2778034606,0.01437,-0.48966998,0.62912,0.36441,,1.0430022023649836,-0.1904721056138426,-0.35766855934092795,-0.33556351903548803,0.057,2956070.14,12934644736,,17.96895,0.32330248,0.03970217912203526,0.01699031951099663,-0.021028085373009656,-0.030092631133248626,-0.058426925934649,0.16945107398568016,-0.18854415274463016,0.014319809069212316,2.095,,,4.0,Underperform,,Real Estate,
'2388,BOC Hong Kong (Holdings) Limited,,,HK2388011192,0.00932,0.60139,0.76007,,0.071,0.35697250576368494,0.0257592354252052,0.10343089053164024,-0.22277369435501204,0.0464,667459115.0999999,550313197568,13.177215,11.969315,1.5271095,0.00192491310090379,0.016601547351456417,-0.004780100204731869,0.012228423371664082,0.04751524239392695,0.17156580211335254,-0.15081652257444755,0.029042651296830018,52.05,,,2.1,Buy,1.100916384939322,Financial Services,
'2380,China Power International Development Limited,,,HK2380027329,0.016590001,0.039189998,0.21976,1.92047,-0.522,-0.48564739768073617,-0.3754755275638699,-0.21706556368844687,0.1210601581138272,0.0729,52361022.260000005,32409794560,17.466665,11.496172,0.48968065,-0.007575797011152259,-0.013182663565698468,-0.03321034571221343,-0.08231173993117842,-0.050724634401088604,0.9706975572519083,-0.03520725190839706,0.29508343511450386,2.62,,,,,1.5193461788845888,Utilities,
'1208,MMG Limited,,,HK1208013172,0.12593001,0.13430999,0.47842997,0.40928,1.551,0.0653264401427215,-0.3243872099003631,-0.08773448659823435,0.34373294410385674,,435770684.04,113498144768,13.186567,7.748972,2.5246706,0.03092185701428051,0.04742140610367371,-0.025909559286790285,-0.09662574220583306,-0.04795255881205875,0.47210130164119957,0.1311563101301641,0.33664674589700044,8.835,,,1.5,Strong Buy,1.7017182408195564,Basic Materials,
'1093,CSPC Pharmaceutical Group Limited,,,HK1093012172,0.10704,0.23712999,0.5259,0.01655,3.884,-0.2418282870562966,-0.5112789289296955,-0.320260191131075,0.023420400133101905,0.0403,812491951.13,101850685440,11.750001,13.394331,2.314545,0.009039504529036816,0.026436804112331402,0.02525831927548779,-0.018681359817950948,0.02761800128949062,1.167973124300112,-0.1041433370660694,0.40396304591265403,8.93,,,1.5,Buy,0.8772368698369482,Healthcare,
'0992,Lenovo Group Limited,,,HK0992009065,0.03023,0.00875,0.00071000005,0.81616,,0.32258727837881496,-0.3825540858638996,-0.35772690722766487,-0.06839348436320833,0.011200000000000002,3246927107.16,466167103488,34.477066,12.455779,8.918986,0.09498835472505608,0.2044871500336292,0.2006390069014334,0.1591610771896151,0.33736652988737204,0.7565361894624802,-0.7067221660457691,0.1905682277807345,37.58,,,1.4,Strong Buy,2.7679574276325876,Technology,
'0836,China Resources Power Holdings Company Limited,,,HK0836012952,0.02915,0.124589995,0.18084,1.38581,-0.155,-0.36438842247101383,-0.5370945460285095,-0.3212797488308152,-0.2726099798222913,0.057800000000000004,197238197.12,97794621440,6.7464285,7.1866627,0.8030097,0.005321930792990083,0.006929625241583117,0.005857258217925065,0.002707214220910481,0.040729702419283004,0.7787188988883007,-0.21175224986765484,0.11219110640550553,18.89,,,,,0.9387428882671786,Utilities,
'0823,Link Real Estate Investment Trust,,,HK0823032773,0.026700001,-0.52368,0.68413,0.39253,,0.39684556422320655,0.21297741103605147,0.3391124886964691,-0.26549939752960505,0.06849999999999999,321967937.70000005,95920488448,,14.771484,0.6410057,0.008169901125377296,0.005978281725557697,-0.02167019421990693,-0.04734947456129011,-0.04093260457459297,0.3911399243652079,0.1372231226364127,0.22825499729875728,37.02,,,1.4,Strong Buy,,Real Estate,
'0808,Prosperity Real Estate Investment Trust,,,HK0808032913,0.01668,-0.045890003,0.62263,0.38982999999999995,,0.9163995323108179,0.033125593639618645,0.09993805672607986,-0.4214562717663497,0.084,1755058.3,2146775424,,9.571428,0.34044716,-0.01831502517368307,-0.011070124621653415,-0.028985503891189847,-0.04285712655709681,-0.07711636104165072,0.21641791044776104,0.21641791044776104,0.21641791044776104,1.34,,,2.0,Buy,,Real Estate,
'0688,China Overseas Land & Investment Limited,,,HK0688002218,0.013839999,0.060960002,0.1304,0.5567,-0.182,0.46664555636773974,0.05823180723409078,0.03541298657740034,0.8258806603375732,0.0393,318660376.59999996,133527576576,8.970588,8.407415,0.29069623,0.020066886378556494,0.02607238236037688,-0.003525874808730339,-0.040432318353225014,-0.053577087922831605,1.0491803278688525,0.22950819672131154,0.5250311475409837,12.2,,,1.3,Strong Buy,1.0669852743084527,Real Estate,
'0669,Techtronic Industries Company Limited,,,HK0669013440,0.064840004,0.08324,0.09833,0.21133,0.175,0.09550831520698626,-0.02499505543397026,-0.0202887644539081,-0.030184542744570247,0.023399999999999997,692454394.8000001,234479747072,22.92857,17.725653,4.0177565,-0.0007782101167314732,-0.009259305918219916,0.01102362204724414,-0.025056925016779412,-0.11434305127730421,0.39421370716510906,0.044148208722741486,0.24728029595015572,128.4,,,1.3,Strong Buy,1.2935247011774405,Industrials,
'0435,Sunlight Real Estate Investment Trust,,,HK0435036626,0.01708,-0.29544002,0.64721,0.41119999999999995,,0.4469660203965678,0.13750115993183828,-0.02104639073677832,0.03065822031023381,0.08380000000000001,2580325.38,3637545728,,7.392857,0.29896015,-0.014285669521407682,-0.01662708729517813,-0.02358485295195963,-0.043879890774555425,-0.05780611067787498,0.28502415458937214,0.28502415458937214,0.28502415458937214,2.07,,,,,,Real Estate,
'0405,Yuexiu Real Estate Investment Trust,,,HK0405033157,0.01234,-0.31093,0.49003,1.02355,,0.6778163764928695,-0.09564026298587527,0.12152319674886876,0.3998261531021696,0.1003,1493130.55,3323223296,61.000004,11.40595,0.19850782,0.008264431022945697,0.008264431022945697,-0.008130096681639892,-0.016129039824939257,-0.04420773042779359,0.2379769344262295,0.10554229508196725,0.17175960655737713,0.61,,,,,5.348086218158066,Real Estate,
'0392,Beijing Enterprises Holdings Limited,,,HK0392044647,0.0077100005,0.0592,0.05786,0.75786,0.04,0.25630025876499807,-0.010727536400662084,0.2704354183952616,0.04780857581545434,0.0547,58046073.6,37236899840,6.1410785,6.0472956,0.35120597,-0.012675101669063635,-0.014647167181007333,0.01648348718863702,-0.03425773675688618,0.020150337981079944,0.47297297297297297,-0.020270270270270316,0.15270270270270256,29.6,,,,,1.0155082380957199,Industrials,
