Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
ICL,IL0002810146,,,IL0002810146,0.0444,0.62194,0.64858,0.26701,0.086,1.40755222095614,0.0188772683628952,-0.0676214997884498,-0.100016122779157,0.0409,73453767.2,8870447104,23.4625,21.161217,1.9729857,-0.0165050615448516,-0.0229046905488041,-0.0279647582018216,-0.0384221536975106,-0.0872842444659763,0.305274374001066,0.145444858817262,0.202819659030368,37.54,,,1.3,Strong Buy,1.10875003077564,Real Estate,
HARL,IL0005850180,,,IL0005850180,0.02247,0.01051,0.03202,2.02341,-0.262,2.24563914715316,0.109630172905816,0.0648904579818742,-0.251549980429287,0.0083,667602918,74345914368,38.591545,5.4789844,1.1627249,-0.0510275064238143,-0.0371325131146133,-0.0399439691295567,-0.0186246668629881,-0.0525651380690427,0.605839416058394,-0.0875912408759124,0.263179197080292,82.2,,,1.6,Buy,7.04355810905393,Consumer Cyclical,
LUMI,IL0006046119,,,IL0006046119,0.05435,0.02822,0.04449,5.01585,1.385,2.38095399328089,1.43511741481844,0.856120550554169,-0.0751683303397034,,128381709.4,5563802624,8.110361,6.7364583,2.4678485,-0.0376830094854382,-0.173468889074577,-0.173712370437581,-0.195477550948951,-0.203662525236064,0.782637114504724,0.247845980153307,0.477112900350585,168.29,,,1.7,Buy,1.20395030130299,Consumer Cyclical,
POLI,IL0006625771,,,IL0006625771,0.047319997,-0.00375,0.25536,1.10091,,1.21175979760427,0.161082557550888,0.0161205434591918,-0.292764637323461,0.0253,336420809.4,63282774016,,19.684336,4.5580378,-0.00678035492204213,-0.0219575909010227,-0.0248773045259172,-0.0374610168005868,-0.052480703931173,0.312548384826518,0.10493349285664,0.214389682595538,284.18,,,1.9,Buy,,Basic Materials,
DSCT,IL0006912120,,,IL0006912120,-0.01984,0.025910001,0.000040000003,7.90875,,0.716371776372654,0.706730782710495,0.281291959076689,-0.144591844089119,,1259507486,156651339776,71.03943,48.455154,25.686884,0.00609137055837558,-0.0547951848329866,-0.0582085869607066,-0.0398217141839989,-0.146388742340376,0.538849646821393,0.24117053481332,0.386711200807265,198.2,,,1.5,Buy,1.46608614637774,Industrials,
MZTF,IL0006954379,,,IL0006954379,0.037219997,0.00674,0.013300001,,0.688,1.11423052926073,-0.106801363410085,-0.136659271401256,-0.268757324318943,0.0091,407604237.6,52417916928,31.346315,16.010809,-18.21547,-0.0042413906221749,-0.0312486313656174,-0.0391781005127245,-0.0609166666666667,-0.0516704682019964,0.295589670778241,0.0426834679208448,0.202136391871506,225.38,,,1.5,Strong Buy,1.95782205633707,Healthcare,
ENLT,IL0007200111,,,IL0007200111,0.02095,0.048309997,0.0683,0.41888,1.575,2.61641846874607,0.104083226168672,-0.0312539710205294,-0.174599344627566,0.0188,147772761.5,11368636416,77.83582,52.67677,2.7480636,-0.0188147036156152,-0.0177057854565117,-0.0266890963453806,-0.0301283326013022,-0.0467921609817613,0.418983700862896,0.0546500479386386,0.234899328859061,52.15,,,1.4,Strong Buy,1.47761185813025,Real Estate,
PHOE,IL0007670123,,,IL0007670123,0.060310002,0.043860003,0.097729996,2.21223,-0.062,0.226441899511127,-0.0194508017652428,-0.0821836525838097,-0.336497086181544,0.0327,62815486.5,6416338432,22.330143,13.833312,3.5153658,0.00452003701389503,-0.00891909431358979,-0.0246603659717832,-0.0303345322192906,-0.0967679184465388,0.392757660167131,0.114206128133705,0.183844011142061,46.67,,,2.5,Buy,1.61422969423375,Consumer Defensive,
ESLT,IL0010811243,,,IL0010811243,0.14473,0.17729001,0.29779,1.20415,0.593,1.3005874813452,-0.33896776181388,-0.253541876391679,-0.271333359374162,0.0064,954416380.5,191235735552,39.166668,23.687853,12.340866,-0.0104632221238221,-0.00128784963185842,-0.0759056042413326,-0.0465944985065746,-0.0909090941613332,0.482914248871696,0.0960670535138621,0.280009155383623,77.55,,,1.5,Strong Buy,1.65344947049443,Technology,
TSEM,IL0010823792,,,IL0010823792,0.09823,0.27029,0.38325,1.23967,0.434,2.38795384492754,-0.0899099360708896,-0.153852109549344,-0.319193394570629,0.0409,367371725.2,41343574016,23.79918,18.163818,11.056741,-0.0031757113504971,-0.0182586897382647,0.00293607028740944,0.0121132897603486,-0.0332139960429779,0.291544687446186,-0.0959187187876701,0.0418460478732564,116.14,,,3.1,Hold,1.31025206264454,Technology,
