Ticker,Name,Fee,Bought,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
1605,Inpex Corporation,,,0.0841,0.19073999,0.48582,0.26123,-0.107,-0.609324307381445,-0.216753380433257,-0.179149833713261,-0.183110425929106,0.0292,17812077860,4315210842112,11.234153,13.833831,0.88246715,0.00432783337841493,0.0371508379888268,0.0828229804607757,0.0536322360953462,0.0462471220968409,0.333153784002155,-0.224346889307837,0.123325882036089,3713,2.42,2.38,2.3,Buy,0.812078230534983,Energy,
1721,COMSYS Holdings Corporation,,,0.05756,0.05757,0.0919,0.00592,0.306,-0.887661779352968,-0.414592720870159,-0.2968414443543,-0.290463649463091,0.026,2867108780,605773627392,16.959612,20.757702,1.5147785,0.0107837473522049,0.0100057725610929,-0.00474023511566174,-0.00417378106621135,-0.0205262175779063,0.0478186321204039,-0.218898837873881,-0.0702991045913507,5249,3.4,2.68,2.8,Hold,0.817027433961621,Industrials,
1801,Taisei Corporation,,,0.045679998,0.081379995,0.09922,0.4708,0.814,-0.868270179656447,-0.555923282981538,-0.458624674374249,-0.31416905096604,0.0275,8893991250,2220999311360,13.28698,28.62395,2.342643,-0.01410998552822,-0.00146573836570172,-0.0201366414958648,0.00776627218934911,0.0306354009077156,0.622018348623853,-0.222018348623853,0.199475743119266,13625,4.12,3.4,1.7,Buy,0.464191000892609,Industrials,Selloff079
1802,Obayashi Corporation,,,0.03934,0.06719,0.06892,0.27078,-0.137,-0.879393959774833,-0.380392904578386,-0.245256177190338,-0.23391680205556,0.0287,7250731360,2250617913344,13.131191,23.731516,1.7886372,0.000611246943765281,0.00987045033929673,0.0101820425794508,0.0272983997489802,0.0699346405228758,0.435552840562004,-0.0836896762370189,0.18738546120953,3274,2.64,2.87,1.6,Buy,0.553322889275173,Industrials,
1803,Shimizu Corporation,,,0.02865,0.061529998,0.07021,0.56674,0.815,-0.767517613496062,-0.50051296506443,-0.366307621513431,-0.339614935931264,0.031,6093925110,1668797562880,13.163675,29.919628,1.7063769,-0.0100725221595488,-0.00263852242744063,-0.0205301973290811,0.00531914893617021,0.0218340611353712,0.383801383801384,-0.0638990638990639,0.226815466015466,2457,4.12,3.13,2.3,Buy,0.439967869921377,Industrials,Selloff089
1808,HASEKO Corporation,,,0.04435,0.043070003,0.09186,0.75428,0.063,-0.680559889591986,0.210062326765296,-0.00854011426482322,-0.05026157055958,0.0361,2220208650,731212546048,13.512324,12.996849,1.2993902,-0.00144560896277557,-0.0233297985153765,-0.016375934496262,-0.016375934496262,0.0117173196631271,0.375316684762939,0.0314875135722041,0.177162504524068,2763,3.8,3.04,2.3,Buy,1.03966153642317,Consumer Cyclical,
1812,Kajima Corporation,,,0.04196,0.05781,0.07143,0.58009,0.085,-0.91202848158467,-0.626184526513922,-0.48074419248882,-0.311282766190787,0.0258,8117393400,2574051704832,14.683438,20.936516,1.8374108,-0.013262599469496,-0.00428265524625268,-0.0177785601126562,0.00377765785213168,0.0238532110091743,0.648745519713262,-0.032258064516129,0.312083996415771,5580,4.02,3.08,1.3,Strong Buy,0.701331491829873,Industrials,
1860,Toda Corporation,,,0.02485,0.05727,0.05298,0.56948,-0.219,-0.881051499058183,-0.0683751952382962,0.0297263143834341,-0.0762214558177348,0.0389,1542116095,451905093632,12.381377,16.73794,1.1563054,-0.0106934543097861,0.00131190554280092,0.00925619834710744,0.013948854201262,0.00164041994750656,0.24467736652473,-0.148378643956764,0.120209629872257,1526.5,3.45,2.56,2.5,Buy,0.73971928445197,Industrials,
1878,"Daito Trust Construction Co.,Ltd.",,,0.06527,0.0499,0.05298,0.47155,0.354,-0.875705325977131,-0.267424561125656,-0.0384766292513039,-0.16606072218805,0.0506,5162234700,1059244605440,10.884468,2.3332164,2.1353476,0.0111835973904939,-0.00641025641025641,0.00649350649350649,0.0168697282099344,0.0479716677398583,0.290322580645161,-0.0783410138248848,0.0706605222734255,3255,2.15,2.87,2.9,Hold,4.66500578343269,Real Estate,
1893,"Penta-Ocean Construction Co., Ltd.",,,0.047659997,0.04368,0.05155,0.98543,0.767,-0.890112068169886,-0.473096105260968,-0.172697845938659,-0.432567354117885,0.0324,2625009460,429675544576,12.62047,22.841286,2.1824498,-0.0130800373715353,-0.00220403022670025,-0.0158385093167702,-0.0130800373715353,-0.0210071053444547,0.577784790154623,-0.116440517513411,0.330598485326601,1584.5,3.93,3.04,1.5,Strong Buy,0.552528872498685,Industrials,Selloff066
