Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
'00001,KYG217651051,,,KYG217651051,0.05704,0.2199,0.21375,1.10417,1.189,0.570613347991611,-0.109572424377471,-0.148699380044036,0.182554434637535,0.0072,3158326140.8,195808165888,22.214752,14.859358,5.1020756,-0.0203006216990343,-0.067715322357971,-0.0378711182670046,-0.0238427252600909,0.276107305684755,0.996469401479489,-0.327505043712172,0.172363399462004,237.92,,,1.8,Buy,1.49500079343939,Technology,
'01113,KYG2177B1014,,,KYG2177B1014,0.02974,0.01501,0.09824,0.31472,,0.198986691290635,-0.265032467093683,-0.275194890271864,-0.417721831142261,,71216827,6356309504,487.14282,23.100164,6.5893717,0.0299003132406746,0.0252556139764735,-0.060864811063231,-0.0485491111936351,-0.196796642814963,0.818181818181818,0.407624633431085,0.607571260997067,34.1,,,1.3,Strong Buy,21.0882840485461,Technology,
CRDO,KYG254571055,,,KYG254571055,0.054369997,0.09947,0.23305,3.3457,0.264,1.77452264959175,-0.279858756233977,-0.324147963736437,0.295727582701124,0.0398,79391475.8,8411944448,29.383133,25.563942,10.165055,0.0110272728871397,0.0101897185391128,-0.000409852157103633,-0.00457142857142859,-0.0184335771959535,0.2465146793505,0.0250943086763983,0.14341946859111,121.94,,,1.2,Strong Buy,1.14939757725941,Real Estate,
FN,KYG3323L1005,,,KYG3323L1005,0.1523,0.07634,0.107080005,0.26745,0.515,1.39277164409284,-0.0994348639242967,-0.114968556971835,-0.377351764818214,0.0086,195339257.6,24820410368,27.833818,24.085474,11.717705,0.00983709620760022,-0.0152655698280455,-0.00861893069008229,0.0139663452578396,0.069332451896701,0.152194406619881,-0.476275269718236,-0.0692662616528752,190.94,,,3.2,Hold,1.15562674830481,Industrials,
FTAI,KYG3730V1059,,,KYG3730V1059,0.10195,0.1179,0.19002001,3.48933,-0.323,0.632916488030549,0.1230280651314,0.431704022392263,-0.127983437638283,0.0521,578554191.6,32546185216,19.416666,13.081558,18.597492,-0.00336085582239572,-0.0083096909468977,-0.00295467673326977,-0.00851060764148431,-0.0885857207731261,0.655426118945432,-0.0803188228080932,0.195585530349479,97.86,,,2.4,Buy,1.48427779015313,Consumer Defensive,
GRAB,KYG4124C1096,,,KYG4124C1096,0.43910998,0.56465,0.78472,0.01277,,0.271414203368494,-0.467480135128229,-0.4216837806054,-0.206598992876334,,17289145752.6,262356500480,21.880816,6.7686954,16.966225,0.109905279233408,0.170439499207884,0.0970214753621397,0.015673067428836,0.423683883872486,1.00913038139992,-0.441908227388912,0.18599357078278,1791.82,,,1.5,Buy,3.23264893852366,Technology,
'01928,KYG7800X1079,,,KYG7800X1079,0.02516,0.43575,0.43030998,0.63823,0.853,0.867526205580997,-0.228172400995989,-0.229762782808743,-0.365025297154342,0.0317,476361403.6,131076800512,30.098213,39.600586,2.3444319,-0.00251511092027274,0.000519484989503309,0.00118272439552325,0.00184695728162189,-0.0232100359329411,0.260753485612578,0.0382675763868288,0.173470557698012,134.84,,,,,0.760044636713204,Real Estate,
SN,KYG8068L1086,,,KYG8068L1086,0.04528,0.42011002,0.43884,2.40279,0.476,0.798716148423508,0.308574790781422,0.122251010936909,-0.0857745532085431,,3088934437.8,107728044032,48.51012,35.401524,11.362731,0.0911574780435177,0.084834796837058,0.0644043734994264,0.0393823843578879,0.320912812361722,0.418794858955099,-0.524286429644467,0.0794401602403605,119.82,,,1.7,Buy,1.37028338102055,Financial Services,
'01308,KYG8187G1055,,,KYG8187G1055,0.16454001,0.30114,0.37057,0.09092,0.285,0.562931132206179,-0.116456168392756,-0.122698482773022,-0.413674082293049,0.0056,2429349111.2,645257297920,55.552914,28.303585,1432.0648,0.0308344356217263,0.0555709280773995,-0.0108226157331902,-0.028678488234379,-0.0143454738039473,0.694241511500548,-0.470907721796276,0.272314157817039,1679.92,,,1.4,Strong Buy,1.96275185634611,Technology,
'01997,KYG9593A1040,,,KYG9593A1040,0.054369997,0.09947,0.23305,3.3457,0.264,1.77452264959175,-0.279858756233977,-0.324147963736437,0.295727582701124,0.0398,79391475.8,8411944448,29.383133,25.563942,10.165055,0.0110272728871397,0.0101897185391128,-0.000409852157103633,-0.00457142857142859,-0.0184335771959535,0.2465146793505,0.0250943086763983,0.14341946859111,121.94,,,1.2,Strong Buy,1.14939757725941,Real Estate,
'00288,KYG960071028,,,KYG960071028,0.06589,0.1744,0.13689,0.45617,2.423,0.158237512945441,-0.268278996636615,-0.301919946937217,-0.446034536853875,,8426132795.7,2736595664896,20.19984,24.453907,4.959536,0.0100322366897607,0.0212945892844628,-0.0119557550973257,0.00519019863389101,-0.068133435320133,0.596310748492373,-0.0934531551771708,0.293699105277679,253.71,,,1.3,Strong Buy,0.826037328104666,Consumer Cyclical,
