Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
HEIO,NL0000008977,,,NL0000008977,0.15755,0.33363998,0.51569,0.15807,0.114,1.80536384700212,-0.246404314462012,-0.23474335137922,0.039380915910428,0.0084,987460178.6,130036170752,15.681068,12.1026745,3.7082334,-0.00787844195238412,-0.00628071846422794,-0.0268117468973434,-0.04117789167434,0.17297639616035,0.377522080868649,-0.457094238716474,0.0925640547767603,123.41,,,1.6,Buy,1.29566964723376,Basic Materials,
KPN,NL0000009082,,,NL0000009082,0.05435,0.02822,0.04449,5.01585,1.385,2.38095399328089,1.43511741481844,0.856120550554169,-0.0751683303397034,,128381709.4,5563802624,8.110361,6.7364583,2.4678485,-0.0376830094854382,-0.173468889074577,-0.173712370437581,-0.195477550948951,-0.203662525236064,0.782637114504724,0.247845980153307,0.477112900350585,168.29,,,1.7,Buy,1.20395030130299,Consumer Cyclical,
HEIA,NL0000009165,,,NL0000009165,0.026630001,0.3061,0.46188998,0.89326,0.957,1.6136575223436,-0.0615408851153519,-0.21469528492548,0.0299142069838744,0.0609,32282880,4087614976,25.263159,26.230583,1.2782956,-0.00104054703792819,-0.0385578036970474,-0.0597453512113486,-0.0729115959065773,-0.0926275927006597,0.354166666666667,0.0416666666666667,0.234375,19.2,,,1.8,Buy,0.963118471289792,Real Estate,
PHIA,NL0000009538,,,NL0000009538,0.100109994,0.20426,0.2471,0.01082,-0.112,0.17806474350397,0.100230159526972,0.0475107508654701,-0.0537999164662726,,566038857,112305987584,8.384697,6.364096,1.6633509,0.0150520595978084,0.0105020254830371,0.0140085140162798,0.00368909028618243,-0.131535483487378,0.907925221799746,0.0814309885931558,0.454083143219265,78.9,,,2.1,Buy,1.31750008170838,Consumer Cyclical,
STMPA,NL0000226223,,,NL0000226223,0.105579995,0.05446,0.12269,0.40148,4.535,2.2757691109659,0.237966702473886,0.326030505348035,-0.0960054763350976,0.0116,1633666910.4,118994657280,17.212828,11.07206,4.759645,0.00181805256083776,0.040902657428894,0.0585522918550304,0.0625529940336351,0.364005456682946,0.088850174216028,-0.424119241192412,-0.139871999612853,413.28,,,2.3,Buy,1.55461838176455,Energy,
AIR,NL0000235190,,,NL0000235190,0.04249,0.11336,0.04063,0.67538,-0.219,-0.0429449291421196,-0.441855955681077,-0.397408524841984,-0.305792729366584,,1794550769.5,140057280512,86.28662,27.064177,11.190319,-0.0216653512981596,-0.0453135600638224,0.0221836659456938,0.0332545142960224,0.154409899970087,0.830663615560641,-0.468517014837233,0.061787997342585,135.47,,,1.4,Strong Buy,3.18822257185208,Technology,
ASM,NL0000334118,,,NL0000334118,0.11553001,0.20622,0.48824,0.6125,6.464,1.0262383599476,0.0156502001075204,0.0240948022723705,-0.0333264879550849,0.0338,74978906.8,19343392768,14.786027,9.7625675,3.064947,-0.0568245526231621,-0.0226584051779904,-0.0309100935648981,-0.102570887601101,-0.0474009688048945,0.624335499113999,-0.345097460129947,0.256850118133491,67.72,,,,,1.51456335641213,Basic Materials,
WKL,NL0000395903,,,NL0000395903,-0.02259,-2.0148802,-0.05906,,,0.810169573128286,0.093955505990574,-0.0739816406884462,-0.525926538141303,,34848343.6,6818504704,,16.518034,0.82054436,-0.00248755745620902,0.012626252871559,-0.0278787878787879,-0.00987658983976629,-0.0475059468728658,2.36658354114713,-0.133416458852868,0.490804239401496,8.02,,,2.3,Buy,,Consumer Cyclical,
AER,NL0000687663,,,NL0000687663,0.083179995,0.102740005,0.18159,1.52276,2.134,2.03723955512369,-0.423138122922111,-0.436267875187556,-0.485159038911052,,234774478.8,21095172096,10.123261,12.427377,4.528155,0.000343665924449043,0.00437030427375949,-0.00644697343724282,-0.0263489925898353,0.0208462634281379,0.202335967021642,-0.00759570975991454,0.0900089316386121,261.99,,,1.5,Strong Buy,0.81459353812152,Healthcare,
ENX,NL0006294274,,,NL0006294274,0.13573,0.24500999,0.30989,0.00486,0.858,0.679874927915938,-0.170596869870156,-0.146254066751788,-0.448103438907975,0.0068,928109736,59846348800,71.425224,34.9233,15.36288,0.0412285143018113,0.0659454524784187,-0.0134957483147917,0.0116718587746625,-0.103952644894281,0.724421087206438,0.293315815404828,0.510757102972574,1217.8,,,1.3,Strong Buy,2.04520260112876,Technology,
LYB,NL0009434992,,,NL0009434992,0.15838,0.096829996,0.20966,13.88163,-0.055,1.39359683667232,0.30065543183629,0.23894542318385,-0.111916719632578,0.0242,480800722.5,69728706560,34.437008,21.292498,295.50674,-0.00296367658708229,0.0054022988505747,0.00771885857933294,-0.00636145390278681,-0.0594623655913979,0.25757402538013,-0.00537327083571509,0.131244998285126,87.47,,,2,Buy,1.61733057342544,Consumer Defensive,
NXPI,NL0009538784,,,NL0009538784,0.13059,0.31111,0.42576998,0.78036,0.518,1.6322532572407,-0.340389916677557,-0.279964211279342,-0.406857289536902,0.022,1746926623.2,243508379648,39.211765,25.048735,13.519242,0.0329278099838131,0.0121854284381714,-0.00766658769425005,0.0193050335747028,-0.0422413583128778,0.5001500150015,-0.156165616561656,0.217783153315332,266.64,,,2.1,Buy,1.56541897225549,Technology,
