Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
HMB,SE0000106270,,,SE0000106270,0.08643,0.07525,0.12020001,,2.729,0.509321750255393,0.416748347615943,0.503568071261373,0.199789507906796,0.0043,6092182192.4,361179774976,34.241108,19.812387,-256.80832,-0.0345683609281245,0.0451693433299628,0.00135736925114351,0.0612984586641755,0.297977854272199,0.293877407316129,-0.181424497412245,0.00426011336830629,568.06,,,1.8,Buy,1.72826767415759,Technology,
INDUC,SE0000107203,,,SE0000107203,0.12989001,0.19760999,0.22503,0.03793,-0.104,1.44076204303477,0.298785013134246,0.179502143796068,-0.180440022815149,0.0156,187524898.5,10856937472,22.377169,19.71775,5.287871,-0.00870627140013087,0.00506258608880221,-0.0389150652135208,-0.0229050720936402,-0.00972949047307677,0.349693251533742,0.0978366160800775,0.228513335485954,154.85,,,1.8,Buy,1.13487436446856,Technology,
SKFB,SE0000108227,,,SE0000108227,0.10512,0.28445998,0.33603,,0.265,0.613181088298161,-0.300269133457832,-0.209053591586422,-0.356380515088866,,1112636170.8,140921503744,44.04591,32.529274,7.661576,0.0255253460837619,0.0428730410989629,0.0655018461419671,0.113492274017518,0.0525006261366718,0.74154018254392,-0.176264205628861,0.211056415732337,393.33,,,1.8,Buy,1.35403913410425,Healthcare,
ERICB,SE0000108656,,,SE0000108656,0.27082002,0.27618998,0.32623002,0.78445,0.287,0.628777782238678,-0.355901940549186,-0.284967878172199,-0.366733766129184,0.0032,16523626437.2,4905541566464,38.591274,35.05517,45.669838,-0.00258160237388725,0.0144564607806196,0.011617091864921,0.065928851092624,0.0768537508444765,0.204890964805284,-0.360366524856454,-0.024670722637075,336.13,,,2.2,Buy,1.10087253891509,Technology,
LUNDB,SE0000108847,,,SE0000108847,0.04513,0.12319,0.11816,0.5839,2.06,0.770148260458268,-0.395821581978903,-0.436630400331184,-0.0771370933217571,,510312368.8,46722670592,40.643604,14.663316,7.223443,-0.0271477258753321,0.0167829331399022,0.0439957091331291,0.0420316948130698,0.138804004607394,0.418476298550575,-0.525455201939444,0.0764008871924485,193.87,,,2.3,Buy,2.77178804575991,Technology,
SCAB,SE0000112724,,,SE0000112724,0.072270006,0.19143,0.25677,0.42094,1.091,0.245072810914098,0.0435360619609542,-0.143282044988247,-0.122061477987421,,327566350,57031991296,44.84605,24.150114,8.682131,0.0107410014855497,0.0690580024892435,-0.0107489206561027,0.0120539866368396,-0.00581668893869088,0.349253731343284,0.0447761194029851,0.239054746268657,335,,,1.6,Buy,1.85697053024263,Technology,
SKAB,SE0000113250,,,SE0000113250,-0.07643,0,-5.44626,1.24865,,0.491539402945317,-0.416602353181722,-0.459334033111779,-0.409640419232151,,491299393.2,22774081536,,-45.393196,9.26096,-0.0668154862963492,-0.00425387877856726,-0.0223855762894836,-0.0624799468655801,-0.131235162266211,0.845522898154477,-0.273752563226247,0.360361073137389,58.52,,,2.6,Hold,,Technology,
TRELB,SE0000114837,,,SE0000114837,-0.30702,-2.49214,-2.61009,1.9784,,-0.116660380939826,-0.132327559023756,-0.215090716668378,-0.544099704644883,,50061763.6,1611747072,,-0.7918684,-1.5232775,-0.0443925702089761,-0.00728152582339482,-0.0308056390177561,-0.0421545624661706,-0.414040116214369,3.15647921760391,0.222493887530562,0.983156479217604,4.09,,,,,,Consumer Cyclical,
VOLVB,SE0000115446,,,SE0000115446,0.1125,0.17438999,0.27354,3.5785,0.095,0.825034329402801,-0.0431727842701903,-0.0464683627781055,0.0435995033033276,0.0105,448923262.5,75907039232,36.14421,23.703876,28.409414,-0.00219716474911623,-0.0197892693794417,-0.0135231065023258,-7.38110685732582E-05,-0.029982809117699,0.199119192447729,0.0377831556456711,0.148577844637757,458.67,,,1.6,Buy,1.52482277581945,Technology,
SEBA,SE0000148884,,,SE0000148884,0.03949,0.15948,0.19777,0.5297,0.597,0.910266569033346,-0.0467108233109877,-0.131095417279748,-0.459720728882944,0.0075,870672540.3,148899479552,37.890877,22.78046,2.8314574,-0.0032470588235294,0.0117023279638226,0.0583091867989441,0.0339760492512132,0.0591559382198339,0.463575846277324,-0.0793635805674897,0.0815681979132241,211.81,,,1.5,Strong Buy,1.66330605264336,Healthcare,
SECUB,SE0000163594,,,SE0000163594,0.13670999,0.1427,0.2015,,0.103,1.58438134377597,0.00610289227146466,-0.125124542581176,-0.439701700023686,,606704032.3,68527067136,26.977705,23.19373,-37.665627,-0.00212038391969164,-0.00528421374774557,-0.0129340444974526,-0.0159154484422937,-0.0927493037575074,0.416597804273404,0.0506433715027742,0.272577027505607,84.71,,,1.5,Buy,1.16314646242756,Consumer Cyclical,
INDUA,SE0000190126,,,SE0000190126,0.04131,0.091850005,0.19271,0.85655,0.751,0.191707327969977,-0.302724822219839,-0.247938733058302,-0.38630103967979,0.003,294605440,21735800832,67.09906,28.361174,5.2263207,0.0562857498634958,0.0972693664742369,0.0133932104310681,-0.00545339289627245,-0.00280402322887329,0.511423550087873,-0.156414762741652,0.218725131810193,142.25,,,1.8,Buy,2.3658773787009,Technology,
SWEDA,SE0000242455,,,SE0000242455,0.0218,0.20107001,0.26328,1.32648,4.002,0.124338114368109,-0.277949844491609,-0.236916995021895,-0.516277637386036,0.065,36203450.4,3416879616,20.416107,43.45714,1.4189095,-0.0120169179774448,-0.0110533233534437,-0.016488855484765,0.00462349108916098,-0.0180912769878293,0.150558842866535,-0.0138067061143985,0.0628971071663378,30.42,,,2.8,Hold,0.469798679802675,Real Estate,
