Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
STE,SG1F60858221,,,SG1F60858221,-0.16046,-2.5013,-1.69194,1.06835,,6.66728382455995,0.0307882004644205,0.00938133239936958,0.826618904088794,,11862799.9,753279296,,-2.894147,1.5800924,0.311512466170663,0.334098731240892,0.302690571817556,0.305618033489186,0.459798987979031,0.204819277108434,-0.449225473321859,-0.106903614457831,5.81,,,2.9,Hold,,Financial Services,
SGX,SG1J26887955,,,SG1J26887955,,,,,,-0.760346915180485,-0.186335960896068,-0.195604903747172,-0.408368938417886,0.0031,121251163.8,,38.688965,,,0.027701720335289,0.0665909090909091,0.00816328182959275,-0.000957923908095155,-0.00991564368668428,,,,93.86,,,,,,,
DBS,SG1L01001701,,,SG1L01001701,0.02437,0.77274,0.41769,0.21396,-0.402,1.02338317323233,0.0389061934926913,-0.1528124636878,-0.350038522091582,0.0344,48512322.5,7164797952,17.77027,37.258457,1.5979682,-0.00724752125327112,0.00704547523391532,0.00735411952843396,0.00843563002302626,-0.0352164559375328,0.384030418250951,-0.0874524714828897,0.12726463878327,65.75,,,,,0.476945945453404,Real Estate,
UOB,SG1M31001969,,,SG1M31001969,-0.055170003,-0.26635998,-0.18099001,0.52818,,0.611153443646618,-0.26237087093509,-0.343141068392035,-0.151661645319504,,89320603.2,2233496064,,-89.80645,-8.121354,-0.0588235269842439,0.00360491094833938,-0.0299651825811092,-0.0682730662002557,-0.0676490478587361,2.08908045977012,-0.0660919540229885,1.11925287356322,13.92,,,,,,Industrials,
CICT,SG1M51904654,,,SG1M51904654,0.0124699995,0.14906,0.16956,0.30835,0.404,-0.293451461182354,-0.246553654278934,-0.377812895205649,-0.504153026898654,,636454358.4,21905031168,33.92,20.493238,1.9757688,0.0137477862556431,-0.00644403613302763,-0.0207852021459214,-0.0213502553568926,-0.0629834451626214,0.768867924528302,-0.292452830188679,0.199346108490566,16.96,,,2.7,Hold,1.65518011355746,Financial Services,
CLAR,SG1M77906915,,,SG1M77906915,0.05815,-2.3009598,0.27954,0.35987,,0.990027724644845,0.0242279807983704,-0.0313494563282298,0.0195688225538972,,4221509286.2,83502620672,,23.448614,17.760712,0.0417408212305987,0.109599951867958,0.00418537758271737,-0.0587170434342123,0.110791593336866,0.503904781342987,-0.119141485213393,0.234682944645562,930.91,,,1.5,Strong Buy,,Technology,
SCI,SG1R50925390,,,SG1R50925390,0.01708,-0.08769,0.05105,0.94199,-0.906,1.01997840419704,0.00957544910169142,-0.136812550444685,-0.1906799858244,,550231778,69698396160,,397.14285,2.123272,-0.0155807285653084,-0.00820551840924812,-0.00855923351252249,-0.00394123425343939,0.0530303182461814,0.12410071942446,-0.064748201438849,0.0701438848920863,27.8,,,2.7,Hold,,Communication Services,
OCBC,SG1S04926220,,,SG1S04926220,0.026199998,0.05578,0.074829996,,7.5,0.972609868843999,-0.0624377555324374,-0.0348478568467992,-0.102633665036262,0.0175,37134406.6,2815455232,111.977776,26.90164,4.1303277,0.0252288593209544,0.0439196089109494,-0.0361514694611149,0.0136793588423088,-0.142061619751585,0.686842627505457,0.289938479857115,0.538003572137329,50.39,,,,,4.1624888296773,Technology,
WIL,SG1T56930848,,,SG1T56930848,0.087390006,0.05549,0.13561,1.33328,3.48,3.1313179036993,0.190506601930937,0.227784094550616,0.137475713641343,0.0095,1380204178.2,119319642112,14.641282,9.959271,6.3030705,0.00694380653203182,0.0341982372391857,0.0731442625210096,0.0637141933783334,0.423737312670927,0.0873402527713056,-0.444562121960978,-0.128794134952576,424.89,,,2.2,Buy,1.47011583478349,Energy,
ST,SG1T75931496,,,SG1T75931496,0.12785,0.10848,0.13578,0.70281,0.705,0.515926940509494,-0.221574853411224,-0.301407807551724,-0.114028300804574,0.0078,465787790.6,72692203520,27.770834,25.341156,10.742866,-0.01250651813218,0.00154691727066891,-0.017898957245567,0.00594839837583689,-0.107199994036423,0.367989056087551,-0.2233352455761,0.191229116102555,226.61,,,1.8,Buy,1.09587873576091,Consumer Cyclical,
KEP,SG1U68934629,,,SG1U68934629,0.13573,0.24500999,0.30989,0.00486,0.858,0.679874927915938,-0.170596869870156,-0.146254066751788,-0.448103438907975,0.0068,928109736,59846348800,71.425224,34.9233,15.36288,0.0412285143018113,0.0659454524784187,-0.0134957483147917,0.0116718587746625,-0.103952644894281,0.724421087206438,0.293315815404828,0.510757102972574,1217.8,,,1.3,Strong Buy,2.04520260112876,Technology,
YZJSGD,SG1U76934819,,,SG1U76934819,0.08638,0.08163,0.119569995,2.34238,4.438,1.47117566355337,-0.0895785710369367,-0.121931597190854,-0.19615854427916,0.0256,710222139,123099168768,19.843006,16.284359,13.991396,-0.0087532320251196,-0.000150005566228459,0.0175318062454291,0.0170079274942501,-0.0792157722202507,0.417375979601785,-0.056957516217331,0.200311597735198,533.38,,,2.4,Buy,1.21853159832696,Industrials,
SIA,SG1V61937297,,,SG1V61937297,0.07061,0.13475999,0.18691999,0.42316,0.141,0.95642811378596,0.121606681103405,0.0796603929215342,-0.0997016526556242,0.0111,266095167.6,25241767936,22.884007,16.1177,3.2764587,-0.00961744578489678,-0.00820236656977554,-0.00862207366011819,-0.0208964486846091,-0.108724346927944,0.536655639739622,-0.10361754348522,0.31107784654786,187.42,,,1.6,Buy,1.41980598968836,Industrials,
FLEX,SG9999000020,,,SG9999000020,0.01898,0.07576,-0.12527001,0.95672,,0.989233551019001,-0.129637042236605,-0.226386274659916,-0.358606128967374,0.0596,52944654,5042834432,78.96,24.37037,1.8332095,-0.0203473759946493,-0.0261470372863596,-0.0380117173666321,-0.0505050923178717,-0.0416863668549045,0.266464032421479,-0.0374873353596757,0.154291286727457,19.74,,,2.3,Buy,3.24000004924012,Real Estate,
CLI,SGXE62145532,,,SGXE62145532,0.04282,0.29334998,0.41088,1.343,0.083,2.11146939742652,0.115784746985942,0.188882916628912,-0.0800476265599272,0.0527,114805344.5,8952417280,27.27586,25.158712,3.4580746,-0.0159243256675223,-0.00951666171478912,0.000252885286826758,0.0169709596479766,-0.0549581495335861,0.213653603034134,0.0113780025284451,0.11409608091024,39.55,,,2.3,Buy,1.08415168471264,Real Estate,
