Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Notional Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
AUGO,VGG069731120,,,VGG069731120,0.09882,0.17834999,0.27056998,573.3433,0.298,1.87219784166094,-0.0669231562830674,-0.0947124980916138,-0.128150214741326,,179538862.8,12343085056,14.481426,8.837905,1838.8679,-0.00703007147378375,-0.048056235450365,-0.00622004381281158,0.04123933321373,0.0786939861201593,0.744305356043505,-0.220192899651139,0.0792889390519188,97.46,,,2.4,Buy,1.63855868557085,Technology,
ASML,USN070592100,,,USN070592100,0.04385,0.38275,0.4109,0.80432,0.452,0.262305991391175,-0.150559874173261,-0.278399153236997,-0.554040741150035,0.0543,28938396,3329687552,20,20.88313,2.1191475,-0.0206558325522655,-0.0216450647287492,-0.0358361732901103,-0.0340504681332843,-0.100557144197485,0.327433628318584,0.0766961651917405,0.20759587020649,67.8,,,1.8,Buy,0.957710841238837,Real Estate,
ZM,US98980L1017,,,US98980L1017,0.07383,0.22208999,0.38424,1.38068,0.227,1.27779307948698,-0.1327955720698,-0.218787147471531,-0.320169952774051,0.0117,496405740,87251566592,27.869822,20.735106,6.1957374,-0.0167014927013455,-0.0320591831546229,-0.0377936820041912,-0.0262559222644018,-0.0684627372492307,0.273885350318471,-0.320594479830149,0.128256475583864,47.1,,,1.9,Buy,1.34408871601621,Industrials,
ZM,US98980L1017,,,US98980L1017,0.12958999,0.54771,0.34033,0.18859,2.94,0.655922066471569,-0.31315240023856,-0.171030099942714,-0.334625356875972,0.0025,9474281700,4274851676160,17.424726,23.527227,6.8677306,0.00636286388498904,0.0132181253071286,0.0326144756277696,0.0571299151737758,-0.02232098375942,0.473364993992104,-0.0272930136751159,0.225632431195285,349.54,,,1.4,Strong Buy,0.74061962338358,Communication Services,
ZS,US98980G1022,,,US98980G1022,0.12815,0.20522,0.28504,0.81368,0.33,0.536748415435298,0.0715544983257834,0.0754583232963204,0.161667995724393,0.0025,1053036950,91592720384,48.556026,35.564358,16.027216,0.0173193018617196,0.0222548710188479,0.00026131000169389,-0.0126816059629843,-0.206885881463486,0.632777463316933,0.117081029302913,0.470548787390604,229.67,,,1.4,Strong Buy,1.36530022557978,Industrials,
ZS,US98980G1022,,,US98980G1022,0.060489997,0.09573,0.14016,0.86938,-0.015,1.43736097335383,-0.119316159214658,-0.105303256453853,-0.315136528934646,0.0281,200490264,23234795520,15.125904,12.064909,2.7519746,-0.00881931697635477,-0.00352749920680195,-0.00928909952606639,-0.0246360915629835,-0.102338165565495,0.320321469575201,0.100267891312667,0.208244450822809,104.52,,,2.1,Buy,1.25371057502381,Basic Materials,
ZTS,US98978V1035,,,US98978V1035,0.04125,0.27934998,0.16679001,0.28525,0.5,-0.0500814130401858,-0.337989694304325,-0.29516979408668,-0.175934209954092,0.001,4687777895,219508604928,80.08197,36.127113,11.74053,0.0144957865625178,0.101714043131098,0.034519244751358,0.039317500145277,0.160112129708553,0.637666325486182,-0.140225179119754,0.18338219037871,244.25,,,1.4,Strong Buy,2.21667228156316,Technology,
ZTS,US98978V1035,,,US98978V1035,0.04513,0.12319,0.11816,0.5839,2.06,0.770148260458268,-0.395821581978903,-0.436630400331184,-0.0771370933217571,,510312368.8,46722670592,40.643604,14.663316,7.223443,-0.0271477258753321,0.0167829331399022,0.0439957091331291,0.0420316948130698,0.138804004607394,0.418476298550575,-0.525455201939444,0.0764008871924485,193.87,,,2.3,Buy,2.77178804575991,Technology,
ZTS,US98978V1035,,,US98978V1035,0.02565,-0.12037,0.11047,2.70205,-0.371,1.35552749333264,-0.018205463759874,0.0116697058114619,-0.266835852590223,0.0026,94758409.3,4983698944,,7.3566103,1.1959757,-0.0299081677466012,-0.0383312404471,-0.0147537459391766,0.02159728280277,0.0332195497546311,0.893855978859282,-0.00902884827130581,0.392541070248844,45.41,,,1.8,Buy,,Basic Materials,
ZBH,US98956P1021,,,US98956P1021,,,,,,-0.760346915180485,-0.186335960896068,-0.195604903747172,-0.408368938417886,0.0031,121251163.8,,38.688965,,,0.027701720335289,0.0665909090909091,0.00816328182959275,-0.000957923908095155,-0.00991564368668428,,,,93.86,,,,,,,
ZBH,US98956P1021,,,US98956P1021,0.03524,0.47917998,0.45097,0.90051,0.393,2.0682883910387,0.028310455184902,-0.132016060750617,-0.443562636489974,0.0321,65750874,8467772416,22.637362,33.177467,2.951853,-0.00929786883911577,0.00700669831512454,0.00684260222509083,0.0136132321252937,-0.0250828112471647,0.391585760517799,0.0679611650485437,0.169093851132686,61.8,,,,,0.682311341007437,Real Estate,
ZBH,US98956P1021,,,US98956P1021,0.09401,0.28558,0.34873,1.15519,0.169,0.701665698801738,-0.0554100744095324,-0.150404557265641,-0.240058242374061,0.0241,1411413137.5,379699953664,26.422157,25.025663,10.504702,0.00215764758884788,-0.00518542542238818,0.00551135577822202,0.014010257480198,0.0221831274050957,0.178470254957507,-0.15014164305949,0.0730385269121813,88.25,,,1.8,Buy,1.05580247764065,Consumer Defensive,
ZBRA,US9892071054,,,US9892071054,0.02789,0.13948,0.31436002,1.26633,-0.693,0.837589652375825,-0.0682872057082502,-0.170648070648925,-0.151313016213479,0.0418,15984988.5,2755119616,37.75472,42.126316,1.9669714,-0.00398208820210406,-0.0084241973540594,-0.0171954789318188,-0.0294628502515522,-0.0614537076996738,0.299350324837581,0.0994502748625686,0.207729635182409,20.01,,,2.3,Buy,0.896226482277729,Real Estate,
9987,US98850P1093,,,US98850P1093,0.07383,0.22208999,0.38424,1.38068,0.227,1.27779307948698,-0.1327955720698,-0.218787147471531,-0.320169952774051,0.0117,496405740,87251566592,27.869822,20.735106,6.1957374,-0.0167014927013455,-0.0320591831546229,-0.0377936820041912,-0.0262559222644018,-0.0684627372492307,0.273885350318471,-0.320594479830149,0.128256475583864,47.1,,,1.9,Buy,1.34408871601621,Industrials,
YUM,US9884981013,,,US9884981013,0.12989001,0.19760999,0.22503,0.03793,-0.104,1.44076204303477,0.298785013134246,0.179502143796068,-0.180440022815149,0.0156,187524898.5,10856937472,22.377169,19.71775,5.287871,-0.00870627140013087,0.00506258608880221,-0.0389150652135208,-0.0229050720936402,-0.00972949047307677,0.349693251533742,0.0978366160800775,0.228513335485954,154.85,,,1.8,Buy,1.13487436446856,Technology,
YUM,US9884981013,,,US9884981013,0.01395,0.05291,0.09309,0.32715,-0.659,0.223247750124273,-0.165835405512607,-0.248913598327383,-0.242509747821302,,163563107.4,9982897152,242.31506,66.75271,4.7260146,-0.00729559696725264,0.0123619545886619,0.0708924073341218,0.0717358178086751,0.109445542469849,0.271976934818249,-0.180281530894906,0.0711526937644865,176.89,,,1.5,Strong Buy,3.63004078785715,Healthcare,
YUM,US9884981013,,,US9884981013,0.03402,0.35761002,0.59301996,1.01882,2.565,2.0189627408518,0.316570069846931,0.146335362108437,-0.221572746154518,0.0565,112111257.4,15095146496,22.76976,21.04521,1.7405238,-0.00390854864983673,-0.030152220492183,-0.0413773529070563,-0.0527519243635208,-0.0778009546671667,0.328101418653788,0.131904618170842,0.212008602475098,66.26,,,2.4,Buy,1.08194501266559,Real Estate,
XYL,US98419M1009,,,US98419M1009,0.53572,0.63663,0.66236997,0.16971,1.278,0.486602859156943,-0.282063859735219,-0.231424526250383,-0.109426456753377,0.0046,25269140586.3,5367153557504,27.714462,14.173006,23.438786,0.0133582735070158,0.0476033459877411,0.0182326576401981,-0.00514724813521706,0.0161135426496448,1.31700184460341,-0.190174112565798,0.477877806271652,222.27,,,1.3,Strong Buy,1.95543993984057,Technology,
XYL,US98419M1009,,,US98419M1009,0.0313,0.26908,0.25722998,0.53365,0.468,2.30414384161678,0.0473429273839696,-0.0598154226107302,0.0627226303415302,0.0209,281510456.9,58321264640,12.576217,15.425436,1.9275252,-0.00231559586324541,-0.0103785880058263,0.00910826883953518,0.0138574356443537,-0.0769313712693999,0.186280409180779,-0.148972749935528,0.0189403421301471,116.33,,,,,0.815290861146486,Financial Services,
XYL,US98419M1009,,,US98419M1009,0.0018000001,0.044770002,0.00666,0.29259,14.985,0.163251651084803,-0.293097091218685,-0.375699585343082,0.00597704375622045,,795228902.4,82558525440,479,77.3238,18.89857,-0.0257627118644068,-0.00151997336156218,0.0393743186193158,0.0206418770335484,0.00274764155573499,0.435281837160752,-0.312804453723034,0.240773747390397,229.92,,,1.5,Strong Buy,6.19472917782106,Technology,
XHR,US9840171030,,,US9840171030,-0.05047,-0.95132005,-0.11995,0.88353,,0.109298446906989,0.00685711023821494,0.0267796620267079,-0.103978237054664,,266612525.2,5974384128,,-13136,13.188755,-0.0335491335371954,0.0249687597257515,-0.00182375450140044,-0.046457569410823,-0.277288710552532,2.04506699147381,0.339829476248477,1.07064555420219,16.42,,,1.8,Buy,,Industrials,
