Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
1311,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,topix,,,,,,,,-0.589527504320079,-0.685506559887199,-0.21575678771769,-0.206255187650008,0.0231,51270616.0,,19.309376,,,0.0118990956687292,0.0118990956687292,0.000941619585687382,-0.0211786372007367,0.0356619136318864,,,,2126,,,,,,,
133A,Global X Ultra Short-Term T-Bill ETF,globalXUltraShort-termT-bi,,,,,,,,-0.910871732695539,2.64597582058428,1.01231539804721,0.0891447104001737,0.0304,215602476.0,,,,,-0.00185356811862836,0,0,-0.000927643784786642,-0.0155450173508441,,,,1077,,,,,,,
1486,Listed Index Fund US Bond (No Currency Hedge),bond,,,,,,,,-0.812754602583131,-0.712736435839367,-0.131926376042838,0.195535316072393,0.0543,31475375.0,,,,,0.00359104351499789,0.0055026455026455,0.00232067510548523,0.00380308472427636,-0.0175765095119934,,,,23755,,,,,,,
1541,Japan Physical Platinum ETF,platinum,,,,,,,,-0.00819971914660457,1.23062682968831,0.764810237800113,-0.236222261125829,0,344785188.0,,,,,-0.00905444126074499,-0.00848623853211009,0.0846819721490403,0.0582619339045288,0.140633245382586,,,,8646,,,,,,,
1546,NEXT FUNDS DJIA (Unhedged) Exchange Traded Fund,dow,-1.0,,,,,,,-0.730055003530968,-0.367149611102638,-0.469629667889055,-0.305920507811045,0.0094,101356500.0,,1.1134038,,,0.00218023255813954,0.0145922746781116,0.00351728320194057,-0.00217076700434153,2.44559703302812E-05,,,,82740,,,,,,,
1563,TSE Growth Core ETF,growth,,,,,,,,-0.500724559687652,-0.668091633409553,-0.1858844828569,-0.129763439837896,0,60049264.0,,28.321463,,,0.01902063941724,0.01902063941724,0.040495867768595,0.0357877416700946,0.134745380802163,,,,2518,,,,,,,
1618,NEXT FUNDS TOPIX-17 ENERGY RESOURCES ETF,energy,-1.0,,,,,,,-0.499205109418417,-0.243688535058964,-0.217069696084161,-0.0480375007208508,0.022,42236660.0,,11.917988,,,-0.0127587184576127,-0.018325345362278,0.0133876600698487,0.0169392523364486,0.0944516304884989,,,,34820,,,,,,,Above average
1621,NEXT FUNDS TOPIX-17 PHARMACEUTICAL ETF,pharma,-1.0,,,,,,,-0.247144674298721,-0.254420796636485,0.0315518258891943,0.139843778051874,0.0239,37752000.0,,17.167673,,,0.0162866449511401,0.0116731517509728,0.0226155358898722,0.0501514641534837,0.0771092901417974,,,,31200,,,,,,,Very good
1622,NEXT FUNDS TOPIX-17 AUTOMOBILES TRANSPORTATION EQUIPMENT ETF,auto,56.0,,,,,,,-0.815636806044695,-0.404565481715847,-0.459187408491947,0.539527381169526,0.0164,31381920.0,,11.365414,,,-0.00282167042889391,-0.00925147182506308,0.0424778761061947,0.00913763563677898,0.0895506866746324,,,,35340,,,,,,,Decent
1623,NEXT FUNDS TOPIX-17 STEEL & NONFERROUS ETF,steel,,,,,,,,-0.842433931464518,-0.807112992643114,-0.806206305380165,-0.563613905541351,0.0094,152070630.0,,23.556133,,,0.00513052663346914,0.0258740181734175,0.0341561869274957,-0.0507339318797207,0.0711525837890128,,,,66610,,,,,,,
1625,NEXT FUNDS TOPIX-17 ELECTRIC & PRECISION INSTRUMENTS ETF,electronics,,,,,,,,-0.827667793842063,-0.708829968377524,-0.713146729081834,-0.180584848288801,0.0046,97421040.0,,30.606438,,,0.00124069478908189,0.0084348641049672,0.0133417045989641,-0.0628538249383075,-0.0213993110687529,,,,64560,,,,,,,
1627,NEXT FUNDS TOPIX-17 ELECTRIC POWER & GAS ETF,utilities,-1.0,,,,,,,0.759505948930455,0.015043895364388,0.972626383939412,0.279830546071836,0.0146,39592980.0,,8.663449,,,0.0104733975701718,0.00416319733555371,0.0555798687089716,0.0477845351867941,0.0910951115838913,,,,12060,,,,,,,Average
1629,NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF,wholesale,7630.0,,,,,,,-0.896962163603061,-0.813695224647574,-0.812374422207792,0.0702412045091056,0.0206,206646335.6,,17.117874,,,-0.00296953940092421,0.00863692193940086,0.0374662276253046,0.0166540029889207,0.0914434111376404,,,,268.6,,,,,,,Good
1632,NEXT FUNDS TOPIX-17 FINANCIALS (EX BANKS) ETF,financials,46.0,,,,,,,-0.601900769495808,-0.512829997663733,-0.561515480717002,0.58936771843238,0.0256,70373100.0,,16.455603,,,0.0113475177304965,0.021978021978022,0.0457100953312149,0.015428435793971,0.0321568863991073,,,,42780,,,,,,,Expensive
1671,Simplex WTI ETF,oil,,,,,,,,-0.481944905055914,-0.631510931523574,-0.634712458593918,-0.230315328684866,0,699550278.0,,,,,-0.0414720717354754,-0.0597397837639729,-0.0421877916744447,0.000194931773879142,0.0994214698950075,,,,5131,,,,,,,
1678,NEXT FUNDS Nifty 50 Linked Exchange Traded Fund,nifty50,,,,,,,,0.66471081668493,-0.17019326391355,-0.250127903139345,-0.0187746586376649,0.0392,116509580.0,,,,,0.00806713827929496,0.00774193548387089,0.0165962004868909,0.00482472220316298,0.00467935905671231,,,,312.4,,,,,,,
1689,WisdomTree Natural Gas,natgas,,,,,,,,0.41278537406861,-0.31159534589625,-0.136796876835988,0.248620954863646,,33202701.0,,,,,0.020891364902507,0.0166435506241331,0.0251748251748252,-0.00136239782016349,-0.0928217821782178,,,,733,,,,,,,
1693,WisdomTree Copper,copper,,,,,,,,0.179343012284823,-0.107075443581236,-0.231546492459857,-0.359270843206015,,66952964.0,,,,,0.0273957409050577,0.0456033412349024,0.0241017136539525,0.0292222222222222,0.0622706422018349,,,,9263,,,,,,,
1699,NEXT FUNDS NOMURA Crude Oil Long Index Linked Exchange,oil,,,,,,,,-0.682110086241019,-0.835713237319522,-0.720369957887291,-0.225279564992072,0,82748887.2,,,,,-0.0377181678721808,-0.0562519283405109,-0.0501538461538462,-0.00819277108433739,0.0525060103920005,,,,617.4,,,,,,,
2012,iShares 0-3 Month US Treasury Bond ETF,ust03,,,,,,,,-0.849690475611851,-0.533179451669408,-0.145707763296224,0.423160245285444,0,59638519.2,,,,,-0.00247522240755744,0.000827789285728318,-0.000826446280991689,0.00165702615422254,-0.015071283095723,,,,241.8,,,,,,,
2080,PBR Improvement over 1x ETF,pbr,,,,,,,,-0.76148181166715,-0.771076011846002,-0.370064580069695,-0.28118460081759,0.0208,99561240.0,,15.28919,,,0.00628322861285645,0.0101892285298399,0.0286561264822134,-0.00382775119617225,0.0493951612903226,,,,2082,,,,,,,
2244,Global X US Tech Top 20 ETF,usTech,,,,,,,,-0.865182876880253,-0.804774495594612,-0.739473386852391,-0.438032586046951,0,277352565.0,,29.448477,,,-0.00534608891389983,-0.00282087447108604,-0.00394477317554241,-0.033624931656643,-0.0218594355285003,,,,3535,,,,,,,
233A,iFreeETF India Nifty50,nifty50,,,,,,,,0.81225399134829,0.799995856696959,0.457099252763167,1.20446625651227,0.0052,43181215.0,,,,,0.00582010582010582,0.00688559322033898,0.015491452991453,0.00528820729772607,0.00316622691292876,,,,1901,,,,,,,
2510,NEXT FUNDS Japan Bond NOMURA-BPI Exchange Traded Fund,jgb,,,,,,,,-0.971161638941851,-0.110086336774574,-0.493645149389994,-0.40632781422464,0.0092,49774272.4,,,,,0.000248833880715695,0.000248833880715695,0.00575505101624336,0.00474943698289655,0.00299438552713659,,,,803.9,,,,,,,
2511,NEXT FUNDS International Bond FTSE World Government Bd Idx ex Jpn UnHdg ETF,govbond,,,,,,,,-0.416953153970367,-0.561222086544837,-0.649549506555524,-0.312591070788968,0.0285,51694250.0,,,,,0.00295608108108108,-0.000420875420875421,0.00380388841927303,0.00295608108108108,-0.00835073068893528,,,,1187.5,,,,,,,
2513,NEXT FUNDS International Equity MSCI-KOKUSAI (Unhedged) ETF,kokusai,,,,,,,,0.136822720546875,-0.895505196770689,-0.144553693838892,-0.357412711685996,0.0095,139736850.0,,24.433865,,,-0.00329489291598023,0.00248550124275062,0,-0.0127821593690509,0.00303951367781155,,,,3630,,,,,,,
2515,NEXT FUNDS International REIT S&P Developed REIT Index (ex Japan UnHdg) ETF,reitGlobal,,,,,,,,-0.935195059341287,-0.760916805117052,-0.805786527260378,-0.0160979509069536,0.028,34623305.0,,23.650528,,,-0.000582072176949942,0.00762910798122066,0.00940623162845385,0.00233508464681845,-0.00290360046457607,,,,1717,,,,,,,
2516,TSE Growth 250 ETF,growth250,,,,,,,,-0.563747624406394,-0.607938387644077,0.00242979885273416,-0.264676249212676,0,260641180.0,,23.602528,,,0.000322704438480983,0.0163934426229508,0.0546010788448773,0.0219218518631416,0.0981226121318351,,,,620,,,,,,,
2559,MAXIS World Equity (MSCI ACWI) ETF,world,,,,,,,,-0.643912442413875,-0.352309555264422,-0.423433119568306,-0.347767381468589,0.0116,759672830.0,,3.0379121,,,0.00099767209843698,0.00433767100433767,0.00433767100433767,-0.0121430915654742,0.00905129064699966,,,,3010,,,,,,,
2561,iShares Core Japan Government Bond ETF,jgb,,,,,,,,-0.274075578834489,-0.721124193654961,-0.169040938979389,-0.425320359591049,0.0125,31231480.0,,,,,0.00201612903225806,0.00100704934541793,-0.000502765208647562,0.00353356890459364,-0.00250878073256397,,,,1988,,,,,,,
2638,Global X Japan Robotics & AI ETF,robotics,,,,,,,,-0.758025893441881,-0.806217524629246,-0.77097521231506,-0.341034662969512,0.0015,82412220.0,,26.718403,,,-0.00112233445566779,0.00413689356901091,0.0152091254752852,-0.0336590662323561,-0.00964391691394659,,,,2670,,,,,,,
2640,Global X Japan Games & Animation ETF,games,,,,,,,,-0.54859880510475,0.0363012707705317,-0.193197765565269,0.847989124364241,0.0148,140776184.0,,22.820887,,,0.00511627906976744,0.049283806749211,0.0487745692793011,0.0389423076923077,0.20557880055788,,,,4322,,,,,,,
2641,Global X Japan Global Leaders ETF,leaders,-1.0,,,,,,,-0.980341880086246,-0.929433511383892,-0.913582734575123,-0.860124940174874,0.0158,62867004.0,,21.552416,,,0.00397350993377483,0.00932090545938748,0.0240936725962621,-0.0147313691507799,0.0661040787623066,,,,4548,,,,,,,
2646,Global X Japan Metal Business ETF,metals,,,,,,,,-0.638137074793489,-0.378012731846171,-0.519748007112866,-0.292521606444887,0.0144,36344820.0,,15.257024,,,0.0125944584382872,0.0615262740955902,0.0640550555849656,0.0278701099463053,0.153184165232358,,,,4020,,,,,,,
282A,Global X Japan Semiconductor Top 10 ETF,semis,,,,,,,,-0.675591055551956,-0.675483534859569,-0.647624503204531,-0.0739470106929147,0.0044,644323365.0,,42.82109,,,-0.00384615384615385,-0.0164556962025316,-0.0029940119760479,-0.103461538461538,-0.158179848320693,,,,2331,,,,,,,
2837,Global X Japan Mid & Small Cap Leaders ETF,midSmall,-1.0,,,,,,,-0.910581035032001,-0.963468031367499,-0.933857731026476,-0.570125073296285,0.0077,35809506.0,,16.685286,,,-0.0029045643153527,0.00649214659685864,0.0236421725239617,0.00396908293294339,-0.0559811431938715,,,,4806,,,,,,,
2854,Global X Japan Tech Top 20 ETF,tech20,,,,,,,,-0.586479053993366,-0.354402112478762,-0.0402323122657587,1.12320329090007,0.0068,1165591111.0,,36.291004,,,0.0014290818149339,0.022992700729927,0.0274926686217009,-0.0423641954219337,0.0435591958302308,,,,2803,,,,,,,
316A,iFreeETF FANG+,fang,-1.0,,,,,,,-0.799531934459221,-0.610535826949627,-0.602017427326941,-0.143330421010363,0,956159883.0,,,,,0.000373134328358209,0.000373134328358209,0.00638138138138138,-0.0240262104113578,0.0295698924731183,,,,2681,,,,,,,
318A,SIMPLEX VIX Short-Term Futures ETF,vix,,,,,,,,-0.45631615078629,-0.0276419292526659,0.29835337113909,0.137776612987629,0,478685785.6,,,,,-0.0151233589514196,-0.0216130575340011,-0.055470737913486,-0.0343392146359894,-0.15827664399093,,,,371.2,,,,,,,
356A,Global X S&P 500 Cash Flow Top 100 ETF,sp500,,,,,,,,-0.984371057407293,-0.272244937425754,16.2237126091284,6.58779925817111,0.0039,102076034.0,,28.544487,,,-0.00189633375474083,0.011531069827034,0.00830140485312899,0,0.0128287363694676,,,,1579,,,,,,,
392A,iShares Nasdaq Top 30 ETF,nasdaq30,,,,,,,,-0.808313271210932,-0.610405830858755,-0.697764216813319,-0.675125945196566,0.0004,30377642.4,,29.779198,,,-0.00147433767403634,-0.00404411764705891,-0.0113138686131388,-0.0403825302370513,-0.0403825302370513,,,,270.9,,,,,,,
395A,Sector Restructuring Select ETF Regional Banks,regionalBanks,,,,,,,,-0.653908366300937,-0.6208817249423,-0.238367668571752,0.455413697875693,0.0078,88448469.5,,17.799477,,,0.0126999059266228,0.0194128787878788,0.0013953488372093,-0.0204731574158326,0.0487092060399416,,,,1076.5,,,,,,,
