No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8306,JP3902900004,三菱ＵＦＪフィナンシャル・グループ,"MITSUBISHI UFJ FINANCIAL GROUP,INC.",427500,1526602500.0000002,0.09198715302848269
2,7203,JP3633400001,トヨタ自動車,TOYOTA MOTOR CORPORATION,338000,1036646000.0000001,0.062464272289849174
3,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",147700,1006427800.0000001,0.06064344061451437
4,6501,JP3788600009,日立製作所,"HITACHI,LTD.",175000,921725000.0000001,0.055539578000938825
5,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,230200,871767400,0.052529326546394674
6,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,14500,804750000,0.04849111762863708
7,8411,JP3885780001,みずほフィナンシャルグループ,"MIZUHO FINANCIAL GROUP,INC.",94300,770148100,0.046406141172502455
8,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,132300,695898000.0000001,0.04193211777015631
9,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,20700,672750000.0000001,0.0405373089588886
10,8058,JP3898400001,三菱商事,MITSUBISHI CORPORATION,133700,638551200.0000001,0.038476621747259854
11,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",49300,618715000,0.03728136917502602
12,8766,JP3910660004,東京海上ホールディングス,"TOKIO MARINE HOLDINGS,INC.",69700,565545800.0000001,0.034077599145301854
13,6861,JP3236200006,キーエンス,KEYENCE CORPORATION,6900,559935000,0.033739514071936504
14,8031,JP3893600001,三井物産,"MITSUI & CO.,LTD.",103200,509498400.00000006,0.030700399932901384
15,8001,JP3143600009,伊藤忠商事,ITOCHU CORPORATION,244700,492825800.00000006,0.029695773641785866
16,7011,JP3900000005,三菱重工業,"MITSUBISHI HEAVY INDUSTRIES,LTD.",130200,490072800,0.029529888526120575
17,6503,JP3902400005,三菱電機,MITSUBISHI ELECTRIC CORPORATION,76100,449903200,0.02710942403566354
18,9983,JP3802300008,ファーストリテイリング,"FAST RETAILING CO.,LTD.",4900,383131000.00000006,0.02308598992007127
19,4063,JP3371200001,信越化学工業,"SHIN-ETSU CHEMICAL CO.,LTD.",61300,355540000,0.021423463139714976
20,4502,JP3463000004,武田薬品工業,TAKEDA PHARMACEUTICAL COMPANY LIMITED,61400,338498200,0.020396590286774676
21,7974,JP3756600007,任天堂,"NINTENDO CO.,LTD.",43100,330964900,0.019942662810624553
22,7741,JP3837800006,ＨＯＹＡ,HOYA CORPORATION,12900,318307500,0.019179976917772474
23,2914,JP3726800000,日本たばこ産業,JAPAN TOBACCO INC.,41200,293962000,0.017713011395277308
24,9432,JP3735400008,ＮＴＴ,"NTT,INC.",1894700,288752280,0.017399093849042747
25,9433,JP3496400007,ＫＤＤＩ,KDDI CORPORATION,92800,271068800.00000006,0.016333555844987264
26,9434,JP3732000009,ソフトバンク,SOFTBANK CORP.,1111900,248398460,0.014967528975001308
27,6367,JP3481800005,ダイキン工業,"DAIKIN INDUSTRIES,LTD.",9000,209655000.00000003,0.012632998156485751
28,7267,JP3854600008,本田技研工業,"HONDA MOTOR CO.,LTD.",128300,208551650.00000003,0.012566514559548122
29,3382,JP3422950000,セブン＆アイ・ホールディングス,"SEVEN & I HOLDINGS CO.,LTD.",80400,169563600.00000003,0.010217245695104278
30,4568,JP3475350009,第一三共,"DAIICHI SANKYO COMPANY,LIMITED",62300,159955250.00000003,0.009638283744104446
31,8729,JP3435350008,ソニーフィナンシャルグループ,SONY FINANCIAL GROUP INC.,224700,35120610,0.0021162319114004196
32,-,-,TOPIX Core30 先物 2609,TOPIX Core30 Futures 2609,168,350532000,0.021121700459274823
,,,,,,,
,,,合計（Total）,,,16593763250,0.9998758939515442
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,16595822892,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
1311,NEXT FUNDS TOPIX Core 30連動型上場投信　（NEXT FUNDS TOPIX Core 30 Exchange Traded Fund）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3040140000,,
