No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,7203,JP3633400001,トヨタ自動車,TOYOTA MOTOR CORPORATION,57000,174819000.00000003,0.04336344288890134
2,8306,JP3902900004,三菱ＵＦＪフィナンシャル・グループ,"MITSUBISHI UFJ FINANCIAL GROUP,INC.",46300,165337300.00000003,0.04101152944448343
3,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,22300,117298000,0.02909549376201871
4,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",15000,102210000.00000001,0.02535295075291934
5,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,1800,99900000.00000001,0.024779960671330026
6,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,2900,94250000,0.0233784914241527
7,9983,JP3802300008,ファーストリテイリング,"FAST RETAILING CO.,LTD.",1200,93828000.00000001,0.023273815314009547
8,6501,JP3788600009,日立製作所,"HITACHI,LTD.",17700,93225900,0.02312446582131477
9,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,23300,88237100,0.021887005683205348
10,8411,JP3885780001,みずほフィナンシャルグループ,"MIZUHO FINANCIAL GROUP,INC.",9500,77586500.00000001,0.01924514933559707
11,6861,JP3236200006,キーエンス,KEYENCE CORPORATION,900,73035000.00000001,0.018116160436742627
12,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",5800,72790000.00000001,0.01805538876142255
13,8058,JP3898400001,三菱商事,MITSUBISHI CORPORATION,14500,69252000,0.017177796160269737
14,8001,JP3143600009,伊藤忠商事,ITOCHU CORPORATION,30900,62232600,0.01543665045520133
15,8766,JP3910660004,東京海上ホールディングス,"TOKIO MARINE HOLDINGS,INC.",7600,61666400,0.015296205873298356
16,6981,JP3914400001,村田製作所,"MURATA MANUFACTURING CO.,LTD.",7700,57103200,0.014164314816887813
17,8031,JP3893600001,三井物産,"MITSUI & CO.,LTD.",11200,55294400,0.013715646219667576
18,7011,JP3900000005,三菱重工業,"MITSUBISHI HEAVY INDUSTRIES,LTD.",13200,49684800,0.012324198097726707
19,6503,JP3902400005,三菱電機,MITSUBISHI ELECTRIC CORPORATION,8300,49069600.00000001,0.012171599180759718
