No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,64051200,2081664000000,0.12139109843512624
2,9983,JP3802300008,ファーストリテイリング,"FAST RETAILING CO.,LTD.",21350400,1669387776000.0002,0.09734943576043613
3,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,26688000,1481184000000.0002,0.08637443542499368
4,9984,JP3436100006,ソフトバンクグループ,SOFTBANK GROUP CORP.,213504000,1123031040000,0.06548894130961683
5,6762,JP3538800008,ＴＤＫ,TDK CORPORATION,133440000,401387520000,0.02340669385210639
6,6098,JP3970300004,リクルートホールディングス,"RECRUIT HOLDINGS CO.,LTD.",26688000,334934400000.00006,0.01953151647898506
7,6954,JP3802400006,ファナック,FANUC CORPORATION,44480000,317364800000,0.018506954857577473
8,9433,JP3496400007,ＫＤＤＩ,KDDI CORPORATION,106752000,311822592000.00006,0.018183764027128402
9,4062,JP3148800000,イビデン,"IBIDEN CO.,LTD.",17792000,296236800000.00006,0.017274887084998736
10,285A,JP3236330001,キオクシアホールディングス,KIOXIA HOLDINGS CORPORATION,6227200,289564800000,0.016885813051552817
11,6971,JP3249600002,京セラ,KYOCERA CORPORATION,71168000,262681088000,0.015318104079454734
12,4063,JP3371200001,信越化学工業,"SHIN-ETSU CHEMICAL CO.,LTD.",44480000,257984000000.00003,0.01504419595990881
13,5803,JP3811000003,フジクラ,FUJIKURA LTD.,53376000,222684672000.00003,0.012985734940290943
14,6367,JP3481800005,ダイキン工業,"DAIKIN INDUSTRIES,LTD.",8896000,207232320000.00003,0.012084639478830197
15,4519,JP3519400000,中外製薬,"CHUGAI PHARMACEUTICAL CO.,LTD.",26688000,185001216000.00003,0.0107882447993884
16,9766,JP3300200007,コナミグループ,KONAMI GROUP CORPORATION,8896000,183613440000.00003,0.010707317400431649
17,8015,JP3635000007,豊田通商,TOYOTA TSUSHO CORPORATION,26688000,179396736000,0.010461422611293828
18,6758,JP3435000009,ソニーグループ,SONY GROUP CORPORATION,44480000,168445760000,0.009822822431064596
19,4543,JP3546800008,テルモ,TERUMO CORPORATION,71168000,165394432000,0.00964488590643533
20,6981,JP3914400001,村田製作所,"MURATA MANUFACTURING CO.,LTD.",21350400,158334566400,0.009233193702511756
21,6988,JP3684000007,日東電工,NITTO DENKO CORPORATION,44480000,147896000000.00003,0.008624474408051171
22,7203,JP3633400001,トヨタ自動車,TOYOTA MOTOR CORPORATION,44480000,136420160000.00003,0.007955267070524194
23,6920,JP3979200007,レーザーテック,LASERTEC CORPORATION,3558400,134898944000.00002,0.007866558190898524
24,8058,JP3898400001,三菱商事,MITSUBISHI CORPORATION,26688000,127461888000.00002,0.007432870334950808
25,7832,JP3778630008,バンダイナムコホールディングス,BANDAI NAMCO HOLDINGS INC.,26688000,123004992000.00002,0.007172968880608935
26,9735,JP3421800008,セコム,"SECOM CO.,LTD.",17792000,122444544000,0.007140286661799477
27,7741,JP3837800006,ＨＯＹＡ,HOYA CORPORATION,4448000,109754400000.00002,0.0064002678501853425
28,8766,JP3910660004,東京海上ホールディングス,"TOKIO MARINE HOLDINGS,INC.",13344000,108273216000,0.006313893414760349
29,6146,JP3548600000,ディスコ,DISCO CORPORATION,1779200,104047616000,0.0060674798602446
30,4901,JP3814000000,富士フイルムホールディングス,FUJIFILM HOLDINGS CORPORATION,26688000,100667136000.00002,0.0058703490166320035
31,4578,JP3188220002,大塚ホールディングス,"OTSUKA HOLDINGS CO.,LTD.",8896000,98745600000,0.005758295694999578
32,4503,JP3942400007,アステラス製薬,ASTELLAS PHARMA INC.,44480000,97944960000.00002,0.005711606810986069
33,6976,JP3452000007,太陽誘電,"TAIYO YUDEN CO.,LTD.",8896000,90961600000.00002,0.005304375989312675
34,7735,JP3494600004,ＳＣＲＥＥＮホールディングス,"SCREEN HOLDINGS CO.,LTD.",7116800,89671680000.00002,0.005229155009513131
35,8001,JP3143600009,伊藤忠商事,ITOCHU CORPORATION,44480000,89582720000.00002,0.0052239673557338525
36,2802,JP3119600009,味の素,"AJINOMOTO CO.,INC.",17792000,88337280000,0.005151340202823947
37,8031,JP3893600001,三井物産,"MITSUI & CO.,LTD.",17792000,87839104000,0.005122289341659985
38,7267,JP3854600008,本田技研工業,"HONDA MOTOR CO.,LTD.",53376000,86762688000,0.005059518730930711
39,5802,JP3407400005,住友電気工業,"SUMITOMO ELECTRIC INDUSTRIES,LTD.",35584000,77715456000,0.004531934341578047
40,4507,JP3347200002,塩野義製薬,"SHIONOGI & CO.,LTD.",26688000,77622048000,0.004526487305109804
41,7453,JP3976300008,良品計画,"RYOHIN KEIKAKU CO.,LTD.",17792000,74317184000.00002,0.0043337659672095935
42,7269,JP3397200001,スズキ,SUZUKI MOTOR CORPORATION,35584000,74228224000.00002,0.004328578313430314
