No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,VALE3,BRVALEACNOR0,VALE SA,151700,366254726,0.10758388251949558
2,ITUB4,BRITUBACNPR1,ITAU UNIBANCO HOLDING SA-PREF,216502,293607066,0.08624431537147668
3,PETR4,BRPETRACNPR6,PETROBRAS-PETROLEO BRAS-PR,188900,256774263,0.07542502576368683
4,AXIA3,BRAXIAACNOR0,AXIA ENERGIA,92220,154939145,0.04551191722602124
5,PETR3,BRPETRACNOR9,PETROBRAS - PETROLEO BRAS,95500,147116938,0.04321421745809749
6,BBDC4,BRBBDCACNPR8,BANCO BRADESCO SA - PREF,217700,127031150,0.037314206064105286
7,ITSA4,BRITSAACNPR7,ITAUSA SA,254483,111431489,0.03273195230127478
8,SBSP3,BRSBSPACNOR5,CIA SANEAMENTO BASICO DE SP,122390,106444945,0.031267201880895774
9,B3SA3,BRB3SAACNOR6,B3 SA-BRASIL BOLSA BALCAO,212800,105536011.00000001,0.031000211063488624
10,WEGE3,BRWEGEACNOR0,WEG SA,63200,93889831.00000001,0.027579255176844585
11,ABEV3,BRABEVACNOR1,AMBEV SA,181900,92116124.00000001,0.02705824542061278
12,BPAC11,BRBPACUNT006,BANCO BTG PACTUAL SA - UNIT,50800,91264872.00000001,0.02680819814842417
13,EMBJ3,BREMBJACNOR1,EMBRAER SA,30200,82543310,0.02424632130428893
14,BBAS3,BRBBASACNOR3,BANCO DO BRASIL SA,120700,81153695,0.023838134962121896
15,ENEV3,BRENEVACNOR8,ENEVA SA,81100,67291873.00000001,0.019766355067726327
16,EQTL3,BREQTLACNOR0,EQUATORIAL SA - ORD,52893,64882880.00000001,0.019058736021461003
17,PRIO3,BRPRIOACNOR1,PRIO SA,33500,63734782.00000001,0.018721493027488365
18,CPLE3,BRCPLEACNOR8,COMPANHIA PARANAENSE DE ENER,131000,61892221,0.018180258056068488
19,VBBR3,BRVBBRACNOR1,VIBRA ENERGIA SA,52405,59245943.00000001,0.01740293877182279
20,RDOR3,BRRDORACNOR8,REDE D'OR SAO LUIZ SA,48005,52428498.00000001,0.015400378395405631
21,RENT3,BRRENTACNOR4,LOCALIZA RENT A CAR,43129,52317112.00000001,0.015367659805070455
22,UGPA3,BRUGPAACNOR8,ULTRAPAR PARTICIPACOES,46700,48780560,0.014328830902990737
23,GGBR4,BRGGBRACNPR8,GERDAU SA PFD NPV,55018,43608114,0.012809473517818224
24,SUZB3,BRSUZBACNOR0,SUZANO SA,26700,36200471,0.010633548027485128
25,BBSE3,BRBBSEACNOR5,BB SEGURIDADE PARTICIPACOES,26700,34616224.00000001,0.01016819036509728
26,RADL3,BRRADLACNOR0,RAIA DROGASIL SA,57136,33085886.000000004,0.009718667964648799
27,BBDC3,BRBBDCACNOR1,BANCO BRADESCO S.A.,63600,32268268.000000004,0.009478500363759398
28,VIVT3,BRVIVTACNOR0,TELEFONICA BRASIL S.A.,30760,31847363.000000004,0.009354863477031912
29,CSMG3,BRCSMGACNOR5,CIA SANEAMENTO MINAS GERAIS,15600,31431738.000000004,0.009232777540665961
30,CMIG4,BRCMIGACNPR3,CIA ENERGETICA DE MINAS GER-PREF,82460,29382799.000000004,0.008630920971952052
31,RAIL3,BRRAILACNOR9,RUMO SA,50200,22745841,0.006681376954986038
32,TOTS3,BRTOTSACNOR8,TOTVS SA,22900,22619587.000000004,0.0066442910294282715
33,ENGI11,BRENGICDAM16,ENERGISA SA-UNITS,13930,21927565.000000004,0.0064410160727826436
34,TIMS3,BRTIMSACNOR5,TIM SA,33400,20453793,0.006008109403044483
35,KLBN11,BRKLBNCDAM18,KLABIN SA-UNIT,34092,19525392,0.005735400337400967
36,MOTV3,BRMOTVACNOR7,MOTIVA INFRAESTRUTURA DE MOB,41000,19370848.000000004,0.00569000449030385
37,MBRF3,BRMBRFACNOR1,MBRF GLOBAL FOODS COMPANY SA,32143,18317357.000000004,0.00538055141315954
38,LREN3,BRLRENACNOR1,LOJAS RENNER S.A.,41900,17974664.000000004,0.005279888566143463
39,ALOS3,BRALOSACNOR5,ALLOS SA,19476,16821238,0.00494108052226055
40,CXSE3,BRCXSEACNOR7,CAIXA SEGURIDADE PARTICIPACO,25000,15952257,0.004685825522996257
41,ISAE4,BRISAEACNPR9,ISA ENERGIA BRASIL SA,17500,14859159,0.004364738261956258
42,SMFT3,BRSMFTACNOR1,SMARTFIT ORDINARY,23200,14693275.000000002,0.004316011396469028
43,ASAI3,BRASAIACNOR0,SENDAS DISTRIBUIDORA SA,54000,14409862,0.004232761492148345
44,EGIE3,BREGIEACNOR9,ENGIE BRASIL SA,15020,14292772,0.004198367405437754
45,GOAU4,BRGOAUACNPR8,METALURGICA GERDAU SA-PREF,40599,14118741,0.004147247435292304
46,SANB11,BRSANBCDAM13,BANCO SANTANDER (BRASIL) SA,17600,14100812.000000002,0.004141980960096863
47,MULT3,BRMULTACNOR5,MULTIPLAN EMPREENDIMENTOS,15600,13973511.000000002,0.004104587488132179
48,CMIN3,BRCMINACNOR2,CSN MINERACAO SA,72400,13140281.000000002,0.0038598340090146986
49,CPFE3,BRCPFEACNOR0,CPFL ENERGIA SA,8900,13015678.000000002,0.0038232330491855095
50,TAEE11,BRTAEECDAM10,TRANSMISSORA ALIANCA DE-UNIT,9800,12397736,0.0036417183960971494
51,BRAV3,BRBRAVACNOR3,BRAVA ENERGIA,19105,12360452.000000002,0.0036307665716124146
52,PSSA3,BRPSSAACNOR7,PORTO SEGURO SA,7100,12244131,0.0035965983714222813
53,CSAN3,BRCSANACNOR6,COSAN SA,88200,11166358.000000002,0.003280012685058512
54,FLRY3,BRFLRYACNOR5,FLEURY SA,20491,11033545.000000002,0.0032410001149133787
55,HYPE3,BRHYPEACNOR0,HYPERA SA,14700,10098231,0.0029662604205105284
56,NATU3,BRNATUACNOR6,NATURA COSMETICOS SA,34400,9092295,0.0026707761775409747
