Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
6098,RECRUIT HOLDINGS LTD,Services,Equity,"1,714,020,000.00",8.48,"1,714,020,000.00","107,800.00","15,900.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8001,ITOCHU,Wholesale Trade,Equity,"890,448,000.00",4.40,"890,448,000.00","428,100.00","2,080.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
2914,JAPAN TOBACCO,Foods,Equity,"638,670,000.00",3.16,"638,670,000.00","91,500.00","6,980.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8630,SOMPO HOLDINGS,Insurance,Equity,"620,968,300.00",3.07,"620,968,300.00","91,900.00","6,757.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9432,NTT,Information & Communication,Equity,"571,350,780.00",2.83,"571,350,780.00","3,439,800.00",166.10,Japan,Tokyo Stock Exchange,JPY,1.00,JPY
7267,HONDA MOTOR,Transportation Equipment,Equity,"569,900,300.00",2.82,"569,900,300.00","325,100.00","1,753.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4502,TAKEDA PHARMACEUTICAL,Pharmaceutical,Equity,"544,698,000.00",2.69,"544,698,000.00","94,500.00","5,764.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9434,SOFTBANK,Information & Communication,Equity,"529,954,460.00",2.62,"529,954,460.00","2,266,700.00",233.80,Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9433,KDDI,Information & Communication,Equity,"518,959,000.00",2.57,"518,959,000.00","178,000.00","2,915.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6752,PANASONIC HOLDINGS,Electric Appliances,Equity,"515,069,100.00",2.55,"515,069,100.00","119,700.00","4,303.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6701,NEC,Electric Appliances,Equity,"509,832,000.00",2.52,"509,832,000.00","109,500.00","4,656.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
