No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,AAPL,US0378331005,APPLE INC,168850,9048480632.000002,0.08054224646284708
2,NVDA,US67066G1040,NVIDIA CORP,278220,8721314709,0.07763008037925934
3,MSFT,US5949181045,MICROSOFT CORP,85400,6191567637.000001,0.05511232071902186
4,MU,US5951121038,MICRON TECHNOLOGY,35790,5031191963,0.044783596226394766
5,AMZN,US0231351067,AMAZON.COM INC,123670,4680855085,0.041665181066935716
6,AMD,US0079031078,ADVANCED MICRO DEVICES,51750,4037114831.0000005,0.0359351266738963
7,GOOGL,US02079K3059,ALPHABET INC-CL A,66960,3590785925.0000005,0.031962268222565426
8,AVGO,US11135F1012,BROADCOM INC,54510,3397806978,0.03024452592487547
9,GOOG,US02079K1079,ALPHABET INC-CL C,62720,3363613991.0000005,0.029940167646590004
10,META,US30303M1027,META PLATFORMS INC-CLASS A,34040,2948983970.0000005,0.026249466997447315
11,TSLA,US88160R1014,TESLA INC,57430,2850731704,0.025374904897405983
12,WMT,US9311421039,WALMART INC,154800,2764107562.0000005,0.024603846939905055
13,INTC,US4581401001,INTEL CORP,159500,2336102969.0000005,0.02079409668252764
14,CSCO,US17275R1023,CISCO SYSTEMS,125100,2283245536.0000005,0.020323602621787364
15,COST,US22160K1051,COSTCO WHOLESALE CORPORATION,14080,2159227170.0000005,0.01921969156682346
16,AMAT,US0382221051,APPLIED MATERIALS,25200,2032240755,0.018089361343405302
17,LRCX,US5128073062,LAM RESEARCH CORP,39690,1899148973,0.016904686087527106
18,NFLX,US64110L1061,NETFLIX INC,133600,1571120289,0.013984840404244511
19,PLTR,US69608A1088,PALANTIR TECHNOLOGIES INC-A,72870,1431868334,0.012745332277280187
20,PANW,US6974351057,PALO ALTO NETWORKS INC,25900,1355691201,0.012067265133143198
21,TXN,US8825081040,TEXAS INSTRUMENTS INC,28880,1293890632.0000002,0.011517166518538333
22,KLAC,US4824801009,KLA CORP,41460,1201620155,0.010695849459683575
23,LIN,IE000S9YS762,LINDE PLC,14670,1199252267,0.010674772438396934
