No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,ADVANC/F,TH0268010Z11,ADVANCED INFO SERVICE (F),54000,97977600.00000001,0.08098401824319877
2,PTT/F,TH0646010Z18,PTT PCL(F),518500,95818800.00000001,0.07919964815673597
3,DELTA-R,TH0528010R18,DELTA ELECTRONICS THAI-NVDR,75000,95040000,0.07855592598546617
4,GULF-R,THC903010R14,GULF DEVELOPMENT PCL-NVDR,271228,85599557,0.07075286683586587
5,AOT/F,TH0765010Z16,AIRPORTS OF THAILAND PCL(F),259300,79034640.00000001,0.06532659227828246
6,KTB-R,TH0150010R11,KRUNG THAI BANK-NVDR,253700,52059240.00000001,0.043029901139516206
7,PTTEP/F,TH0355A10Z12,PTT EXPLORATION & PRODUCTION (F),72100,51392880,0.042479116976640835
8,KBANK-R,TH0016010R14,KASIKORNBANK PCL-NVDR,43000,49948800.00000001,0.041285503323472784
9,SCB/F,THA790010013,SCB X PCL-FOREIGN,61100,44578560.00000001,0.03684669675819301
10,TRUE/F,THB231010018,TRUE CORP PCL/NEW-FOREIGN,627194,43953755.00000001,0.03633026014902477
11,CPALL/F,TH0737010Y16,CP ALL PCL-FOREIGN,163100,36795360,0.030413442516504446
12,BBL-R,TH0001010R16,BANGKOK BANK PUBLIC CO-NVDR,34700,31812960,0.026295207608781523
13,SCC-R,TH0003010R12,SIAM CEMENT PCL-NVDR,21800,26683200,0.02205517134107103
14,CPN-R,TH0481010R10,CENTRAL PATTANA PCL-NVDR,81500,26503800.000000004,0.021906887112095944
15,BDMS/F,TH0264A10Z12,BANGKOK DUSIT MEDICAL SERVICE-F,288500,26311200.000000004,0.021747692337845095
16,TTB/F,TH0068010Z15,TMBTHANACHART BANK PCL-FOREIGN,1771098,25843862.000000004,0.021361411094808522
17,CPF/F,TH0101A10Z19,CHAROEN POKPHAND FOODS(F),152600,16187808.000000002,0.013380137280249761
18,PTTGC/F,TH1074010014,PTT GLOBAL CHEMICAL PCL-FOREIGN,81800,14429520,0.011926812974808541
19,THAI/F,TH0245010010,THAI AIRWAYS INTL PCL-FOR,510000,14076000,0.011634608734968663
20,OR-R,THA099010R13,PTT OIL & RETAIL BUSINE-NVDR,217800,13381632,0.011060674378753637
21,CRC/F,TH9597010015,CENTRAL RETAIL CORP-FOREIGN,109500,13034880,0.010774064273036966
22,BH/F,TH0168A10Z19,BUMRUNGRAD HOSPITAL-FOREIGN,14400,12890880,0.010655040142755957
23,GPSC/F,TH6488010013,GLOBAL POWER SYNERGY PCL-F,51164,12831931,0.010606315465978629
24,TOP/F,TH0796010013,THAI OIL PCL(F),40500,12393000.000000002,0.010243514212309368
25,TLI/F,THA848010015,THAI LIFE INSURANCE PLC-F,207800,11670048.000000002,0.00964595356623356
26,MINT/F,TH0128B10Z17,MINOR INTERNATIONAL PCL (F),102921,11411880,0.009432563137994756
