No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,先物取引評価額(買建）（円） Valuation (yen),純資産比率 % of NAV
1,-,-,日経225先物 2609,Nikkei 225 Futures 2609,22578,1438670160000.0002,1.9822612663528059
,,,,,,,
,,,合計（Total）,,,1438670160000.0002,1.9822612663528059
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,725772220050,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
1570,NEXT FUNDS 日経平均レバレッジ・インデックス連動型上場投信　（NEXT FUNDS Nikkei 225 Leveraged Index Exchange Traded Fund）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3047460005,,
