No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,先物取引評価額(売建）（円） Valuation (yen),純資産比率 % of NAV
1,-,-,日経225先物 2609,Nikkei 225 Futures 2609,-185,11788200000,0.9608761496345621
,,,,,,,
,,,合計（Total）,,,11788200000,0.9608761496345621
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,12268178375,1
,,,,,,,
※先物が組み入れられている場合は枚数です。枚数のマイナス表示は売建を表します。,,,,,,,
※Note: Figure refers to the number of futures contracts; negative figure shows that the ETF has short positions in given number of futures contracts.,,,,,,,
1571,NEXT FUNDS 日経平均インバース・インデックス連動型上場投信　（NEXT FUNDS Nikkei 225 Inverse Index Exchange Traded Fund）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3047470004,,
