No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,7182,JP3946750001,ゆうちょ銀行,"JAPAN POST BANK CO.,LTD.",1400100,4355711100.000001,0.01955221256728665
2,8750,JP3476480003,第一ライフグループ,"DAIICHI LIFE GROUP,INC.",2254100,4324490850.000001,0.019412068983290957
3,8591,JP3200450009,オリックス,ORIX CORPORATION,636800,4081888000.0000005,0.018323056791313953
4,6178,JP3752900005,日本郵政,"JAPAN POST HOLDINGS CO.,LTD.",1707800,4067979600.0000005,0.018260623818367044
5,7186,JP3305990008,横浜フィナンシャルグループ,"YOKOHAMA FINANCIAL GROUP,INC.",2185000,4018215000.0000005,0.018037237093401288
6,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",587100,4000499400.0000005,0.01795771410186105
7,8354,JP3805010000,ふくおかフィナンシャルグループ,"FUKUOKA FINANCIAL GROUP,INC.",539700,3972192000,0.01783064591728214
8,8411,JP3885780001,みずほフィナンシャルグループ,"MIZUHO FINANCIAL GROUP,INC.",484100,3953644700.0000005,0.01774738953415121
9,8334,JP3276400003,群馬銀行,"THE GUNMA BANK,LTD.",1544300,3920205550.0000005,0.017597285600749985
10,9147,JP3688370000,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディン,"NIPPON EXPRESS HOLDINGS,INC.",741200,3912053600,0.01756069257252139
11,6113,JP3122800000,アマダ,"AMADA CO.,LTD.",1359400,3788647800,0.017006740214745398
12,8630,JP3165000005,ＳＯＭＰＯホールディングス,"SOMPO HOLDINGS,INC.",531800,3782693400,0.01698001169858861
13,8309,JP3892100003,三井住友トラストグループ,"SUMITOMO MITSUI TRUST GROUP,INC.",2281800,3774097200.0000005,0.01694142449071091
14,6724,JP3414750004,セイコーエプソン,SEIKO EPSON CORPORATION,1278200,3770690000,0.016926130019353693
