No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8306,JP3902900004,三菱ＵＦＪフィナンシャル・グループ,"MITSUBISHI UFJ FINANCIAL GROUP,INC.",34473700,103386626300,0.2982618161305657
2,8316,JP3890350006,三井住友フィナンシャルグループ,"SUMITOMO MITSUI FINANCIAL GROUP,INC.",11912400,69318255600.00002,0.1999774008126113
3,8411,JP3885780001,みずほフィナンシャルグループ,"MIZUHO FINANCIAL GROUP,INC.",7602900,54702865500.00001,0.15781321623003833
4,7182,JP3946750001,ゆうちょ銀行,"JAPAN POST BANK CO.,LTD.",5935600,18216356400,0.05255267279328617
5,8308,JP3500610005,りそなホールディングス,"RESONA HOLDINGS, INC.",6701800,13668321100,0.03943196930434833
6,8309,JP3892100003,三井住友トラストグループ,"SUMITOMO MITSUI TRUST GROUP,INC.",1884900,10317942600.000002,0.029766406050208177
7,7186,JP3305990008,横浜フィナンシャルグループ,"YOKOHAMA FINANCIAL GROUP,INC.",2849900,4626812650.000001,0.013347969590191336
8,8331,JP3511800009,千葉銀行,"THE CHIBA BANK,LTD.",1609100,3742766600.0000005,0.010797570279830504
9,5831,JP3351500008,しずおかフィナンシャルグループ,"SHIZUOKA FINANCIAL GROUP,INC.",1203700,3455822700.0000005,0.009969760999225441
10,7167,JP3117700009,めぶきフィナンシャルグループ,"MEBUKI FINANCIAL GROUP,INC.",2554500,3396207750.0000005,0.009797776827849759
11,5844,JP3252200005,京都フィナンシャルグループ,"KYOTO FINANCIAL GROUP,INC.",750400,3316017600.0000005,0.00956643491612725
12,8354,JP3805010000,ふくおかフィナンシャルグループ,"FUKUOKA FINANCIAL GROUP,INC.",436200,2859727200.0000005,0.008250075070976347
13,8359,JP3769000005,八十二長野銀行,"HACHIJUNI NAGANO BANK,LTD.",1127000,2618584500,0.0075543984421643645
14,8334,JP3276400003,群馬銀行,"THE GUNMA BANK,LTD.",985700,2227682000,0.006426677248886792
15,5830,JP3149700001,いよぎんホールディングス,"IYOGIN HOLDINGS,INC.",715300,2184526200,0.006302176356022591
16,8377,JP3842400008,ほくほくフィナンシャルグループ,"HOKUHOKU FINANCIAL GROUP,INC.",326700,2109175200.0000002,0.006084794989480658
17,8341,JP3352000008,七十七銀行,"THE 77 BANK,LTD.",524900,1655534600.0000002,0.004776079596892599
18,7337,JP3796150005,ひろぎんホールディングス,"HIROGIN HOLDINGS,INC.",760200,1533703500.0000002,0.00442460700853535
19,8418,JP3935300008,山口フィナンシャルグループ,"YAMAGUCHI FINANCIAL GROUP,INC.",535800,1468359900.0000002,0.004236096158476698
20,7180,JP3246500007,九州フィナンシャルグループ,"KYUSHU FINANCIAL GROUP,INC.",1057600,1461603200.0000002,0.004216603641067322
21,5832,JP3520700000,ちゅうぎんフィナンシャルグループ,"CHUGIN FINANCIAL GROUP,INC.",460100,1374548750.0000002,0.0039654587948866945
22,5838,JP3967220009,楽天銀行,"RAKUTEN BANK,LTD.",289700,1347974100,0.003888793140384781
