No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,2914,JP3726800000,日本たばこ産業,JAPAN TOBACCO INC.,141200,1007462000,0.2628865072778512
2,2802,JP3119600009,味の素,"AJINOMOTO CO.,INC.",112100,556576500,0.14523272552009994
3,2503,JP3258000003,キリンホールディングス,"KIRIN HOLDINGS COMPANY,LIMITED",100800,297662400,0.07767184140339055
4,2502,JP3116000005,アサヒグループホールディングス,"ASAHI GROUP HOLDINGS,LTD.",174400,290637600,0.07583879446333182
5,2801,JP3240400006,キッコーマン,KIKKOMAN CORPORATION,77000,126857500.00000001,0.033102117099205734
6,2269,JP3918000005,明治ホールディングス,"MEIJI HOLDINGS CO.,LTD.",32400,122763600.00000001,0.03203385738107761
7,2875,JP3613000003,東洋水産,"TOYO SUISAN KAISHA,LTD.",10800,111942000.00000001,0.029210075811988166
8,2587,JP3336560002,サントリービバレッジ＆フード,SUNTORY BEVERAGE & FOOD LIMITED,19100,87860000,0.02292613371961623
9,2267,JP3931600005,ヤクルト本社,"YAKULT HONSHA CO.,LTD.",29400,82878600.00000001,0.021626290303830936
10,2501,JP3320800000,サッポロビール,SAPPORO BREWERIES LIMITED,38200,76839300,0.02005039912043828
11,2897,JP3675600005,日清食品ホールディングス,"NISSIN FOODS HOLDINGS CO.,LTD.",26300,75888650.00000001,0.019802337101083024
12,2579,JP3293200006,コカ・コーラ　ボトラーズジャパンホールデ,COCA-COLA BOTTLERS JAPAN HOLDINGS INC.,15100,57802800.00000001,0.015083026657958493
13,2809,JP3244800003,キユーピー,KEWPIE CORPORATION,12500,56912500.00000001,0.01485071233004392
14,2212,JP3935600001,山崎製パン,"YAMAZAKI BAKING CO.,LTD.",15500,52064500.00000001,0.01358567822723605
15,2282,JP3743000006,日本ハム,NH FOODS LTD.,8300,51875000.00000001,0.013536230215172912
16,2002,JP3676800000,日清製粉グループ本社,NISSHIN SEIFUN GROUP INC.,22400,45080000,0.011763147144096285
17,2871,JP3665200006,ニチレイ,NICHIREI CORPORATION,20400,44951400.00000001,0.011729590340131539
18,2531,JP3459600007,宝ホールディングス,TAKARA HOLDINGS INC.,19100,39909450.00000001,0.010413947045030026
19,2264,JP3926800008,森永乳業,"MORINAGA MILK INDUSTRY CO.,LTD.",33500,39898500,0.010411089758844845
20,1332,JP3718800000,ニッスイ,NISSUI CORPORATION,29600,37355200.00000001,0.009747442639688235
21,2206,JP3161200005,江崎グリコ,"EZAKI GLICO CO.,LTD.",6600,33356400,0.008703998256373854
22,2811,JP3208200000,カゴメ,"KAGOME CO.,LTD.",12100,31581000.000000004,0.008240726485308448
23,2222,JP3299600001,寿スピリッツ,"KOTOBUKI SPIRITS CO.,LTD.",12400,31533200.000000004,0.008228253583057165
24,2810,JP3765400001,ハウス食品グループ本社,HOUSE FOODS GROUP INC.,8100,31371300.000000004,0.008186007497816944
25,2229,JP3220580009,カルビー,"CALBEE,INC.",10600,30782400.000000004,0.008032340298323636
26,2201,JP3926400007,森永製菓,"MORINAGA & CO.,LTD.",9100,24033100.000000004,0.006271182156805245
27,2001,JP3723000000,ニップン,NIPPN CORPORATION,8200,23033800.000000004,0.006010425436727708
28,2593,JP3143000002,伊藤園,"ITO EN,LTD.",7500,22380000,0.00583982327162544
29,1333,JP3876600002,Ｕｍｉｏｓ,UMIOS CORPORATION,16100,21107100,0.005507673537825082
30,2270,JP3947800003,雪印メグミルク,"MEGMILK SNOW BRAND CO.,LTD.",5600,21084000,0.0055016458382015545
31,2296,JP3144500000,伊藤ハム米久ホールディングス,ITOHAM YONEKYU HOLDINGS INC.,4100,20110500,0.005247621354067177
32,2607,JP3816400000,不二製油,"FUJI OIL CO.,LTD.",4600,18234400,0.004758072987673232
