No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,4063,JP3371200001,信越化学工業,"SHIN-ETSU CHEMICAL CO.,LTD.",57500,333500000,0.18653758954568486
2,4901,JP3814000000,富士フイルムホールディングス,FUJIFILM HOLDINGS CORPORATION,38700,145976400,0.08164943264334847
3,4452,JP3205800000,花王,KAO CORPORATION,30700,100327600,0.05611654773284454
4,4004,JP3368000000,レゾナック・ホールディングス,RESONAC HOLDINGS CORPORATION,6000,82350000,0.04606108095678305
5,3407,JP3111200006,旭化成,ASAHI KASEI CORPORATION,42900,73895250,0.04133205941192135
6,6988,JP3684000007,日東電工,NITTO DENKO CORPORATION,19700,65502500,0.03663771651938898
7,4188,JP3897700005,三菱ケミカルグループ,MITSUBISHI CHEMICAL GROUP CORPORATION,45300,53816400.00000001,0.030101293955101638
8,3402,JP3621000003,東レ,"TORAY INDUSTRIES,INC.",43600,50488800.00000001,0.02824005712460023
9,4911,JP3351600006,資生堂,"SHISEIDO COMPANY,LIMITED",14500,45733000,0.02557998075769957
10,4091,JP3711600001,日本酸素ホールディングス,NIPPON SANSO HOLDINGS CORPORATION,7300,42201300,0.0236045840410624
11,4612,JP3749400002,日本ペイントホールディングス,"NIPPON PAINT HOLDINGS CO.,LTD.",34400,41624000.00000001,0.02328168104122815
12,8113,JP3951600000,ユニ・チャーム,UNICHARM CORPORATION,40500,40763250,0.02280023507360761
13,4204,JP3419400001,積水化学工業,"SEKISUI CHEMICAL CO.,LTD.",12700,33845500.00000001,0.01893090850665211
14,4186,JP3571800006,東京応化工業,"TOKYO OHKA KOGYO CO.,LTD.",3100,27534200.000000004,0.015400789499456663
15,4005,JP3401400001,住友化学,"SUMITOMO CHEMICAL COMPANY,LIMITED",52100,27159730,0.015191336032718512
16,4042,JP3595200001,東ソー,TOSOH CORPORATION,9400,25478700,0.014251080308118863
17,4021,JP3670800006,日産化学,NISSAN CHEMICAL CORPORATION,3300,24759900,0.013849031674339438
18,4183,JP3888300005,三井化学,"MITSUI CHEMICALS,INC.",11600,24574600.000000004,0.013745387250522902
19,4403,JP3753400005,日油,NOF CORPORATION,7400,20634900.000000004,0.011541782628234644
20,3861,JP3174410005,王子ホールディングス,OJI HOLDINGS CORPORATION,22100,19443580,0.010875437917057534
21,4182,JP3896800004,三菱瓦斯化学,"MITSUBISHI GAS CHEMICAL COMPANY,INC.",4600,19324600,0.01080888846457134
22,4980,JP3548770001,デクセリアルズ,DEXERIALS CORPORATION,5500,18172000,0.010164201131107003
23,3405,JP3269600007,クラレ,"KURARAY CO.,LTD.",8800,16192000.000000002,0.009056721588976701
24,4613,JP3229400001,関西ペイント,"KANSAI PAINT CO.,LTD.",5200,14726400.000000002,0.008236962994559442
25,4626,JP3449100001,太陽ホールディングス,"TAIYO HOLDINGS CO.,LTD.",3100,14647500.000000002,0.008192831612804857
26,4912,JP3965400009,ライオン,LION CORPORATION,8100,13834800.000000002,0.007738261600739554
27,4203,JP3409400003,住友ベークライト,"SUMITOMO BAKELITE COMPANY,LIMITED",2100,13677300,0.007650166637161006
28,7988,JP3756200006,ニフコ,NIFCO INC.,2400,12501600,0.006992558709038483
29,4631,JP3493400000,ＤＩＣ,DIC CORPORATION,2500,11060000,0.006186224109071288
30,4967,JP3301100008,小林製薬,"KOBAYASHI PHARMACEUTICAL CO.,LTD.",1900,10617200.000000002,0.005938551411467603
31,4208,JP3158800007,ＵＢＥ,UBE CORPORATION,3300,10503900,0.005875178971001258
32,4205,JP3725400000,日本ゼオン,ZEON CORPORATION,4500,10174500,0.005690934647174125
33,4202,JP3485800001,ダイセル,DAICEL CORPORATION,6800,9863400,0.005516926119115167
34,3941,JP3981400009,レンゴー,"RENGO CO.,LTD.",6500,9698000.000000002,0.005424412424030142
35,4401,JP3114800000,ＡＤＥＫＡ,ADEKA CORPORATION,2400,9468000.000000002,0.005295765810550359
36,3401,JP3544000007,帝人,TEIJIN LIMITED,5700,9330900.000000002,0.005219081242254367
37,4061,JP3549600009,デンカ,DENKA COMPANY LIMITED,2600,8918000,0.004988132604403051
38,4043,JP3625000009,トクヤマ,TOKUYAMA CORPORATION,2300,8721600.000000002,0.00487827958315336
39,8111,JP3306600002,ゴールドウイン,GOLDWIN INC.,3800,8707700,0.004870504853034363
40,4114,JP3715200006,日本触媒,"NIPPON SHOKUBAI CO.,LTD.",4000,8632000.000000002,0.004828163337206454
41,4118,JP3215800008,カネカ,KANEKA CORPORATION,1500,8577000,0.004797400016591721
42,4272,JP3694400007,日本化薬,"NIPPON KAYAKU CO.,LTD.",4300,8264600.000000001,0.004622664355500052
43,4368,JP3822600007,扶桑化学工業,"FUSO CHEMICAL CO.,LTD.",2100,7864500.000000001,0.0043988751813554385
44,4922,JP3283650004,コーセーホールディングス,KOSE HOLDINGS CORPORATION,1300,7390500,0.004133751290966669
45,4206,JP3100800006,アイカ工業,"AICA KOGYO COMPANY,LIMITED",1600,5899200.000000001,0.0032996178358258
46,3591,JP3992400006,ワコールホールディングス,WACOAL HOLDINGS CORP.,1300,5722600.000000001,0.0032008396099974107
47,4095,JP3744600002,日本パーカライジング,"NIHON PARKERIZING CO.,LTD.",3200,5315200,0.002972967304207569
48,4927,JP3855900001,ポーラ・オルビスホールディングス,POLA ORBIS HOLDINGS INC.,3900,5227950.000000001,0.002924165491050565
49,4045,JP3556400004,東亞合成,"TOAGOSEI CO.,LTD.",2900,5208400.000000001,0.0029132305289047834
50,3863,JP3721600009,日本製紙,"NIPPON PAPER INDUSTRIES CO.,LTD.",3700,5091200,0.0028476766893403022
51,4041,JP3726200003,日本曹達,"NIPPON SODA CO.,LTD.",1300,4985500,0.0027885551804498108
52,3106,JP3268800004,倉敷紡績,KURABO INDUSTRIES LTD.,500,4950000.000000001,0.002768698855325758
53,4634,JP3606600009,ａｒｔｉｅｎｃｅ,"ARTIENCE CO.,LTD.",1100,4906000,0.0027440881988339727
54,4617,JP3522600000,中国塗料,"CHUGOKU MARINE PAINTS,LTD.",1300,4660500.000000001,0.0026067719222718578
55,3569,JP3413800008,セーレン,"SEIREN CO.,LTD.",1400,4452000,0.0024901509704869235
56,4971,JP3920890005,メック,MEC COMPANY LTD.,500,4260000.000000001,0.00238275901488641
57,3101,JP3619800000,東洋紡,"TOYOBO CO.,LTD.",2800,4256000.000000001,0.002380521682478066
58,4975,JP3166200000,ＪＣＵ,JCU CORPORATION,700,4137000.0000000005,0.0023139610433298304
59,4046,JP3485900009,大阪ソーダ,"OSAKA SODA CO.,LTD.",2300,4066400.0000000005,0.002274472126322558
60,4189,JP3277040006,ＫＨネオケム,"KH NEOCHEM CO.,LTD.",1200,3966000.0000000005,0.002218315082873122
61,4958,JP3768500005,長谷川香料,"T.HASEGAWA CO.,LTD.",1200,3900000,0.002181399098135445
62,4461,JP3475000000,第一工業製薬,DKS CO.LTD.,300,3786000.0000000005,0.00211763512449764
63,4099,JP3349600001,四国化成ホールディングス,SHIKOKU KASEI HOLDINGS CORPORATION,1300,3628300.0000000005,0.0020294282942986764
64,3002,JP3275200008,グンゼ,GUNZE LIMITED,900,3618000.0000000005,0.00202366716334719
65,4633,JP3314800008,サカタインクス,SAKATA INX CORPORATION,1400,3500000,0.0019576658573010404
66,4047,JP3232600001,関東電化工業,"KANTO DENKA KOGYO CO.,LTD.",1300,3469700,0.0019407180643078344
67,3201,JP3700800000,日本毛織,"THE JAPAN WOOL TEXTILE CO.,LTD.",1800,3441600.0000000005,0.0019250008041392177
68,4023,JP3271600003,クレハ,KUREHA CORPORATION,800,3432000.0000000005,0.001919631206359192
69,3612,JP3990210001,ワールド,"WORLD CO.,LTD.",2100,3370500,0.0018852322205809022
70,3880,JP3440400004,大王製紙,DAIO PAPER CORPORATION,3300,3273600.0000000005,0.0018310328429887678
71,4028,JP3136800004,石原産業,"ISHIHARA SANGYO KAISHA,LTD.",1100,3262600.0000000005,0.0018248801788658218
72,7995,JP3744200001,バルカー,"VALQUA,LTD.",500,3245000,0.0018150359162691077
73,4044,JP3425000001,セントラル硝子,"CENTRAL GLASS CO.,LTD.",800,3184000.0000000005,0.0017809165970418613
74,3104,JP3820800005,富士紡ホールディングス,"FUJIBO HOLDINGS,INC.",900,3132000,0.0017518312757333883
75,7947,JP3167000003,エフピコ,FP CORPORATION,1200,3027600,0.0016934368998756087
76,7970,JP3371600002,信越ポリマー,"SHIN-ETSU POLYMER CO.,LTD.",1400,3000200,0.001678111172878452
77,4928,JP3760450001,ノエビアホールディングス,"NOEVIR HOLDINGS CO.,LTD.",600,2982000.0000000005,0.001667931310420487
78,3865,JP3841800000,北越コーポレーション,HOKUETSU CORPORATION,3200,2934400.0000000005,0.0016413070547611928
79,4914,JP3454400007,高砂香料工業,TAKASAGO INTERNATIONAL CORPORATION,2400,2904000.0000000005,0.001624303328457778
80,8016,JP3203500008,オンワードホールディングス,"ONWARD HOLDINGS CO.,LTD.",3800,2899400.0000000005,0.0016217303961881824
81,4985,JP3100190002,アース製薬,EARTH CORPORATION,600,2838000,0.001587387343720101
82,4956,JP3300800004,コニシ,"KONISHI CO.,LTD.",2000,2828000,0.0015817940126992408
83,4919,JP3910650005,ミルボン,"MILBON CO.,LTD.",1000,2781000,0.0015555053569011983
84,7917,JP3821000001,ＺＡＣＲＯＳ,ZACROS CORPORATION,2000,2712000.0000000005,0.0015169113728572636
85,5208,JP3126000003,有沢製作所,"ARISAWA MFG.CO.,LTD.",1100,2681800.0000000005,0.001500019513174266
86,4369,JP3636000006,トリケミカル研究所,TRI CHEMICAL LABORATORIES INC.,800,2596000,0.0014520287330152862
87,4220,JP3973000007,リケンテクノス,RIKEN TECHNOS CORPORATION,1100,2437600.0000000005,0.0013634303696448621
88,4216,JP3117200000,旭有機材,ASAHI YUKIZAI CORPORATION,400,2432000.0000000005,0.0013602981042731804
89,4078,JP3312800000,堺化学工業,"SAKAI CHEMICAL INDUSTRY CO.,LTD.",600,2412000.0000000005,0.0013491114422314603
90,4212,JP3420200002,積水樹脂,SEKISUI JUSHI CORPORATION,800,2360800,0.0013204735874046561
91,3708,JP3624900001,特種東海製紙,"TOKUSHU TOKAI PAPER CO.,LTD.",1100,2294600.0000000005,0.0012834457360465625
92,4187,JP3187000009,大阪有機化学工業,OSAKA ORGANIC CHEMICAL INDUSTRY LTD.,500,2267500.0000000005,0.0012682878089800315
93,3001,JP3211400001,片倉工業,"KATAKURA INDUSTRIES CO.,LTD.",800,2256800,0.001262302944787711
