No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,7203,JP3633400001,トヨタ自動車,TOYOTA MOTOR CORPORATION,727900,2232469300,0.4710261152345895
2,7267,JP3854600008,本田技研工業,"HONDA MOTOR CO.,LTD.",276300,449125650,0.0947605013747378
3,5108,JP3830800003,ブリヂストン,BRIDGESTONE CORPORATION,81300,322354500,0.0680132030766956
4,6902,JP3551500006,デンソー,DENSO CORPORATION,145200,285681000,0.060275503733167916
5,7269,JP3397200001,スズキ,SUZUKI MOTOR CORPORATION,108900,227165400.00000003,0.04792936497613277
6,7012,JP3224200000,川崎重工業,"KAWASAKI HEAVY INDUSTRIES,LTD.",58300,161082900,0.033986694740985625
7,7309,JP3358000002,シマノ,SHIMANO INC.,6200,124775000,0.026326132918556105
8,7270,JP3814800003,ＳＵＢＡＲＵ,SUBARU CORPORATION,43700,118667350.00000001,0.02503748690998052
9,7272,JP3942800008,ヤマハ発動機,"YAMAHA MOTOR CO.,LTD.",73300,98441900.00000001,0.02077014260993956
10,7202,JP3137200006,いすゞ自動車,ISUZU MOTORS LIMITED,38200,91775500,0.019363606585188906
11,7259,JP3102000001,アイシン,AISIN CORPORATION,36200,80490700,0.016982639686697047
12,7201,JP3672400003,日産自動車,"NISSAN MOTOR CO.,LTD.",226400,76115680.00000001,0.016059559277629996
13,7261,JP3868400007,マツダ,MAZDA MOTOR CORPORATION,49000,57648500.00000001,0.012163190331038925
14,5101,JP3955800002,横浜ゴム,"THE YOKOHAMA RUBBER COMPANY,LIMITED",7400,56750600.00000001,0.01197374344867009
15,5105,JP3610600003,ＴＯＹＯ　ＴＩＲＥ,TOYO TIRE CORPORATION,10200,43656000,0.009210928941634826
16,5110,JP3404200002,住友ゴム工業,"SUMITOMO RUBBER INDUSTRIES,LTD.",13100,29868000.000000004,0.006301814770678692
17,7282,JP3634200004,豊田合成,"TOYODA GOSEI CO.,LTD.",4600,25585200.000000004,0.005398191752737662
18,7211,JP3899800001,三菱自動車工業,MITSUBISHI MOTORS CORPORATION,56700,20871270,0.004403605114799218
19,7014,JP3651400008,名村造船所,"NAMURA SHIPBUILDING CO.,LTD.",4600,19964000,0.004212181266968977
20,7240,JP3164800009,ＮＯＫ,NOK CORPORATION,5400,16453800,0.0034715682293355115
21,3116,JP3635400009,トヨタ紡織,TOYOTA BOSHOKU CORPORATION,7300,16355650,0.0034508596743689215
22,7278,JP3161160001,エクセディ,EXEDY CORPORATION,2400,14496000,0.003058494271988694
23,6995,JP3566600007,東海理化電機製作所,"TOKAI RIKA CO.,LTD.",4000,12700000,0.0026795583094823684
24,7242,JP3220200004,カヤバ,KYB CORPORATION,2500,11300000,0.002384173928909509
25,7296,JP3166900005,エフ・シー・シー,"F.C.C.CO.,LTD.",2900,10846000.000000002,0.0022883849940665965
26,7220,JP3912700006,武蔵精密工業,"MUSASHI SEIMITSU INDUSTRY CO.,LTD.",3300,10642500,0.002245448764461898
27,7313,JP3539230007,テイ・エス　テック,"TS TECH CO.,LTD.",5500,10109000.000000002,0.0021328862165793127
28,5186,JP3679850002,ニッタ,NITTA CORPORATION,1500,9585000,0.002022328062707756
