No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,5803,JP3811000003,フジクラ,FUJIKURA LTD.,328000,1368416000,0.20582113843546848
2,5802,JP3407400005,住友電気工業,"SUMITOMO ELECTRIC INDUSTRIES,LTD.",586800,1281571200,0.19275895880354327
3,5401,JP3381000003,日本製鉄,NIPPON STEEL CORPORATION,1158300,752431680,0.11317197765336866
4,5016,JP3379550001,ＪＸ金属,JX ADVANCED METALS CORPORATION,162600,617392200.0000001,0.09286091763409553
5,5713,JP3402600005,住友金属鉱山,"SUMITOMO METAL MINING CO.,LTD.",58200,476367000,0.0716495555833086
6,5801,JP3827200001,古河電気工業,"FURUKAWA ELECTRIC CO.,LTD.",141500,445017500.00000006,0.06693433025754311
7,5706,JP3888400003,三井金属,"MITSUI KINZOKU COMPANY,LIMITED",10600,328070000,0.04934445438121459
8,5411,JP3386030005,ＪＦＥホールディングス,"JFE HOLDINGS,INC.",137800,250451500.00000003,0.03766998694320348
9,5406,JP3289800009,神戸製鋼所,"KOBE STEEL,LTD.",85400,177375800.00000003,0.0266787943775153
10,5711,JP3903000002,三菱マテリアル,MITSUBISHI MATERIALS CORPORATION,28300,118661900.00000001,0.017847735883617058
11,5444,JP3940400009,大和工業,"YAMATO KOGYO CO.,LTD.",7600,102600000,0.015431892643376771
12,5714,JP3638600001,ＤＯＷＡホールディングス,"DOWA HOLDINGS CO.,LTD.",11500,94702500.00000001,0.014244043012274745
13,5463,JP3871200006,丸一鋼管,MARUICHI STEEL TUBE LTD.,42700,76390300.00000001,0.011489735951221684
14,5805,JP3368400002,ＳＷＣＣ,SWCC CORPORATION,6200,70370000,0.01058423280033551
15,5471,JP3491000000,大同特殊鋼,"DAIDO STEEL CO.,LTD.",30100,68462450,0.010297321427900097
16,5741,JP3826900007,ＵＡＣＪ,UACJ CORPORATION,25700,60523500.00000001,0.00910323737233347
17,5857,JP3116700000,ＡＲＥホールディングス,"ARE HOLDINGS,INC.",18700,57876500.00000001,0.00870510657479918
18,5703,JP3700200003,日本軽金属ホールディングス,"NIPPON LIGHT METAL HOLDINGS COMPANY,LTD.",12400,33666000,0.005063646176724389
19,5451,JP3959400007,ヨドコウ,"YODOKO,LTD.",24100,33378500.000000004,0.005020403787494655
20,5482,JP3103600007,愛知製鋼,AICHI STEEL CORPORATION,7900,23352400.000000004,0.0035123950269511867
21,5423,JP3579800008,東京製鐵,"TOKYO STEEL MANUFACTURING CO.,LTD.",11900,21086800,0.0031716299589898372
22,5726,JP3407200009,大阪チタニウムテクノロジーズ,"OSAKA TITANIUM TECHNOLOGIES CO.,LTD.",7400,20986400,0.003156528964629262
23,5715,JP3826800009,古河機械金属,"FURUKAWA CO.,LTD.",4500,15997500,0.0024061569450528255
24,5602,JP3270800000,栗本鐵工所,"KURIMOTO,LTD.",9900,14998500,0.0022558990429988935
25,5480,JP3752600001,日本冶金工業,"NIPPON YAKIN KOGYO CO.,LTD.",2900,14616000,0.0021983678642845503
26,5851,JP3975800008,リョービ,RYOBI LIMITED,5400,13802400,0.002075995662972159
27,5440,JP3247400009,共英製鋼,KYOEI STEEL LTD.,4800,9321600.000000002,0.001402046105891822
28,5563,JP3734600004,新日本電工,"NIPPON DENKO CO.,LTD.",21200,9073600,0.0013647448449214763
29,5445,JP3584600005,東京鐵鋼,"TOKYO TEKKO CO.,LTD.",4700,9033400,0.0013586984308448316
30,5541,JP3448000004,大平洋金属,"PACIFIC METALS CO.,LTD.",3600,8888400,0.0013368892258420087
31,5702,JP3480600000,大紀アルミニウム工業所,"DAIKI ALUMINIUM INDUSTRY CO.,LTD.",6000,8886000,0.0013365282458971343
32,5821,JP3795080005,平河ヒューテック,HIRAKAWA HEWTECH CORP.,2600,8307000,0.001249441834196207
33,5461,JP3524600008,中部鋼鈑,"CHUBU STEEL PLATE CO.,LTD.",3900,8295300.000000001,0.0012476820569649449
34,5410,JP3307800007,合同製鐵,"GODO STEEL,LTD.",2400,6816000.000000001,0.0010251830434430417
35,5632,JP3900800008,三菱製鋼,"MITSUBISHI STEEL MFG.CO.,LTD.",2900,6322000.000000001,0.0009508813381230795
36,5408,JP3646400006,中山製鋼所,"NAKAYAMA STEEL WORKS,LTD.",8700,5715900,0.0008597188612112796
37,5757,JP3325100000,ＣＫサンエツ,"CK SAN-ETSU CO.,LTD.",1000,5190000.000000001,0.0007806191307906964
38,5449,JP3184600009,大阪製鐵,"OSAKA STEEL CO.,LTD.",2000,5012000,0.0007538464515458516
39,5464,JP3924000007,モリ工業,MORY INDUSTRIES INC.,4800,4608000,0.000693081494158676
40,5659,JP3721800005,日本精線,"NIPPON SEISEN CO.,LTD.",3400,4556000,0.0006852602620197327
41,5707,JP3599000001,東邦亜鉛,"TOHO ZINC CO.,LTD.",3800,3347800.0000000005,0.0005035369414375903
42,5698,JP3169750001,エンビプロ・ホールディングス,ENVIPRO HOLDINGS INC.,3700,3004400.0000000005,0.000451886727658491
,,,,,,,
,,,合計（Total）,,,6644941930,0.999454488160164
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,6648568803,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
1623,NEXT FUNDS 鉄鋼・非鉄（TOPIX-17）上場投信　（NEXT FUNDS TOPIX-17 STEEL & NONFERROUS METALS ETF）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3046620005,,
