No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,7011,JP3900000005,三菱重工業,"MITSUBISHI HEAVY INDUSTRIES,LTD.",192100,723064400,0.2132903094555862
2,6301,JP3304200003,小松製作所,KOMATSU LTD.,49500,346203000,0.10212333092937821
3,6367,JP3481800005,ダイキン工業,"DAIKIN INDUSTRIES,LTD.",13400,312153000.00000006,0.0920792255399237
4,6146,JP3548600000,ディスコ,DISCO CORPORATION,4900,286552000,0.08452741519996992
5,6273,JP3162600005,ＳＭＣ,SMC CORPORATION,2900,204392000.00000003,0.060291770595048214
6,7013,JP3134800006,ＩＨＩ,IHI CORPORATION,53400,150988500,0.04453874909238344
7,6326,JP3266400005,クボタ,KUBOTA CORPORATION,51900,142491450,0.042032280202531316
8,6361,JP3166000004,荏原製作所,EBARA CORPORATION,24300,135059400.00000003,0.03983996615085157
9,6383,JP3497400006,ダイフク,"DAIFUKU CO.,LTD.",17300,103505900.00000001,0.030532280999422682
10,6586,JP3862400003,マキタ,MAKITA CORPORATION,12800,66342400.00000001,0.01956975205255062
11,6370,JP3270000007,栗田工業,KURITA WATER INDUSTRIES LTD.,6200,54200400.00000001,0.015988091916316935
12,6113,JP3122800000,アマダ,"AMADA CO.,LTD.",14500,40411500,0.0119206274580306
13,6465,JP3845770001,ホシザキ,HOSHIZAKI CORPORATION,6100,34794400,0.010263689296999614
14,6481,JP3539250005,ＴＨＫ,"THK CO.,LTD.",5000,33500000.000000004,0.009881865801665989
15,6134,JP3809200003,ＦＵＪＩ,FUJI CORPORATION,4100,30053000.000000004,0.008865066057834865
16,6302,JP3405400007,住友重機械工業,"SUMITOMO HEAVY INDUSTRIES,LTD.",5600,29332800.000000004,0.008652620692152483
17,6268,JP3651210001,ナブテスコ,NABTESCO CORPORATION,5800,27219400.000000004,0.008029207701548276
18,6269,JP3888250002,三井海洋開発,"MODEC,INC.",2600,26845000,0.00791876678942458
19,6141,JP3924800000,ＤＭＧ森精機,"DMG MORI CO.,LTD.",7000,26040000,0.007681307029115891
20,7003,JP3891600003,三井Ｅ＆Ｓ,"MITSUI E&S CO.,LTD.",5100,24826800.000000004,0.00732343599656123
21,6323,JP3982200002,ローツェ,RORZE CORPORATION,6000,23934000.000000004,0.007060076898420114
22,5631,JP3721400004,日本製鋼所,"THE JAPAN STEEL WORKS,LTD.",3100,23219000,0.006849165434295003
23,6460,JP3419050004,セガサミーホールディングス,SEGA SAMMY HOLDINGS INC.,8100,22262850,0.006567119285451333
24,6305,JP3787000003,日立建機,"HITACHI CONSTRUCTION MACHINERY CO.,LTD.",4100,22115400.000000004,0.006523624326870568
25,6471,JP3720800006,日本精工,NSK LTD.,19000,21888000,0.006456545631846721
26,6473,JP3292200007,ジェイテクト,JTEKT CORPORATION,9700,21495200.000000004,0.00634067706805883
27,6368,JP3201600008,オルガノ,ORGANO CORPORATION,1400,20552000.000000004,0.006062450924054909
28,6407,JP3346800000,ＣＫＤ,CKD CORPORATION,3100,18600000.000000004,0.005486647877939923
29,6417,JP3326410002,ＳＡＮＫＹＯ,"SANKYO CO.,LTD.",9600,17798400.000000004,0.005250191053264835
30,6324,JP3765150002,ハーモニック・ドライブ・システムズ,HARMONIC DRIVE SYSTEMS INC.,2700,16578000,0.004890196157015485
31,6005,JP3880800002,三浦工業,"MIURA CO.,LTD.",4800,15441600.000000002,0.004554979670537479
32,6432,JP3462660006,竹内製作所,"TAKEUCHI MFG.CO.,LTD.",1900,14155000.000000002,0.0041754570275397635
33,6135,JP3862800004,牧野フライス製作所,"MAKINO MILLING MACHINE CO.,LTD.",1000,13920000,0.004106136476393748
34,6136,JP3170800001,オーエスジー,OSG CORPORATION,3700,13601200,0.004012096511690133
35,6101,JP3531800005,ツガミ,TSUGAMI CORPORATION,2200,13222000,0.0039002396904366477
36,6457,JP3274400005,グローリー,GLORY LTD.,2500,11427500.000000002,0.0033708961626429286
37,6371,JP3535400000,椿本チエイン,TSUBAKIMOTO CHAIN CO.,4400,11378400.000000002,0.003356412592169442
38,6472,JP3165600002,ＮＴＮ,NTN CORPORATION,27200,10635200,0.00313718266190681
39,6454,JP3864800002,マックス,"MAX CO.,LTD.",5700,10505100,0.003098805624868101
40,6436,JP3124400007,アマノ,AMANO CORPORATION,2700,10459800.000000002,0.003085442982455699
41,7004,JP3789000001,カナデビア,KANADEVIA CORPORATION,8400,9979200.000000002,0.0029436750808353807
42,6013,JP3462600002,タクマ,"TAKUMA CO.,LTD.",2900,9831000,0.0028999588864530848
43,6315,JP3555700008,ＴＯＷＡ,TOWA CORPORATION,3700,9797600.000000002,0.0028901065187582897
44,6490,JP3747800005,ＰＩＬＬＡＲ,PILLAR CORPORATION,1000,9490000.000000002,0.0027993703420241866
45,6103,JP3172100004,オークマ,OKUMA CORPORATION,1800,8901000.000000002,0.002625626492556089
46,6498,JP3240700009,キッツ,KITZ CORPORATION,3700,8140000.000000001,0.0024011458992704822
47,6395,JP3465000002,タダノ,TADANO LTD.,5900,7894200.000000001,0.0023286395525824377
48,6278,JP3950600001,ユニオンツール,UNION TOOL CO.,500,7810000,0.0023038021465973542
49,6254,JP3762950008,野村マイクロ・サイエンス,"NOMURA MICRO SCIENCE CO.,LTD.",1900,7619000,0.0022474607624744227
50,6250,JP3943000004,やまびこ,YAMABIKO CORPORATION,1700,6587500.000000001,0.0019431877901037228
51,6412,JP3834200002,平和,HEIWA CORPORATION,3000,6420000,0.0018937784610953924
52,6420,JP3805150004,ガリレイホールディングス,GALILEI HOLDINGS CO.LTD.,1500,5182500,0.0015287393885711638
53,6235,JP3197760006,オプトラン,"OPTORUN CO.,LTD.",1700,5108500.000000001,0.0015069107894868869
54,6480,JP3739400004,日本トムソン,"NIPPON THOMPSON CO.,LTD.",2800,4989600.000000001,0.0014718375404176903
55,6104,JP3592600005,芝浦機械,"SHIBAURA MACHINE CO.,LTD.",1200,4950000.000000001,0.001460156290096915
56,6474,JP3813200007,不二越,NACHI-FUJIKOSHI CORP.,900,4932000,0.0014548466308601986
57,6209,JP3970700005,リケンＮＰＲ,NPR-RIKEN CORPORATION,1200,4890000.000000001,0.001442457425974528
58,6349,JP3305800009,小森コーポレーション,KOMORI CORPORATION,2400,4476000.000000001,0.0013203352635300588
59,6340,JP3356000004,澁谷工業,SHIBUYA CORPORATION,1000,4390000.000000001,0.0012949668916213044
60,6258,JP3795300007,平田機工,HIRATA CORPORATION,1500,4281000.000000001,0.0012628139551323016
61,6143,JP3434200006,ソディック,"SODICK CO.,LTD.",2500,4205000.000000001,0.0012403953939106116
62,6277,JP3846000002,ホソカワミクロン,HOSOKAWA MICRON CORPORATION,800,4024000,0.0011870038204747444
63,6332,JP3532200007,月島ホールディングス,"TSUKISHIMA HOLDINGS CO.,LTD.",1400,3827600.0000000005,0.0011290695385807984
64,6282,JP3174200000,オイレス工業,OILES CORPORATION,1300,3710200,0.0010944387611146612
65,6284,JP3678200001,日精エー・エス・ビー機械,"NISSEI ASB MACHINE CO.,LTD.",400,3628000.0000000005,0.0010701913172669914
66,6237,JP3150100000,イワキポンプ,"IWAKI CO.,LTD.",700,3605000,0.001063406752686743
67,6331,JP3896000001,三菱化工機,"MITSUBISHI KAKOKI KAISHA,LTD.",1100,3470500,0.0010237317989457257
68,6463,JP3542400001,ＴＰＲ,"TPR CO.,LTD.",2300,3440800,0.0010149708612051443
69,6287,JP3321400008,サトー,SATO CORPORATION,1400,3427200.0000000005,0.0010109591186707367
70,6458,JP3372800007,新晃工業,SINKO INDUSTRIES LTD.,2800,3427200.0000000005,0.0010109591186707367
71,6381,JP3122450004,アネスト岩田,ANEST IWATA CORPORATION,1900,3425700,0.001010516647067677
72,6486,JP3130400009,イーグル工業,"EAGLE INDUSTRY CO.,LTD.",1100,3300000,0.0009734375267312765
73,6459,JP3505800007,だいわ,DAIWA LTD.,1800,3119400.0000000005,0.0009201639457228922
