No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,8058,JP3898400001,三菱商事,MITSUBISHI CORPORATION,1667900,7250361300.000001,0.2175435956051539
2,8031,JP3893600001,三井物産,"MITSUI & CO.,LTD.",1287600,5790337200.000001,0.17373627632243366
3,8001,JP3143600009,伊藤忠商事,ITOCHU CORPORATION,3053100,5660447400,0.16983899548976197
4,8053,JP3404600003,住友商事,SUMITOMO CORPORATION (SUMITOMO SHOJI KAI,2148200,3327561800.0000005,0.09984188768225358
5,8002,JP3877600001,丸紅,MARUBENI CORPORATION,693200,3251108000,0.09754792826954439
6,8015,JP3635000007,豊田通商,TOYOTA TSUSHO CORPORATION,272800,1630798400.0000002,0.048931319828590066
7,9962,JP3885400006,ミスミグループ本社,MISUMI GROUP INC.,128200,512030800.00000006,0.015363237317922824
8,8136,JP3343200006,サンリオ,"SANRIO COMPANY,LTD.",451000,496100000.00000006,0.01488524134372681
9,2768,JP3663900003,双日,SOJITZ CORPORATION,87700,453496700,0.013606949865115245
10,7459,JP3268950007,メディパルホールディングス,MEDIPAL HOLDINGS CORPORATION,97100,254596200.00000003,0.007639036247119008
11,3038,JP3291200008,神戸物産,"KOBE BUSSAN CO.,LTD.",79100,208942650,0.006269223487699738
12,3132,JP3862960006,マクニカホールディングス,"MACNICA HOLDINGS,INC.",63200,198700800,0.005961921715766159
13,2784,JP3126340003,アルフレッサ　ホールディングス,ALFRESA HOLDINGS CORPORATION,86000,186964000.00000003,0.005609764689757184
14,8012,JP3647800006,長瀬産業,"NAGASE & CO.,LTD.",155300,180924500,0.005428552403735337
15,8088,JP3151600008,岩谷産業,IWATANI CORPORATION,90300,171479700,0.005145165732815702
16,8020,JP3217100001,兼松,KANEMATSU CORPORATION,76000,156674000,0.004700927841739677
17,9987,JP3398000004,スズケン,"SUZUKEN CO.,LTD.",30100,148573600,0.004457879244721486
18,8060,JP3243600008,キヤノンマーケティングジャパン,CANON MARKETING JAPAN INC.,42800,147317600,0.004420193570204814
19,9934,JP3146200005,因幡電機産業,"INABA DENKISANGYO CO.,LTD.",47400,129022800.00000001,0.0038712669156286943
